B' R U B L U
B' L R F U B U
B' L' R U B U B2
B' L' R U2 B' D' R2
F2 L2 U F L R B'
F2 L2 U F L B' R
F2 L2 U F R L B'
F2 L2 U' F L B' R'
R U L B L U F
B' R L F U B U
B' R L' U B U B2
B' R L' U2 B' D' R2
B' R U L B L U
B' R U L' B L U
B' R U L2 B L U
B' R U D B L U
B' R U D' B L U
B' R U D2 B L U
B' R U B L U D
B' R U B L U D'
B' R U B L U D2
B' R U B L D U
B' R U B L D' U
B' R U B L D2 U
B' R U B D L U
B' R U B D' L U
B' R U B D2 L U
B' R U2 R D B R'
R U B L U D2 F2
R U B L U' B2 U2
R U B L D' R2 U
R U B L D2 U F2
R U B D' L R2 U
R U B D' R2 L U
R U B D2 L U F2
B' R D U B L U
B' R D' U B L U
B' R D2 U B L U
B' R F U B L U
B' R F' U B L U
B' R F2 U B L U
U R B' U' R' F' U'
L' U' F2 B' L' R' F
L' U' F2 B' L' F R'
L' U' F2 B' R' L' F
L' U' B' F2 L' R' F
L' U' B' F2 L' F R'
L' U' B' F2 R' L' F
R2 D R' B' L F U2
B' D R U B L U
B' D' R U B L U
L' F2 U B' L' F R
L' F2 U' B' L' R' F
L' F2 U' B' L' F R'
L' F2 U' B' R' L' F
B' D2 R U B L U
R B' L D L2 U2 B'
R B' L D F L2 U2
D2 B' R U B L U
R B' L D' F U2 R2
D' B' R U B L U
R B' L F U B2 U
R B' L F U2 D' R2
R B' L F D L2 U2
R B' L F D' U2 R2
R B' L' U B2 U B
R B' L' U2 D' R2 B'
R B' L' U2 D' B' R2
R B' L' D L2 F U2
R B' L' D' U2 R2 B'
R B' L' D' U2 B' R2
D B' R U B L U
R' B' R2 U B L U
R B' U B L B U
R B' U2 R D' B R2
R B' U2 R' D' R2 B
R B' U2 D' R B R
R B' D L F L U2
R B' D' L F U2 R2
R B' D' L' U2 R2 B'
R B' D' L' U2 B' R2
R B' D' U2 R B R
