F L R2 U F' R'
F L U R2 F' R'
F L U' B U2 R
F R2 L U F' R'
R2 F L U R F2
R F L U R F'
F L R2 U D F' R'
F L R2 U D' F' R'
F L R2 U D2 F' R'
F L R2 U F R' F2
F L R2 U F' R' D
F L R2 U F' R' D'
F L R2 U F' R' D2
F L R2 U F' D R'
F L R2 U F' D' R'
F L R2 U F' D2 R'
F L R2 U F2 R' F
F L R2 D U F' R'
F L R2 D' U F' R'
F L R2 D2 U F' R'
F L U R2 D F' R'
F L U R2 D' F' R'
F L U R2 D2 F' R'
F L U R2 F R' F2
F L U R2 F' R' D
F L U R2 F' R' D'
F L U R2 F' R' D2
F L U R2 F' D R'
F L U R2 F' D' R'
F L U R2 F' D2 R'
F L U R2 F2 R' F
F L U D R2 F' R'
F L U D' R2 F' R'
F L U D2 R2 F' R'
F L U F R2 F' R
F L U' L B U2 R
F L U' L' B U2 R
F L U' L2 B U2 R
F L U' D B U2 R
F L U' D' B U2 R
F L U' D2 B U2 R
F L U' B L U2 R
F L U' B L' U2 R
F L U' B L2 U2 R
F L U' B U2 R D
F L U' B U2 R D'
F L U' B U2 R D2
F L U' B U2 D R
F L U' B U2 D' R
F L U' B U2 D2 R
F L U' B D U2 R
F L U' B D' U2 R
F L U' B D2 U2 R
F L D R2 U F' R'
F L D U R2 F' R'
F L D U' B U2 R
F L D' R2 U F' R'
F L D' U R2 F' R'
F L D' U' B U2 R
F' L D' B2 U L2 F
F L D2 R2 U F' R'
F L D2 U R2 F' R'
F L D2 U' B U2 R
F2 L F' R2 U F' R'
F2 L F' U R2 F' R'
F2 L F' U' B U2 R
F' L F2 U D2 R2 F'
F' L F2 U' L2 B U2
F' L F2 U' B L2 U2
F' L F2 D2 U R2 F'
F L B' U R D2 F2
F L B' U D2 R F2
F L B' U' B2 U2 R
F L B' D' R2 U R'
F L B' D2 U R F2
F L B2 U' B' U2 R
F' L' U2 D' B2 L2 F
F' L' D R2 F2 U2 F
F' L' D F2 R2 U2 F'
F' L' D F2 B R2 U2
F' L' D B R2 F2 U2
F' L' D B F2 R2 U2
F' L' D' U2 B2 L2 F
F' L' D' B U2 L2 B
F' L' D' B U2 B L2
F' L' B U L2 F2 U
F' L' B U F2 L2 U
F' L' B U2 D' L2 B2
F' L' B U2 D' B2 L2
F' L' B D R2 F2 U2
F' L' B D F2 R2 U2
F' L' B D' U2 L2 B2
F' L' B D' U2 B2 L2
F L' B2 L2 U R F
D2 R F L U R F'
D' R F L U R F'
D R F L U R F'
F' R F2 L U R F'
F R2 L U D F' R'
F R2 L U D' F' R'
F R2 L U D2 F' R'
F R2 L U F R' F2
F R2 L U F' R' D
F R2 L U F' R' D'
F R2 L U F' R' D2
F R2 L U F' D R'
F R2 L U F' D' R'
F R2 L U F' D2 R'
F R2 L U F2 R' F
F R2 L D U F' R'
F R2 L D' U F' R'
F R2 L D2 U F' R'
F R2 D L U F' R'
F R2 D' L U F' R'
D2 R2 F L U R F2
D' R2 F L U R F2
F R2 D2 L U F' R'
D R2 F L U R F2
R2 D F L U R F2
B U L' B' L F U
B U D2 F L' B' U
B U F L' B' L U
R2 D' F L U R F2
R2 D2 F L U R F2
R' F L R' U F' R2
D' F L R2 U F' R'
D' F L U R2 F' R'
U' F L U' B L U2
D2 F L R2 U F' R'
D2 F L U R2 F' R'
D' F L U' B U2 R
D2 F L U' B U2 R
R2 F L R' U R2 F2
R2 F L R' U F2 R2
R2 F L R2 U R' F2
R2 F L R2 U F2 R'
R2 F L U R F2 D
R2 F L U R F2 D'
R2 F L U R F2 D2
R2 F L U R' F2 R2
R2 F L U R2 F2 R'
D F L R2 U F' R'
R2 F L D R2 U R'
D F L U R2 F' R'
D F L U' B U2 R
R2 F L B U R F2
R2 F L B' U R F2
R2 F L B2 U R F2
R F L R' U R2 F'
R F L U R D F'
R F L U R D' F'
R F L U R D2 F'
R F L U R F' D
R F L U R F' D'
R F L U R F' D2
R F L B U R F'
R F L B' U R F'
R F L B2 U R F'
R' F R' L U F' R2
D' F R2 L U F' R'
D2 F R2 L U F' R'
R2 F R' L U R2 F2
R2 F R' L U F2 R2
R F R' L U R2 F'
R2 F R2 L U R' F2
R2 F R2 L U R' F2
R2 F R2 L U F2 R'
D F R2 L U F' R'
F D L R2 U F' R'
F D L U R2 F' R'
F D L U' B U2 R
R2 F D L R2 U R'
R2 F D R2 L U R'
F D R2 L U F' R'
R2 F B' U R F2 B
R2 F B' U R B F2
R F B' U R F' B
R F B' U R B F'
R2 F' U' F2 L U R
F D' L R2 U F' R'
F D' L U R2 F' R'
F D' L U' B U2 R
B' D' R2 F U R B
F D' R2 L U F' R'
R F2 L F' U R F'
F D2 L R2 U F' R'
F D2 L U R2 F' R'
F D2 L U' B U2 R
F D2 R2 L U F' R'
B D2 U F L' B' U
B' D2 F U R F B
B' D2 F U R B F
B' F U R D2 F2 B
B' F U R D2 B F2
B' F U D2 R F2 B
B' F U D2 R B F2
B' F U' B2 U2 R B
F' B D L' R2 F U2
F' B D L' F R2 U2
F' B D R2 L' F U2
B' F D2 U R F2 B
B' F D2 U R B F2
F B' U R D2 F2 B
F B' U R D2 B F2
F B' U D2 R F2 B
F B' U D2 R B F2
R2 B' F U R F2 B
R2 B' F U R B F2
F B' U' B2 U2 R B
R B' F U R F' B
R B' F U R B F'
B F' D L' R2 F U2
B F' D L' F R2 U2
B F' D R2 L' F U2
F B' D2 U R F2 B
F B' D2 U R B F2
