B R' U B L U
B L R' F U B U
B L D' R' F L' U2
B L D' F L' R' U2
B L D' F R' L' U2
B L F R' U B U
R2 L' U' F' B' L R'
R2 L' U' F' B' R' L
R2 L' U' B' L F' R'
R2 L' U' B' F' L R'
R2 L' U' B' F' R' L
B L' R' U B U B2
B L' R' U2 B' D' R2
L' R2 U' F' B' L R'
L' R2 U' F' B' R' L
L' R2 U' B' L F' R'
L' R2 U' B' F' L R'
L' R2 U' B' F' R' L
B R' L F U B U
B R' L' U B U B2
B R' L' U2 B' D' R2
B R' U L B L U
B R' U L' B L U
B R' U L2 B L U
B R' U D B L U
B R' U D' B L U
B R' U D2 B L U
B R' U B L U D
B R' U B L U D'
B R' U B L U D2
B R' U B L D U
B R' U B L D' U
B R' U B L D2 U
B R' U B D L U
B R' U B D' L U
B R' U B D2 L U
B R' U2 R D B R'
B R' D U B L U
B R' D' U B L U
B R' D2 U B L U
B R' F U B L U
B R' F' U B L U
B R' F2 U B L U
B D R' U2 R B R'
L F B R' U B U
B2 D B' L R' F U2
B2 D B' L F R' U2
B2 D B' R' L F U2
B D' L R' F L' U2
B D' L F L' R' U2
B D' L F R' L' U2
B D' R' L F L' U2
B D' R' F L' U2 B'
B D' R' F' U2 R B
B D' F L' R' U2 B'
B D' F R' L' U2 B'
L' B R' U B U B
U2 B R' F' U B U
U B R' U L B U
L B R' F U B U
U2 B D' R' F' U2 R
F' B R' U B L U
F2 B R' U B L U
L B D' R' F L' U2
L B D' F L' R' U2
L B D' F R' L' U2
B F R' U B L U
F B R' U B L U
L B F R' U B U
B F' R' U B L U
B F2 R' U B L U
