U2 L R F U' F'
U2 R L F U' F'
U2 R F' U' F R
R' U2 F' R2 U' F
U2 F' U' F R B
R B U' B' U2 B
U2 L R D F U' F'
U2 L R D' F U' F'
U2 L R D2 F U' F'
U2 L R F L U' F'
U2 L R F L' U' F'
U2 L R F L2 U' F'
U2 L R F U' D F'
U2 L R F U' D' F'
U2 L R F U' D2 F'
U2 L R F U' F' D
U2 L R F U' F' D'
U2 L R F U' F' D2
U2 L R F D U' F'
U2 L R F D' U' F'
U2 L R F D2 U' F'
R' L U2 F' R2 U' F
U2 L D R F U' F'
U2 L D' R F U' F'
U2 L D2 R F U' F'
L' R B U' B' U2 B
L R B U' B' U2 B
L2 R B U' B' U2 B
R L B U' B' U2 B
R' L' U2 F' R2 U' F
L' R' U2 F' R2 U' F
L R' U2 F' R2 U' F
L2 R' U2 F' R2 U' F
U' L' U' L R F U'
U' L' U' R L F U'
R L' B U' B' U2 B
R' L2 U2 F' R2 U' F
R L2 B U' B' U2 B
B L2 U2 R U' F R
U2 L2 D2 R F' U' F
U2 R L D F U' F'
U2 R L D' F U' F'
U2 R L D2 F U' F'
U2 R L F L U' F'
U2 R L F L' U' F'
U2 R L F L2 U' F'
U2 R L F U' D F'
U2 R L F U' D' F'
U2 R L F U' D2 F'
U2 R L F U' F' D
U2 R L F U' F' D'
U2 R L F U' F' D2
U2 R L F D U' F'
U2 R L F D' U' F'
U2 R L F D2 U' F'
U' R U R' U' F' U'
F2 R U L' F2 B U
F2 R U L' B F2 U
F2 R U B L' F2 U
U2 R D L F U' F'
U2 R D F' U' F R
U2 R D' L F U' F'
U2 R D' F' U' F R
U2 R D2 L F U' F'
U2 R D2 F' U' F R
U2 R F L F U' F2
U2 R F U' F R F2
U2 R F' U' R F R
U2 R F' U' R' F R
U2 R F' U' R2 F R
U2 R F' U' D F R
U2 R F' U' D' F R
U2 R F' U' D2 F R
U2 R F' U' F R D
U2 R F' U' F R D'
U2 R F' U' F R D2
U2 R F' U' F D R
U2 R F' U' F D' R
U2 R F' U' F D2 R
U2 R F' D U' F R
U2 R F' D' U' F R
U2 R F' D2 U' F R
U2 R F2 L F U' F
U2 R F2 U' F R F
D2 R B U' B' U2 B
D' R B U' B' U2 B
B2 R B U' B U2 B'
D R B U' B' U2 B
B R B U' B2 U2 B2
R' U' F' R2 U R2 U2
R' U' F' R2 U' D2 L2
R' U' F' R2 D B2 U'
R' U' F' R2 D2 U' L2
D' R' U2 F' R2 U' F
D2 R' U2 F' R2 U' F
D R' U2 F' R2 U' F
L' U2 L R F U' F'
L2 U2 L R F U' F'
R' U2 L F' R2 U' F
L U2 L R F U' F'
R' U2 L' F' R2 U' F
R' U2 L2 F' R2 U' F
L' U2 R L F U' F'
U R' F D R F' B2
U R' F D R B2 F'
U R' F D B2 R F'
U2 R' F' R2 U' F R
L2 U2 R L F U' F'
L' U2 R F' U' F R
L U2 R L F U' F'
L2 U2 R F' U' F R
R2 U2 R F' R2 U' F
L U2 R F' U' F R
R' U2 D F' U' F B2
R' U2 D F' U' B2 F
R' U2 F' R2 U' D F
R' U2 F' R2 U' D' F
R' U2 F' R2 U' D2 F
R' U2 F' R2 U' F D
R' U2 F' R2 U' F D'
R' U2 F' R2 U' F D2
R' U2 F' R2 D U' F
R' U2 F' R2 D' U' F
R' U2 F' R2 D2 U' F
R' U2 F' U' D F B2
R' U2 F' U' D B2 F
R' U2 F' U' F D B2
R' U2 F' D U' F B2
R' U2 F' D U' B2 F
L' U2 F' U' F R B
L2 U2 F' U' F R B
R' U2 F2 R2 F U' F
L U2 F' U' F R B
U2 R2 F' R' U' F R
R' D U2 F' U' F B2
R' D U2 F' U' B2 F
U2 D L R F U' F'
U2 D R L F U' F'
U2 D R F' U' F R
R D B U' B' U2 B
U2 D F' U' F R B
F' U F L' U R B'
F' U F L' U B' R
U2 D' L R F U' F'
U2 D' R L F U' F'
U2 D' R F' U' F R
U2 D' F' U' F R B
R D' B U' B' U2 B
R' D2 L2 U2 F' U' F
D' U2 L R F U' F'
D2 U2 L R F U' F'
U2 D2 L R F U' F'
D U2 L R F U' F'
B' U' B L U' R U'
D' U2 R L F U' F'
D2 U2 R L F U' F'
R' D2 R2 B L2 U F
D' U2 R F' U' F R
U2 D2 R L F U' F'
D2 U2 R F' U' F R
D U2 R L F U' F'
U2 D2 R F' U' F R
B U' B' U' R U' R2
B U' B' U2 R' D B2
D U2 R F' U' F R
F2 U2 L' F2 B' U F2
D' U2 F' U' F R B
F2 U2 L' B' F2 U F2
D2 U2 F' U' F R B
U2 D2 F' U' F R B
B' U2 R U' F R F'
D U2 F' U' F R B
B U2 R U B' U2 R'
R D2 B U' B' U2 B
R' F U' R2 F2 B U'
R' F U' R2 B F2 U'
R F U2 F' B U F
R F U2 B F' U F
R' F' L2 B' R2 U' F'
U2 F' R U' F R B
U2 F' R' U' F R B
R' F' R2 U2 F U F'
U2 F' R2 U' F R B
U2 F' U' R F B R
U2 F' U' R B F R
U2 F' U' D F R B
U2 F' U' D' F R B
U2 F' U' D2 F R B
U2 F' U' F R D B
U2 F' U' F R D' B
U2 F' U' F R D2 B
U2 F' U' F R B D
U2 F' U' F R B D'
U2 F' U' F R B D2
U2 F' U' F D R B
U2 F' U' F D' R B
U2 F' U' F D2 R B
U2 F' U' F B R B
U2 F' U' F B' R B
U2 F' U' F B2 R B
U2 F' U' B F R B
U2 F' U' B' F R B
U2 F' U' B2 F R B
U2 F' D U' F R B
R F' U2 F B U F'
R F' U2 B F U F'
U2 F' D' U' F R B
U2 F' D2 U' F R B
U F2 L' F' U L R
U F2 L' F' U R L
R F2 U2 F2 B U F2
R F2 U2 B F2 U F2
U' B L U' L' R U'
U' B L U' R L' U'
U' B R U L R' U2
U' B R U R' L U2
U' B R B2 U' L R'
U' B R B2 U' R' L
U2 B U R B' U' R'
U2 B U B' R U' R2
R B R2 D2 L2 U F
R B U' D B' U2 B
R B U' D' B' U2 B
R B U' D2 B' U2 B
R B U' F B' U2 B
R B U' F' B' U2 B
R B U' F2 B' U2 B
R B U' B' U2 D B
R B U' B' U2 D' B
R B U' B' U2 D2 B
R B U' B' U2 B D
R B U' B' U2 B D'
R B U' B' U2 B D2
R B U' B' D U2 B
R B U' B' D' U2 B
R B U' B' D2 U2 B
R B U' B' F U2 B
R B U' B' F' U2 B
R B U' B' F2 U2 B
R B D U' B' U2 B
R B D' U' B' U2 B
R B D2 U' B' U2 B
U' B' R U R' U2 R'
U' B' R B2 U' L R2
U' B' R B2 U' R2 L
R' B' U2 F' R2 U' F'
R2 B2 D2 L B' U F2
