U2 L F U R' U
L U R' U L' B'
U' R' U' L F U2
R D' F2 B2 R' B'
R D' B2 R' F2 B'
R D' B2 R' B' F2
R D' B2 F2 R' B'
R2 B2 R' D' F2 B
R2 B2 R' D' B F2
R2 B2 R' B D' F2
R B2 D' R' F2 B'
R B2 D' R' B' F2
R B2 D' F2 R' B'
B2 L R U' L' B R2
B2 L R U' B L' R2
B2 L R U' B R2 L'
L R U2 L' D' F2 B
L R U2 L' D' B F2
L R U2 L' B D' F2
R L U2 L' D' F2 B
R L U2 L' D' B F2
R L U2 L' B D' F2
L R U2 D' L' F2 B
L R U2 D' L' B F2
L R U2 D' B L' F2
U2 L U L2 R' U B'
F' L U R' U L' B'
R L U2 D' L' F2 B
R L U2 D' L' B F2
D' L U R' U L' B'
R L U2 D' B L' F2
D2 L U R' U L' B'
U2 L U R' L2 U B'
U2 L U R' U' F U2
F2 L U R' U L' B'
L R U2 B L' D' F2
D L U R' U L' B'
L R U2 B D' L' F2
F L U R' U L' B'
R L U2 B L' D' F2
R L U2 B D' L' F2
L R D B2 U2 B' L'
R L D B2 U2 B' L'
L R D' U2 L' F2 B
L R D' U2 L' B F2
L R D' U2 B L' F2
R L D' U2 L' F2 B
R L D' U2 L' B F2
R L D' U2 B L' F2
U L U2 R' U R B
U2 L D F U R' U
U2 L D' F U R' U
U2 L D2 F U R' U
U2 L F U R' U D
U2 L F U R' U D'
U2 L F U R' U D2
U2 L F U R' D U
U2 L F U R' D' U
U2 L F U R' D2 U
U2 L F U D R' U
U2 L F U D' R' U
U2 L F U D2 R' U
U2 L F D U R' U
U2 L F D' U R' U
U2 L F D2 U R' U
U2 L F B2 U' L U'
L' R' U D2 L R2 B
R' L' U D2 L R2 B
L' R' U D2 R2 L B
R' L' U D2 R2 L B
R' L' U' F' L2 U2 L'
L' R' U' F' L2 U2 L'
U2 L B2 F U' L U'
R' L' D2 U L R2 B
R' L' D2 U R2 L B
L' R' D2 U L R2 B
L' R' D2 U R2 L B
L2 R' F2 U L2 R B'
L2 R' F2 U L2 B' R
L2 R' F2 U R L2 B'
U' L2 R' U' L' U2 B'
R' L2 F2 U L2 R B'
R' L2 F2 U L2 B' R
R' L2 F2 U R L2 B'
L U R' U L' D B'
L U R' U L' D' B'
L U R' U L' D2 B'
L U R' U L' B' D
L U R' U L' B' D'
L U R' U L' B' D2
L U R' U D L' B'
L U R' U D' L' B'
L U R' U D2 L' B'
L U R' U B L' B'
L U R' U B' L' B'
L U R' U B2 L' B'
L U R' D U L' B'
L U R' D' U L' B'
L U R' D2 U L' B'
L U D R' U L' B'
L U D' R' U L' B'
B2 R L U' L' B R2
B2 R L U' B L' R2
B2 R L U' B R2 L'
L U D2 R' U L' B'
B2 R U L U' B R2
D2 R D' F2 B2 R' B'
D' R D' F2 B2 R' B'
F' R D' F2 B2 R' B'
D2 R D' B2 R' F2 B'
D2 R D' B2 R' B' F2
D' R D' B2 R' F2 B'
D2 R D' B2 F2 R' B'
D' R D' B2 R' B' F2
D' R D' B2 F2 R' B'
F' R D' B2 R' F2 B'
F' R D' B2 R' B' F2
F' R D' B2 F2 R' B'
F2 R D' F2 B2 R' B'
R' U' L F' U F U
D R D' F2 B2 R' B'
F2 R D' B2 R' F2 B'
F2 R D' B2 R' B' F2
F2 R D' B2 F2 R' B'
D R D' B2 R' F2 B'
D R D' B2 R' B' F2
D R D' B2 F2 R' B'
F R D' F2 B2 R' B'
F R D' B2 R' F2 B'
F R D' B2 R' B' F2
F R D' B2 F2 R' B'
R2 U' R U' L F' U2
R2 U' R U' F' L U2
B2 R B R D' R F'
B R B R' U L U'
B R B U L U' R'
R U' R2 U' L F' U2
R U' R2 U' F' L U2
D2 R B2 D' R' F2 B'
D2 R B2 D' R' B' F2
D' R B2 D' R' F2 B'
D' R B2 D' R' B' F2
D2 R B2 D' F2 R' B'
D' R B2 D' F2 R' B'
F' R B2 D' R' F2 B'
F' R B2 D' R' B' F2
F' R B2 D' F2 R' B'
F2 R B2 D' R' F2 B'
F2 R B2 D' R' B' F2
F2 R B2 D' F2 R' B'
D R B2 D' R' F2 B'
D R B2 D' R' B' F2
D R B2 D' F2 R' B'
F R B2 D' R' F2 B'
F R B2 D' R' B' F2
F R B2 D' F2 R' B'
U' R' L2 U' L' U2 B'
B2 R' U L R2 U' B
B2 R' U L U F' U2
U' R' U R B2 R' B'
U' R' U R2 B2 R' B
B2 R' U R2 L U' B
U' R' U B R B R'
U R' U L F U2 F'
U' R' U B2 R B R2
U' R' U' L D F U2
U' R' U' L D' F U2
U' R' U' L D2 F U2
U' R' U' L F U2 D
U' R' U' L F U2 D'
U' R' U' L F U2 D2
U' R' U' L F D U2
U' R' U' L F D' U2
U' R' U' L F D2 U2
U' R' U' D L F U2
U' R' U' D' L F U2
U' R' U' D2 L F U2
U' R' U' F L F U2
U' R' U' F' L F U2
U' R' U' F2 L F U2
U R' U' L U2 L' B'
B2 R' U2 F' U' L U'
U' R' D U' L F U2
R2 U' B2 R U R2 B
U' R' D' U' L F U2
R U' B2 R2 U R B'
R U' B2 R2 U B' R
U' R' D2 U' L F U2
R U2 L U2 D' F2 B
R U2 L U2 D' B F2
R U2 L U2 B D' F2
R U2 L D B2 U2 B'
R U2 L D' U2 F2 B
R U2 L D' U2 B F2
L U2 L' U' R' U B'
U' R' B L B U R'
U' R' B D L B' U
U' R' B2 U D' R' B
R U2 D L B2 U2 B'
U' R' B2 D' U R' B
R U2 D B2 U2 R' B'
R U2 D' L U2 F2 B
R U2 D' L U2 B F2
R' U2 F' L U' L' U'
L U2 B' D L' F B'
L U2 B' D L' B' F
L U2 B2 L' D F2 B'
L U2 B2 L' D B' F2
L U2 B2 L' B' D F2
R D L B2 U2 B' L'
D' R2 B2 R' D' F2 B
D' R2 B2 R' D' B F2
D2 R2 B2 R' D' F2 B
D2 R2 B2 R' D' B F2
D' R2 B2 R' B D' F2
D2 R2 B2 R' B D' F2
F' R2 B2 R' D' F2 B
F' R2 B2 R' D' B F2
F' R2 B2 R' B D' F2
F2 R2 B2 R' D' F2 B
F2 R2 B2 R' D' B F2
F2 R2 B2 R' B D' F2
L D U R' U L' B'
D R2 B2 R' D' F2 B
D R2 B2 R' D' B F2
D R2 B2 R' B D' F2
B2 U L R2 U' R B
F R2 B2 R' D' F2 B
F R2 B2 R' D' B F2
F R2 B2 R' B D' F2
B2 U L U' R B R2
B2 U L F R U' R2
U2 D L F U R' U
R D U2 L B2 U2 B'
R D U2 B2 U2 R' B'
L2 D F2 R' U R2 B
U' D R' U' L F U2
B2 U R2 L U' R B
R D B R2 D2 F' R
R D B U2 B U2 R'
R D B D2 R2 F' R
R D B2 R B' R2 F'
B2 U F L R U' R2
R D' L U2 L' F2 B
R D' L U2 L' B F2
R D' L U2 B L' F2
B2 U F R L U' R2
R D' L2 F2 L2 B R
R D' L2 F2 B L2 R
R D' L2 F2 B R L2
R D' L2 B F2 L2 R
R D' L2 B F2 R L2
R D' R F2 B2 R' B
R D' R B2 R' F2 B
R D' R B2 R' B F2
R D' R B2 F2 R' B
U2 D' L F U R' U
L D' U R' U L' B'
U' D' R' U' L F U2
D' U' R' U' L F U2
D2 U' R' U' L F U2
R D' U2 L U2 F2 B
R D' U2 L U2 B F2
D U' R' U' L F U2
R D' F B2 R' F B'
R D' F B2 R' B' F
F' U' R' U' L F U2
R D' F' B D2 F' R
F2 U' R' U' L F U2
R D' F2 R B2 R' B
R D' F2 U2 L U2 B
R D' F2 D B2 R' B'
R D' F2 D' B2 R' B'
R D' F2 D2 B2 R' B'
R D' F2 B2 R B' R2
R D' F2 B2 R' D B'
R D' F2 B2 R' D' B'
R D' F2 B2 R' D2 B'
R D' F2 B2 R' B' D
R D' F2 B2 R' B' D'
R D' F2 B2 R' B' D2
R D' F2 B2 R2 B' R
R D' F2 B2 D R' B'
R D' F2 B2 D' R' B'
R D' F2 B2 D2 R' B'
F U' R' U' L F U2
R D' B F' D2 F' R
R D' B2 R F2 R2 B'
R D' B2 R F2 B' R2
R D' B2 R B' R2 F2
R D' B2 R B' F2 R2
R D' B2 R' F2 D B'
R D' B2 R' F2 D' B'
R D' B2 R' F2 D2 B'
R D' B2 R' F2 B' D
R D' B2 R' F2 B' D'
R D' B2 R' F2 B' D2
R D' B2 R' B' F2 D
R D' B2 R' B' F2 D'
R D' B2 R' B' F2 D2
R D' B2 R2 B' R F2
R D' B2 F R' F B'
R D' B2 F R' B' F
R D' B2 F2 R B' R2
R D' B2 F2 R' D B'
R D' B2 F2 R' D' B'
R D' B2 F2 R' D2 B'
R D' B2 F2 R' B' D
R D' B2 F2 R' B' D'
R D' B2 F2 R' B' D2
R D' B2 F2 R2 B' R
R D' B2 F2 D R' B'
R D' B2 F2 D' R' B'
R D' B2 F2 D2 R' B'
D' U2 L F U R' U
D2 U2 L F U R' U
U2 D2 L F U R' U
D U2 L F U R' U
B U' B L U R' F
B U' B L U F R'
U' D2 R' U' L F U2
L D2 U R' U L' B'
F' U2 L F U R' U
F2 U2 L F U R' U
F U2 L F U R' U
R D2 B2 R' D F2 B'
R D2 B2 R' D B' F2
R D2 B2 R' B' D F2
U2 F L F U R' U
R D2 B2 D R' F2 B'
R D2 B2 D R' B' F2
R D2 B2 D F2 R' B'
R F D' F2 B2 R' B'
R F D' B2 R' F2 B'
R F D' B2 R' B' F2
R F D' B2 F2 R' B'
U2 F' L F U R' U
R F B2 D' R' F2 B'
R F B2 D' R' B' F2
R F B2 D' F2 R' B'
B' D' R F' B' R' B2
B' D' R B' F' R' B2
R F' D' F2 B2 R' B'
R F' D' B2 R' F2 B'
R F' D' B2 R' B' F2
R F' D' B2 F2 R' B'
B' D' R2 B' R' F' B
B' D' R2 B' R' B F'
U2 F2 L F U R' U
R F' B2 D' R' F2 B'
R F' B2 D' R' B' F2
R F' B2 D' F2 R' B'
L2 F2 L2 R D' F2 B
L2 F2 L2 R D' B F2
L2 F2 L2 R B D' F2
L2 F2 R L2 D' F2 B
L2 F2 R L2 D' B F2
L2 F2 R L2 B D' F2
L2 F2 R B L2 D' F2
L2 F2 R' U L2 R2 B
L2 F2 R' U R2 L2 B
L2 F2 R' U R2 B L2
L F2 R U2 D' F2 B
L F2 R U2 D' B F2
L F2 R U2 B D' F2
L F2 R D B2 U2 B'
L F2 R D' U2 F2 B
L F2 R D' U2 B F2
B' D' B' R F' B R2
B' D' B' R B F' R2
B' D' B2 R F' B R'
B' D' B2 R B F' R'
R F2 D' F2 B2 R' B'
R F2 D' B2 R' F2 B'
R F2 D' B2 R' B' F2
R F2 D' B2 F2 R' B'
R F2 B2 D' R' F2 B'
R F2 B2 D' R' B' F2
R F2 B2 D' F2 R' B'
R' B R2 B D' R' F2
R' B R2 B D' F2 R'
R2 B R' B D' R' F2
R2 B R' B D' F2 R'
U' B D L B' R' U
R B U' R2 B U R'
R B U' B R2 U R
R B D' F' D' F' R
R B D2 F D F2 R
R B D2 F' R D F2
R B D2 F' D R F2
L B' U2 D L' F B'
L B' U2 D L' B' F
L B' D U2 L' F B'
L B' D U2 L' B' F
R' B2 R2 D' B R F2
R' B2 R2 B D' R F2
R2 B2 R' D' F2 D B
R2 B2 R' D' F2 D' B
R2 B2 R' D' F2 D2 B
R2 B2 R' D' F2 B D
R2 B2 R' D' F2 B D'
R2 B2 R' D' F2 B D2
R2 B2 R' D' B F2 D
R2 B2 R' D' B F2 D'
R2 B2 R' D' B F2 D2
R2 B2 R' D2 B D F2
R2 B2 R' F D' F2 B
R2 B2 R' F D' B F2
R2 B2 R' F B D' F2
R2 B2 R' F' D' F2 B
R2 B2 R' F' D' B F2
R2 B2 R' F' B D' F2
R2 B2 R' F2 D' F2 B
R2 B2 R' F2 D' B F2
R2 B2 R' F2 B D' F2
R2 B2 R' B U' R2 U
R2 B2 R' B D' F2 D
R2 B2 R' B D' F2 D'
R2 B2 R' B D' F2 D2
R2 B2 R' B F D' F2
R2 B2 R' B F' D' F2
R2 B2 R' B F2 D' F2
R2 B2 R' B2 D' F2 B'
R2 B2 R' B2 D' B' F2
R B2 R' U' R' U B'
R2 B2 U' R U R2 B
R B2 U' R2 U R B'
R B2 U' R2 U B' R
L B2 U2 L' D F2 B'
L B2 U2 L' D B' F2
L B2 U2 L' B' D F2
R B2 D R' D2 F2 B'
R B2 D R' D2 B' F2
R B2 D' R F2 R2 B'
R B2 D' R F2 B' R2
R B2 D' R B' R2 F2
R B2 D' R B' F2 R2
R B2 D' R' F2 D B'
R B2 D' R' F2 D' B'
R B2 D' R' F2 D2 B'
R B2 D' R' F2 B' D
R B2 D' R' F2 B' D'
R B2 D' R' F2 B' D2
R B2 D' R' B' F2 D
R B2 D' R' B' F2 D'
R B2 D' R' B' F2 D2
R B2 D' R2 B' R F2
R B2 D' F R' F B'
R B2 D' F R' B' F
R B2 D' F2 R B' R2
R B2 D' F2 R' D B'
R B2 D' F2 R' D' B'
R B2 D' F2 R' D2 B'
R B2 D' F2 R' B' D
R B2 D' F2 R' B' D'
R B2 D' F2 R' B' D2
R B2 D' F2 R2 B' R
R B2 D' F2 D R' B'
R B2 D' F2 D' R' B'
R B2 D' F2 D2 R' B'
R B2 D2 R' D F2 B'
R B2 D2 R' D B' F2
R B2 D2 R' B' D F2
R B2 F D' R' F2 B'
R B2 F D' R' B' F2
R B2 F D' F2 R' B'
R B2 F' D' R' F2 B'
R B2 F' D' R' B' F2
R B2 F' D' F2 R' B'
R B2 F2 D' R' F2 B'
R B2 F2 D' R' B' F2
R B2 F2 D' F2 R' B'
