B' U R' F2 L' U'
B L D2 B2 U L' F2
F2 L' U' L' F B' L2
F2 L' U' L' B' F L2
B' L' U' R' F2 U' L
B' L' U' F2 R' U' L
B2 L' D L R2 F' B'
B2 L' D L R2 B' F'
B2 L' D R2 L F' B'
B2 L' D R2 L B' F'
B2 L' D R2 F' L B'
U L2 R F2 U' F' B
U L2 R F2 U' B F'
B' L2 U' R' F2 U' L2
B' L2 U' F2 R' U' L2
F2 L2 U' F L' B' L'
F2 L2 B' R' U' F L2
U R L2 F2 U' F' B
U R L2 F2 U' B F'
B' R D R2 B2 D2 F2
B' R D B' R2 F' B'
B' R D B' R2 B' F'
B' R D B2 R2 D2 F2
B' R D' L2 F2 U2 L2
B' R D' F2 L2 U2 L2
U R F2 L2 U' F B
U R F2 L2 U' B F
U R F2 U B' U2 B2
U R F2 U' B D2 F2
B' R B D B2 R2 F'
B' R B' D R2 F' B2
B' R B' D R2 B2 F'
U R' F2 L2 U' F B'
U R' F2 L2 U' B' F
U R' F2 U F B' U2
U R' F2 U B' F U2
B' U L R' F2 L' U'
B' U L' R' F2 L' U'
B' U L2 R' F2 L' U'
B' U R' L F2 L' U'
B' U R' L' F2 L' U'
B' U R' L2 F2 L' U'
B' U R' F2 L' U' D
B' U R' F2 L' U' D'
B' U R' F2 L' U' D2
B' U R' F2 L' D U'
B' U R' F2 L' D' U'
B' U R' F2 L' D2 U'
B' U R' F2 D L' U'
B' U R' F2 D' L' U'
B' U R' F2 D2 L' U'
B' U F2 R' U2 R U
B U' L D2 B2 U F2
B' U' R' F2 U' D' L2
B' U' R' F2 U2 F2 U
B' U' R' F2 D' U' L2
B' U' R' F2 D2 B2 U'
B U' D2 L B2 U F2
B' U' F2 R' U' D' L2
B' U' F2 R' U2 F2 U
B' U' F2 R' D' U' L2
B' U' F2 R' D2 B2 U'
B' U' F2 D' R' U' L2
B' U' F2 D2 R' B2 U'
B' U2 R D B2 L R2
B' U2 R D B2 R2 L
B' U2 R' F2 U' L' F2
B' U2 F2 R' U' F2 L'
B2 U2 B U' R' F2 U'
B2 U2 B U' F2 R' U'
B2 D L R2 B' L' F'
B U2 B2 U' R' F2 U'
B U2 B2 U' F2 R' U'
B2 D R' D2 R' F' B
B2 D R' D2 R' B F'
B2 D R2 L B' L' F'
B2 D R2 F' L B' L'
U2 F B' U' R F U'
B' D' L2 U' R' U' L2
L2 F2 L' U' L' F' B'
L2 F2 L' U' L' B' F'
U F2 L2 R U' F B
U F2 L2 R U' B F
U F2 R L2 U' F B
U F2 R L2 U' B F
U F2 R U B' U2 B2
U F2 R U' B D2 F2
U F2 R' U F' B' U2
U F2 R' U B' F' U2
L' F2 U' L' F B' L2
L' F2 U' L' B' F L2
L2 F2 U' L' B' L' F'
L2 F2 U' F' L' B' L'
B D2 L B2 U L' F2
B D2 U' L B2 U F2
B D2 F2 U' L B2 U
D' B' L2 U' R' U' L2
L2 B' R' F2 U' L2 F'
L2 B' R' F2 U' F' L2
R' B' U R' F2 L' U'
R2 B' U R' F2 L' U'
U2 B' U' R F2 U' B
U2 B' U' F2 R U' B
R B' U R' F2 L' U'
U2 B' F U' R F U'
D B2 R' D' R' F' B
D B2 R' D' R' B F'
