F' U B' R' U L
B' L F D2 B2 D' R2
B' L B2 D' R2 F B
B' L B2 D' R2 B F
B' L' R2 U L2 F B
B' L' R2 U L2 B F
B' L' U L2 F D2 B2
B' L' U F2 L2 F B'
B' L' U F2 L2 B' F
B' L' U' F' U2 L2 F
B' L' U' F' B' U2 L2
B' L' U' B' F' U2 L2
B' L' F2 U L2 F B'
B' L' F2 U L2 B' F
B' L2 R2 U L' F B
B' L2 R2 U L' B F
B' L2 R2 U B L' F
B' L2 U L' F D2 B2
F' R U B' R' U L
R' U B' R' U L B
R2 U B' R' U L B2
F' R' U B' R' U L
R2 U' B' U L F B2
R2 U' B' U L B2 F
U R' B' R' U L B
B' R2 L' U L2 F B
B' R2 L' U L2 B F
B' R2 L2 U L' F B
B' R2 L2 U L' B F
B' R2 L2 U B L' F
F' R2 U B' R' U L
B2 R2 B L F D R2
U' R2 B' U L F B2
U' R2 B' U L B2 F
U R2 B' R' U L B2
F' U R B' R' U L
F' U R' B' R' U L
F' U R2 B' R' U L
F' U F B' R' U L
F' U F' B' R' U L
F' U F2 B' R' U L
F' U B' R' U L D
F' U B' R' U L D'
F' U B' R' U L D2
F' U B' R' U D L
F' U B' R' U D' L
F' U B' R' U D2 L
F' U B' R' D U L
F' U B' R' D' U L
F' U B' R' D2 U L
F' U B' R' F U L
F' U B' R' F' U L
F' U B' R' F2 U L
F' U B' D R' U L
F' U B' D' R' U L
F' U B' D2 R' U L
F' U B' F R' U L
F' U B' F' R' U L
F' U B' F2 R' U L
B' U' F' U' L' U' L2
B' U' F' U2 L D F2
D2 F' R U B' R' U
U2 F' U B' U L F
B D' R' U2 R' F' B
B D' R' U2 R' B F'
B D' F' R' U2 R' F'
B D' B R2 B L F
B D' B2 L R2 F B
B D' B2 L R2 B F
B D' B2 R2 L F B
B D' B2 R2 L B F
R2 B U' B2 U L F
R2 B' L F B2 D' R2
R2 B' L B2 D' R2 F
R2 B' L B2 D' F R2
R2 B' L B2 F D' R2
R2 B' L' U L2 F B2
R2 B' L' U L2 B2 F
B' F D' L2 U L' F
R2 B' L2 U L' F B2
R2 B' L2 U L' B2 F
F' B D' R' U2 R' F'
R2 B' L2 U B2 L' F
U' B' R2 U L F B
U' B' R2 U L B F
U' B' U L F D2 B2
U B' R' U D2 L B'
U B' R' D2 U L B'
U' B' U' F' U2 L F
F2 B' L2 U B' L' F
L' B' D F' U2 L R
L' B' D F' U2 R L
R2 B' D L2 U L' F
B F' D' R' U2 R' F'
F B' D' L2 U L' F
B' F2 L2 U B' L' F
