D' L R2 F' R' B'
R2 L D F' R' B
R2 L F' R' D B2
D' L B' R D2 F2
D' L B' D2 R F2
L R2 D F' R' B
L R2 F' R' D B2
D' R2 L F' R' B'
R2 D L F' R' B
D' R2 F' L R' B'
D' R2 F' R' L B'
R2 D F' L R' B
R2 D F' R' L B
R2 D' L F' R' B'
R2 D' F' L R' B'
R2 D' F' R' L B'
R2 F' L R' D B2
R2 F' R' L D B2
R2 F' R' D L B2
D' L R B' R F' R'
D' L R' B' R' F' R'
D L R' B R' F' R'
U' L R2 D F' R' B
D' L R2 D F' R' B'
U2 L R2 D F' R' B
D' L R2 D' F' R' B'
D2 L R2 D' F' R' B
D' L R2 D2 F' R' B'
D' L R2 F R' F2 B'
D' L R2 F R' B' F2
U L R2 D F' R' B
U' L R2 F' R' D B2
D' L R2 F' R B' R2
D' L R2 F' R' D B'
D' L R2 F' R' D' B'
D' L R2 F' R' D2 B'
D' L R2 F' R' B' D
D' L R2 F' R' B' D'
D' L R2 F' R' B' D2
D' L R2 F' R2 B' R
D' L R2 F' D R' B'
U2 L R2 F' R' D B2
D' L R2 F' D' R' B'
D' L R2 F' D2 R' B'
D2 L R2 F' D' R' B
D' L R2 F2 R' F B'
D' L R2 F2 R' B' F
D L R2 F' R B R2
F L R2 F' R D' B2
F L R2 F' D' R B2
F L R2 F' D' B2 R
U L R2 F' R' D B2
D' L R2 B' D2 F' R
R2 L D F R' F2 B
R2 L D F R' B F2
R2 L D F' R' D B
R2 L D F' R' D' B
R2 L D F' R' D2 B
R2 L D F' R' B D
R2 L D F' R' B D'
R2 L D F' R' B D2
R2 L D F2 R' F B
R2 L D F2 R' B F
R2 L D' F' D2 R' B
D' L U2 B U2 R B2
D' L U2 B U2 B2 R
R2 L D2 F' D' R' B
D' L D R2 F' R' B'
D' L D B' R D2 F2
D' L D B' D2 R F2
D' L D' R2 F' R' B'
D' L D' B' R D2 F2
R2 L F' R' U R2 U'
R2 L F' R' D B2 D
R2 L F' R' D B2 D'
R2 L F' R' D B2 D2
D' L D' B' D2 R F2
R2 L F' R' B D B2
R2 L F' R' B' D B2
R2 L F' R' B2 D B2
L R F' U R U' F'
R2 L F' U R U' R2
R L F' U R U' F'
R2 L F' D R' D B2
R2 L F' D' R' D B2
R2 L F' D2 R' D B2
D' L D2 R2 F' R' B'
D' L D2 B' R D2 F2
D' L D2 B' D2 R F2
D' L F R2 F' R B'
D' L F R2 F' B' R
D' L F R2 B' F' R
D L F R2 F' R B
D' L F2 B' D2 F2 R
D' L B R B2 D2 F2
D' L B U2 R B2 L
D' L B' R U2 B2 U2
D' L B' R D2 F2 D
D' L B' R D2 F2 D'
D' L B' R D2 F2 D2
D' L B' R F D2 F2
D' L B' R F' D2 F2
D' L B' R F2 D2 F2
D' L B' R2 D2 R' F2
D' L B' R2 D2 F2 R'
D L B' R' B R2 F'
D' L B' U2 B2 U2 R
D' L B' D R D F2
D' L B' D2 R F2 D
D' L B' D2 R F2 D'
D' L B' D2 R F2 D2
D' L B' D2 R' F2 R2
D' L B' D2 R2 F2 R'
D' L B' F2 D2 F2 R
F L' R2 U L2 F' R
F L' R2 U F' L2 R
F L' R2 U F' R L2
F L' U L2 R2 F' R
F L' U R2 L2 F' R
F L' U R2 F' L2 R
F L' U R2 F' R L2
R2 L' F' L2 R' D B2
R2 L' F' R' L2 D B2
D' L' B U2 L2 R B'
D' L' B U2 L2 B' R
D' L' B U2 R L2 B'
L2 R2 D L' F' R' B
R2 L2 D L' F' R' B
L R2 D F R' F2 B
L R2 D F R' B F2
L R2 D F' R' D B
L R2 D F' R' D' B
L R2 D F' R' D2 B
L R2 D F' R' B D
L R2 D F' R' B D'
L R2 D F' R' B D2
L R2 D F2 R' F B
L R2 D F2 R' B F
D' L' B2 L2 R F B'
D' L' B2 L2 R B' F
D' L' B2 L2 B' R F
D' L' B2 R L2 F B'
D' L' B2 R L2 B' F
L R2 D' F' D2 R' B
D' L2 R D2 L' F B'
D' L2 R D2 L' B' F
L R2 D2 F' D' R' B
L' R2 F' L2 R' D B2
L' R2 F' R' L2 D B2
L R2 F' R' U R2 U'
L R2 F' R' D B2 D
L R2 F' R' D B2 D'
L R2 F' R' D B2 D2
L R2 F' R' B D B2
L R2 F' R' B' D B2
L R2 F' R' B2 D B2
L R2 F' U R U' R2
L R2 F' D R' D B2
L R2 F' D' R' D B2
L R2 F' D2 R' D B2
R2 U L D F' R' B
R2 U L F' R' D B2
D' L2 B U2 L' R B
D' L2 B U2 R L' B
D' L2 B U2 R B L'
R2 U D L F' R' B
R2 U D F' L R' B
R2 U D F' R' L B
R2 U D' L F' R' B'
R2 U D' F' L R' B'
R2 U D' F' R' L B'
D' R L B' R F' R'
D' R L2 D2 L' F B'
D' R L2 D2 L' B' F
R2 U F' L R' D B2
R2 U F' R' L D B2
R2 U F' R' D L B2
R2 U' L D F' R' B
R2 U' L F' R' D B2
F' R F U' L R F'
F' R F U' R L F'
F' R F U' R F' L
R2 U' D L F' R' B
R2 U' D F' L R' B
R2 U' D F' R' L B
R2 U' D' L F' R' B'
R2 U' D' F' L R' B'
R2 U' D' F' R' L B'
D' R' L B' R' F' R'
D R' L B R' F' R'
R2 U' F' L R' D B2
R2 U' F' R' L D B2
R2 U' F' R' D L B2
D' R' U2 L R2 F B'
D' R' U2 L R2 B' F
D' R' U2 L F R2 B'
D' R' U2 L F B' R2
D' R' U2 L B' R2 F
D' R' U2 L B' F R2
D' R' U2 R2 L F B'
D' R' U2 R2 L B' F
D R' U2 L F B R2
D R' U2 L B R2 F
D R' U2 L B F R2
R2 U2 L D F' R' B
R2 U2 L F' R' D B2
R' U2 R2 D' L F B'
R' U2 R2 D' L B' F
R2 U2 D L F' R' B
R2 U2 D F' L R' B
R2 U2 D F' R' L B
R2 U2 D' L F' R' B'
D' R2 L D F' R' B'
D2 R2 L D' F' R' B
D' R2 L D' F' R' B'
U' R2 L D F' R' B
D' R2 L D2 F' R' B'
D' R2 L F R' F2 B'
D' R2 L F R' B' F2
R2 U2 D' F' L R' B'
R2 U2 D' F' R' L B'
D2 R2 L F' D' R' B
D' R2 L F' R B' R2
D' R2 L F' R' D B'
D' R2 L F' R' D' B'
D' R2 L F' R' D2 B'
D' R2 L F' R' B' D
D' R2 L F' R' B' D'
D' R2 L F' R' B' D2
D' R2 L F' R2 B' R
D' R2 L F' D R' B'
D' R2 L F' D' R' B'
D' R2 L F' D2 R' B'
D' R2 L F2 R' F B'
D' R2 L F2 R' B' F
U' R2 L F' R' D B2
U2 R2 L D F' R' B
D' R2 L B' D2 F' R
U2 R2 L F' R' D B2
D R2 L F' R B R2
U R2 L D F' R' B
F R2 L F' R D' B2
F R2 L F' D' R B2
F R2 L F' D' B2 R
U R2 L F' R' D B2
F R2 L' U L2 F' R
F R2 L' U F' L2 R
F R2 L' U F' R L2
D' R2 U L F' R' B'
R2 U2 F' L R' D B2
R2 U2 F' R' L D B2
R2 U2 F' R' D L B2
D' R2 U F' L R' B'
D' R2 U F' R' L B'
D' R2 U' L F' R' B'
D' R2 U' F' L R' B'
D' R2 U' F' R' L B'
D' R2 U2 L F' R' B'
D' R2 U2 F' L R' B'
D' R2 U2 F' R' L B'
D2 R2 D L F' R' B'
U' R2 D L F' R' B
U2 R2 D L F' R' B
D2 R2 D F' L R' B'
D2 R2 D F' R' L B'
U' R2 D F' L R' B
U' R2 D F' R' L B
D2 R2 D' L F' R' B
U2 R2 D F' L R' B
U2 R2 D F' R' L B
U' R2 D' L F' R' B'
U R2 D L F' R' B
U2 R2 D' L F' R' B'
D2 R2 D' F' L R' B
D2 R2 D' F' R' L B
U' R2 D' F' L R' B'
U' R2 D' F' R' L B'
U R2 D F' L R' B
U R2 D F' R' L B
D' R2 D2 L F' R' B
U2 R2 D' F' L R' B'
U2 R2 D' F' R' L B'
U R2 D' L F' R' B'
D' R2 D2 F' L R' B
D' R2 D2 F' R' L B
R2 D L F R' F2 B
R2 D L F R' B F2
U R2 D' F' L R' B'
