B L2 R2 U' L R
B L2 R2 U' R L
B R2 L2 U' L R
B R2 L2 U' R L
B D L' R' F2 B2
B D L' R' B2 F2
B D L' F2 R' B2
B D R' L' F2 B2
B D R' L' B2 F2
B D R' B2 L' F2
B' D B2 L' R' F2
B' D B2 L' F2 R'
B' D B2 R' L' F2
R2 B L2 U' L R'
R2 B L2 U' R' L
B' L U' L R2 U' L
B' L U' R2 L U' L
L2 R D' R F' U' L
D L B' U F2 B' L2
D L B' U B' L2 F2
D L B' U B' F2 L2
R2 L' D L' F U' L
B L' R' U L' R' U'
B L' R' U R' L' U'
B L' U L' R2 U' R
B L' U R2 L' U' R
D L' U F U' F B2
D L' U F U' B2 F
R2 L' B L' U' L R'
R2 L' B L' U' R' L
L2 R2 U' L B R' B'
R2 L2 U' L B R' B'
D L' F' B2 D F' R2
D L' F2 U F' U' B2
L2 R2 U' B R' B' L
R2 L2 U' B R' B' L
D L' F2 B2 U F' U'
L' R2 D L' F U' L
R L2 D' R F' U' L
D L' B2 U F U' F
D L' B2 F' D F' R2
D L' B2 F2 U F' U'
L2 R2 D2 F' U' L R
L2 R2 D2 F' U' R L
R2 L2 D2 F' U' L R
R2 L2 D2 F' U' R L
B' L2 R2 U L' U2 L2
B' L2 R2 U' L D2 R2
B L2 R2 U' L R D
B L2 R2 U' L R D'
B L2 R2 U' L R D2
B L2 R2 U' L D R
B L2 R2 U' L D' R
B L2 R2 U' L D2 R
B L2 R2 U' R L D
B L2 R2 U' R L D'
B L2 R2 U' R L D2
B L2 R2 U' R D L
B L2 R2 U' R D' L
B L2 R2 U' R D2 L
B L2 R2 U' D L R
B L2 R2 U' D R L
B L2 R2 U' D' L R
D2 L2 R2 F' U L R
B L2 R2 U' D' R L
D2 L2 R2 F' U R L
B L2 R2 U' D2 L R
B L2 R2 U' D2 R L
B' L2 R2 F2 U' L R
B' L2 R2 F2 U' R L
B L2 R2 D U' L R
B L2 R2 D U' R L
B L2 R2 D' U' L R
B L2 R2 D' U' R L
B L2 R2 D2 U' L R
B L2 R2 D2 U' R L
B L2 U' L D R' B2
L' R2 B L' U' L R'
L' R2 B L' U' R' L
B L2 U' D L R' B2
B L2 U' D R' L B2
B L2 D U' L R' B2
B L2 D U' R' L B2
B L2 F R2 U' L R
B L2 F R2 U' R L
D2 L2 F' R2 U L R'
D2 L2 F' R2 U R' L
B L2 F' R2 U' L R
B L2 F' R2 U' R L
B' L2 F2 R2 U' L R'
B' L2 F2 R2 U' R' L
B L2 F2 R2 U' L R
B L2 F2 R2 U' R L
L' U R2 D L' F U'
L' U D L' F U' B2
L2 U' L B D R' B2
L2 U' L B' D B2 R'
B R' L' U L' R' U'
B R' L' U R' L' U'
B R' U L2 R' U' L
B R' U R' L2 U' L
B' R2 L2 U L' U2 L2
B' R2 L2 U' L D2 R2
D2 R2 L2 F' U L R
D2 R2 L2 F' U R L
B' R2 L2 F2 U' L R
B' R2 L2 F2 U' R L
B R2 L2 U' L R D
B R2 L2 U' L R D'
B R2 L2 U' L R D2
B R2 L2 U' L D R
B R2 L2 U' L D' R
B R2 L2 U' L D2 R
B R2 L2 U' R L D
B R2 L2 U' R L D'
B R2 L2 U' R L D2
B R2 L2 U' R D L
B R2 L2 U' R D' L
B R2 L2 U' R D2 L
B R2 L2 U' D L R
B R2 L2 U' D R L
B R2 L2 U' D' L R
B R2 L2 U' D' R L
B R2 L2 U' D2 L R
B R2 L2 U' D2 R L
B R2 L2 D U' L R
B R2 L2 D U' R L
B R2 L2 D' U' L R
B R2 L2 D' U' R L
B R2 L2 D2 U' L R
B R2 L2 D2 U' R L
B R2 U' R D L' F2
B R2 U' D L' R F2
B R2 U' D R L' F2
B R2 D U' L' R F2
B R2 D U' R L' F2
L' D L' F U' L B2
U' R2 B L2 U' L R'
U' R2 B L2 U' R' L
U2 R2 B L2 U' L R'
U2 R2 B L2 U' R' L
B R2 B L2 U' L R
B R2 B L2 U' R L
U R2 B L2 U' L R'
U R2 B L2 U' R' L
B2 R2 B' L2 U' L R'
B2 R2 B' L2 U' R' L
L' D U L' F U' B2
B R2 B' L2 U' L R
B R2 B' L2 U' R L
B' R2 B2 L2 U' L R'
B' R2 B2 L2 U' R' L
B R2 B2 L2 U' L R
B R2 B2 L2 U' R L
B U L2 R2 U' L R
B U L2 R2 U' R L
B U R2 L2 U' L R
B U R2 L2 U' R L
L' D B2 U L' F U'
B' U D B2 L' R' F2
B' U D B2 L' F2 R'
B' U D B2 R' L' F2
B U D L' R' F2 B2
B U D L' R' B2 F2
B U D L' F2 R' B2
B U D R' L' F2 B2
B U D R' L' B2 F2
B U D R' B2 L' F2
B U' L2 R2 U' L R
B U' L2 R2 U' R L
B U' R2 L2 U' L R
B U' R2 L2 U' R L
B' U' D B2 L' R' F2
B' U' D B2 L' F2 R'
B' U' D B2 R' L' F2
B U' D L' R' F2 B2
B U' D L' R' B2 F2
B U' D L' F2 R' B2
B U' D R' L' F2 B2
B U' D R' L' B2 F2
B U' D R' B2 L' F2
B U2 L2 R2 U' L R
B U2 L2 R2 U' R L
B U2 R2 L2 U' L R
