L2 F2 L' B' U F'
L2 R U' D' F L2 R
L2 R U' D' F R L2
B' L U F2 B' L' U
B' L U B' F2 L' U
L2 R D' U' F L2 R
L2 R D' U' F R L2
L2 R D2 B2 U' F R
F2 L' U2 L' U' F R
F2 L' U2 L' U' F R
F2 L' U2 D F L' U'
F2 L' U2 F L' U' F
F2 L' D U2 F L' U'
R L2 U' D' F L2 R
R L2 U' D' F R L2
R L2 D' U' F L2 R
R L2 D' U' F R L2
D2 L2 R F' B2 U' F2
D2 L2 R B2 F' U' F2
R L2 D2 B2 U' F R
D' L2 F B D R' B
F' L2 F' L' B' U F2
U' L2 F2 L' B' U F'
U2 L2 F2 L' B' U F'
U L2 F2 L' B' U F'
D' L2 B R' D F B2
D' L2 B R' D B2 F
D' L2 B R' F D B2
D' L2 B F D R' B
D2 L2 B2 R F' U' F2
R U D' B' L U2 L
D2 R L2 F' B2 U' F2
D2 R L2 B2 F' U' F2
D' R U B' L U2 L
L U F2 B' L' R' U
L U F2 B' R' L' U
D2 R D F' U' L2 F
L U B' F2 L' R' U
L U B' F2 R' L' U
D2 R F' L2 B2 U' F
D2 R F' U' D L2 F
D2 R F' D U' L2 F
D2 R F' B2 U B U2
D2 R B2 F' U B U2
L2 U' F2 L' U F' R
B' U L F2 B' L' U
B' U L B' F2 L' U
B' U L2 F2 L' B' U
B' U F2 L B' L2 U
B' U F2 L' U2 F U'
L2 D' R U' F L2 R
L2 D' R U' F R L2
R D' U B' L U2 L
R' D' F2 B' L U2 L
R' D' B' L F2 U2 L
R' D' B' F2 L U2 L
B' U' D2 R F' B2 U'
B' U' D2 R B2 F' U'
B' U' D2 B2 R F' U'
L' D2 R F B2 U' F2
L' D2 R B2 F U' F2
L2 D2 R B2 U' F R
L' D2 B2 R F U' F2
L2 D2 B2 R U' F R
R F L2 B' U' F R
L2 F U' F L' U R
L' F U2 F L' U F
L' F2 L' R U F R
L' F2 L' R2 B U F
L' F2 L' U F D R2
L' F2 L' U2 F' U' F2
L2 F2 L' D B' U F'
L2 F2 L' D' B' U F'
L2 F2 L' D2 B' U F'
L2 F2 L' B' U D F'
L2 F2 L' B' U D' F'
L2 F2 L' B' U D2 F'
L2 F2 L' B' U F' D
L2 F2 L' B' U F' D'
L2 F2 L' B' U F' D2
L2 F2 L' B' D U F'
L2 F2 L' B' D' U F'
L2 F2 L' B' D2 U F'
L' F2 R L' U F R
L' F2 R2 L' B U F
L' F2 R2 B L' U F
L2 F2 D L' B' U F'
L2 F2 D' L' B' U F'
L2 F2 D2 L' B' U F'
B D2 R F' B2 U' F'
B D2 R B2 F' U' F'
L2 F2 B L' B' U F'
L2 F2 B' L' B' U F'
B' D2 U' R F' B2 U'
B' D2 U' R B2 F' U'
L2 F2 B2 L' B' U F'
L F2 B' L' U' B' U2
B' D2 U' B2 R F' U'
B D2 B2 R F' U' F'
F2 B L B' L2 U F
L2 B F2 L' B' U F'
D' B' L U' R U' L
L B' L F2 L' U F'
L B' L2 F2 L' U F
F2 B' L' U2 F U' F'
D2 B' U' R F' B' U'
D2 B' U' R B' F' U'
D2 B' U' B' R F' U'
L2 B' F2 L' B' U F'
L B' F2 L' U' B' U2
B' F2 L' U2 F U' F'
B F2 L B' L2 U F
L2 B2 F2 L' B' U F'
