L2 U' L B' R'
L2 R' F' U' L B'
R' L2 F' U' L B'
B' L2 U' L B' R'
B2 L2 U' L B' R'
B L2 U' L B' R'
L2 U' L R B' R'
L2 U' L R' B' R'
L2 U' L R2 B' R'
L2 U' L D B' R'
L2 U' L D' B' R'
L2 U' L D2 B' R'
L2 U' L B' R' D
L2 U' L B' R' D'
L2 U' L B' R' D2
L2 U' L B' D R'
L2 U' L B' D' R'
L2 U' L B' D2 R'
L2 U' R L B' R'
L2 U' R' L B' R'
L2 U' R2 L B' R'
L2 F U' L B' R'
L2 F' U' L B' R'
L2 F2 U' L B' R'
L2 R U' L B' D' R2
D L U' L2 F2 B' R'
D L U' L2 B' R' F2
D L U' L2 B' F2 R'
D L' R F2 B' D' R2
D L' R B' F2 D' R2
L2 R' D F' R U' L
U' L' U L' U' B' R'
L2 R' F' R U' L B'
L2 R' F' R' U' L B'
L2 R' F' R2 U' L B'
L2 R' F' U' L D B'
L2 R' F' U' L D' B'
L2 R' F' U' L D2 B'
L2 R' F' U' L B' D
L2 R' F' U' L B' D'
L2 R' F' U' L B' D2
R' L' B' U L' F' U'
L' R' B' U L' F' U'
R L2 U' L B' D' R2
D L' F2 R B' D' R2
R' L2 D F' R U' L
B' L2 R' F' U' L B'
B2 L2 R' F' U' L B'
B L2 R' F' U' L B'
R' L2 F' R U' L B'
R' L2 F' R' U' L B'
R' L2 F' R2 U' L B'
R' L2 F' U' L D B'
R' L2 F' U' L D' B'
R' L2 F' U' L D2 B'
R' L2 F' U' L B' D
R' L2 F' U' L B' D'
R' L2 F' U' L B' D2
B' L2 U' L R B' R'
B' L2 U' L R' B' R'
B' L2 U' L R2 B' R'
B' L2 U' L D B' R'
B' L2 U' L D' B' R'
B' L2 U' L D2 B' R'
B' L2 U' L B' R' D
B' L2 U' L B' R' D'
B' L2 U' L B' R' D2
B' L2 U' L B' D R'
B' L2 U' L B' D' R'
B' L2 U' L B' D2 R'
B' L2 U' R L B' R'
B2 L2 U' L R B' R'
B2 L2 U' L R' B' R'
B2 L2 U' L R2 B' R'
B2 L2 U' L D B' R'
B2 L2 U' L D' B' R'
B2 L2 U' L D2 B' R'
B' L2 U' R' L B' R'
B2 L2 U' L B' R' D
B2 L2 U' L B' R' D'
B2 L2 U' L B' R' D2
B2 L2 U' L B' D R'
B2 L2 U' L B' D' R'
B2 L2 U' L B' D2 R'
B' L2 U' R2 L B' R'
D L2 U' L F2 B' R'
D L2 U' L B' R' F2
D L2 U' L B' F2 R'
B L2 U' L R B' R'
B L2 U' L R' B' R'
B L2 U' L R2 B' R'
B L2 U' L D B' R'
B2 L2 U' R L B' R'
B L2 U' L D' B' R'
B L2 U' L D2 B' R'
B L2 U' L B' R' D
B L2 U' L B' R' D'
B L2 U' L B' R' D2
B L2 U' L B' D R'
B L2 U' L B' D' R'
B L2 U' L B' D2 R'
B2 L2 U' R' L B' R'
B2 L2 U' R2 L B' R'
B L2 U' R L B' R'
B L2 U' R' L B' R'
B L2 U' R2 L B' R'
D L2 U' F2 L B' R'
L2 U L' U2 L2 B' R'
L2 U L' F U2 L2 R
L2 U L' F U2 R L2
B' L2 F U' L B' R'
B2 L2 F U' L B' R'
B L2 F U' L B' R'
B' L2 F' U' L B' R'
B2 L2 F' U' L B' R'
B L2 F' U' L B' R'
L2 U R U2 L B' R'
B' L2 F2 U' L B' R'
B2 L2 F2 U' L B' R'
B L2 F2 U' L B' R'
L2 U R' U2 L B' R'
L2 U R2 U2 L B' R'
L2 U F U2 L R B'
L2 U F U2 L B' R
D R L' F2 B' D' R2
L2 U F U2 R L B'
D R L' B' F2 D' R2
L2 U F' L' U2 L2 B'
L2 U F' L' F U2 L2
L2 U' L R D B' R'
L2 U' L R D' B' R'
L2 U' L R D2 B' R'
L2 U' L R B' R' D
L2 U' L R B' R' D'
L2 U' L R B' R' D2
L2 U' L R B' D R'
L2 U' L R B' D' R'
L2 U' L R B' D2 R'
L2 U' L R' D B' R'
L2 U' L R' D' B' R'
L2 U' L R' D2 B' R'
L2 U' L R' B' R' D
L2 U' L R' B' R' D'
L2 U' L R' B' R' D2
L2 U' L R' B' D R'
L2 U' L R' B' D' R'
L2 U' L R' B' D2 R'
L2 U' L R2 D B' R'
L2 U' L R2 D' B' R'
L2 U' L R2 D2 B' R'
L2 U' L R2 B' R' D
L2 U' L R2 B' R' D'
L2 U' L R2 B' R' D2
L2 U' L R2 B' D R'
L2 U' L R2 B' D' R'
L2 U' L R2 B' D2 R'
L2 U' L D R B' R'
L2 U' L D R' B' R'
L2 U' L D R2 B' R'
L2 U' L D B' R' D
L2 U' L D B' R' D'
L2 U' L D B' R' D2
L2 U' L D B' D R'
L2 U' L D B' D' R'
L2 U' L D B' D2 R'
L2 U' L D' R B' R'
L2 U' L D' R' B' R'
L2 U' L D' R2 B' R'
L2 U' L D' B' R' D
L2 U' L D' B' R' D'
L2 U' L D' B' R' D2
L2 U' L D' B' D R'
L2 U' L D' B' D' R'
L2 U' L D' B' D2 R'
L2 U' L D2 R B' R'
L2 U' L D2 R' B' R'
L2 U' L D2 R2 B' R'
L2 U' L D2 B' R' D
L2 U' L D2 B' R' D'
L2 U' L D2 B' R' D2
L2 U' L D2 B' D R'
L2 U' L D2 B' D' R'
L2 U' L D2 B' D2 R'
L2 U' L F' B' R' F
L2 U' L F2 B' R' F2
L2 U' L B R B2 R'
L2 U' L B R' B2 R'
L2 U' L B R2 B2 R'
L2 U' L B' R2 D R
L2 U' L B' R2 D' R
L2 U' L B' R2 D2 R
L2 U' L B' D R' D
L2 U' L B' D R' D'
L2 U' L B' D R' D2
L2 U' L B' D' R' D
L2 U' L B' D' R' D'
L2 U' L B' D' R' D2
L2 U' L B' D2 R' D
L2 U' L B' D2 R' D'
L2 U' L B' D2 R' D2
L2 U' L B' F' R' F
L2 U' L B' F2 R' F2
L2 U' L' B' L2 R' B'
L2 U' L' B' R' L2 B'
L2 U' L2 D L' B' R'
L2 U' L2 D' L' B' R'
L2 U' L2 D2 L' B' R'
L2 U' L2 B' L' R' B'
L2 U' L2 B' R' L' B'
L2 U' R L D B' R'
L2 U' R L D' B' R'
L2 U' R L D2 B' R'
L2 U' R L B' R' D
L2 U' R L B' R' D'
L2 U' R L B' R' D2
L2 U' R L B' D R'
L2 U' R L B' D' R'
L2 U' R L B' D2 R'
L2 U' R' L D B' R'
L2 U' R' L D' B' R'
L2 U' R' L D2 B' R'
L2 U' R' L B' R' D
L2 U' R' L B' R' D'
L2 U' R' L B' R' D2
L2 U' R' L B' D R'
L2 U' R' L B' D' R'
L2 U' R' L B' D2 R'
L2 U' R2 L D B' R'
L2 U' R2 L D' B' R'
L2 U' R2 L D2 B' R'
L2 U' R2 L B' R' D
L2 U' R2 L B' R' D'
L2 U' R2 L B' R' D2
L2 U' R2 L B' D R'
L2 U' R2 L B' D' R'
L2 U' R2 L B' D2 R'
L2 U' D2 L B' R' B
L2 U' D2 B' R' B L
L2 U' F L F' B' R'
L2 U' F L B' F' R'
B' R' L2 F' U' L B'
B2 R' L2 F' U' L B'
B R' L2 F' U' L B'
L2 U' F2 L F2 B' R'
L2 U' F2 L B' R' F2
L2 U' F2 L B' F2 R'
L2 U' B' R' B L B'
L2 U' B' D2 R' B L
L U2 L F U' L B'
L2 U2 L' B' U L2 B'
F R' F' L2 U' L B'
L2 U2 F U L B' R'
L2 U2 F' U L B' R'
L2 U2 F2 U L B' R'
L' D L' U' L B' R'
R2 D L' F2 B R' B2
R2 D L' B R' F2 B2
R2 D L' B R' B2 F2
R2 D L' B F2 R' B2
R D L' F2 B' D' R2
R D L' B' F2 D' R2
L2 D R' F' R U' L
R2 D B L' R' F2 B'
R2 D B L' R' B' F2
R2 D B L' F2 R' B'
R2 D B R' L' F2 B'
R2 D B R' L' B' F2
R2 D B2 L' F2 B' R'
R2 D B2 L' B' R' F2
R2 D B2 L' B' F2 R'
L' D' L' U' L B' R'
L' D2 L' U' L B' R'
R D2 L' B' D' R2 F2
R D2 L' B' D' F2 R2
L2 D2 R' F' U' L B
L2 D2 U' L B' R' B
L2 D2 U' B' R' B L
L2 F R' F' U' L B'
L2 F U' L R B' R'
L2 F U' L R' B' R'
L2 F U' L R2 B' R'
L2 F U' L D B' R'
L2 F U' L D' B' R'
L2 F U' L D2 B' R'
L2 F U' L B' R' D
