R B L U L' U
B L R B U L' U
L2 R D F2 B L U2
L2 R D B L F2 U2
L2 R D B F2 L U2
L2 R D' B L U2 B
L R B L U L2 U
L R B L U2 D' B2
L2 R B L U L U
L R B L D F2 U2
L R B L D' U2 B2
R L B L U L2 U
R L B L U2 D' B2
R L B L D F2 U2
R L B L D' U2 B2
L' R B D L U2 B'
L2 R B U2 D' B2 R'
L2 R B D L F2 U2
L2 R B D F2 L U2
L2 R B D' L U2 B2
L2 R B D' U2 B2 R'
U2 L F2 U' L' F' R
R L' B D L U2 B'
R L2 D F2 B L U2
R L2 D B L F2 U2
R L2 D B F2 L U2
R L2 D' B L U2 B
R L2 B L U L U
R L2 B U2 D' B2 R'
R L2 B D L F2 U2
R L2 B D F2 L U2
R L2 B D' L U2 B2
R L2 B D' U2 B2 R'
B R L B U L' U
U2 R U' R' F' L' U'
B' R U2 R2 D F' B2
B' R U2 R2 D B2 F'
B' R U2 R2 F' D B2
D2 R B L U L' U
D' R B L U L' U
D R B L U L' U
B' R B U2 R2 D B2
B2 R' U D2 L2 F' R
B2 R' U D2 F' L2 R
B2 R' U D2 F' R L2
B R' U' L R2 B U2
B2 R' U' R2 B U2 R'
B R' U' R2 L B U2
B' R' D2 L2 D' F' B2
B' R' D2 L2 D' B2 F'
B' R' D2 L2 F' D' B2
B2 R' D2 U L2 F' R
B' R' D2 F' L2 D' B2
B2 R' D2 U F' L2 R
B2 R' D2 U F' R L2
B' R' F' D2 L2 D' B2
F2 R' B' U L' F' R'
R' U2 F U' R F2 L'
B' R2 U R D2 L2 F'
B' R2 U R D2 F' L2
B' R2 U R F' D2 L2
B' R2 U' R' U2 R2 F'
B' R2 U' R' B U2 R2
B2 R2 U' R' B U2 R'
B R2 U' L R' B U2
B R2 U' R' L B U2
U2 R2 D B2 L F R
L2 D R F2 B L U2
L2 D R B L F2 U2
L2 D R B F2 L U2
B' R2 B2 U L R F'
B' R2 B2 U R L F'
B' R2 B2 U R F' L
R D B L U L' U
B' U F2 R' D' L' F
B' U F2 D' L' R' F
B' U F2 D' L' F R'
B' U F2 D' R' L' F
L2 D' R B L U2 B
R' D' F2 B' U R' F
R' D' F2 B' U F R'
R D' B L U L' U
R' D' B' F2 U R' F
R' D' B' F2 U F R'
R' D2 B' U L2 F' R'
R' D2 B' U F' L2 R'
R' D2 B' U F' R' L2
R D2 B L U L' U
U2 F L U' R F L'
R F B L U L' U
R F' B L U L' U
R F2 B L U L' U
R B L U L' U D
R B L U L' U D'
R B L U L' U D2
R B L U L' D U
R B L U L' D' U
R B L U L' D2 U
R B L U D L' U
R B L U D' L' U
R B L U D2 L' U
R B L D U L' U
R B L D' U L' U
R B L D2 U L' U
R B L F2 U' R U'
R B L2 D L' F2 U2
R B L2 D F2 U2 R
R B L2 D' L' U2 B2
R' B U' L R2 B U2
R' B U' R2 L B U2
R B U B2 U R' B2
R B U2 R2 D B2 R'
R B D L U L' U
R B D' L U L' U
R B D2 L U L' U
R B F L U L' U
R B F' L U L' U
R B F2 L U L' U
R' B' U D2 L2 F' R'
R' B' U D2 F' L2 R'
R' B' U D2 F' R' L2
R' B' U F' D2 L2 R'
R' B' U F' D2 R' L2
R' B' U' R2 B U2 R
F2 B' R U L' R2 F'
F2 B' R U R2 L' F'
R' B' D' F2 U R' F
R' B' D' F2 U F R'
F2 B' R2 U L' R F'
F2 B' R2 U R L' F'
R' B' D2 U L2 F' R'
R' B' D2 U F' L2 R'
R' B' D2 U F' R' L2
B' F2 R U L' R2 F'
B' F2 R U R2 L' F'
R' B2 U D2 L2 F' R
R' B2 U D2 F' L2 R
R' B2 U D2 F' R L2
R' B2 U' R2 B U2 R'
B' F2 R2 U L' R F'
B' F2 R2 U R L' F'
R' B2 D2 U L2 F' R
R' B2 D2 U F' L2 R
R' B2 D2 U F' R L2
