D' F2 R B U B2
B L' R' F' U' B2 L
B2 L' U R2 F' L' U2
D2 L' U' L B' L2 R'
D2 L' U' L B' R' L2
B2 L' U' B' R' B2 L
R' L' F' U' B2 L B'
L' R' F' U' B2 L B'
R' L' F' B2 U' L B'
L' R' F' B2 U' L B'
B2 L' D B2 U' B' R'
R' L' B2 F' U' L B'
L' R' B2 F' U' L B'
L' U L R2 U2 B' R'
L' U L' R2 F U2 R
L' U L' F R2 U2 R'
L' U R2 L U2 B' R'
L' U R2 L' F U2 R
L' U R2 F' L' F U2
L' U F' L' R2 F U2
L' U F' L' F R2 U2
L' U F' R2 L' F U2
L' U' L D2 B' L2 R'
L' U' L D2 B' R' L2
L' U' L B' D2 L2 R'
L' U' L B' D2 R' L2
L' U' L' D2 L2 B' R'
D' R F2 B R U B2
F2 R F2 B U L' B2
F2 R F2 B U B2 L'
F2 R B U' R U2 B2
D' R B F2 R U B2
F2 R B F2 U L' B2
F2 R B F2 U B2 L'
L' U' D2 L2 B' R' B
L' U' D2 B' L2 R' B
L' U' D2 B' R' L2 B
L' U' D2 B' R' B L2
B R' L' F' U' B2 L
L' U' B' R' B2 L B'
L' U' B' D2 L2 R' B
L' U' B' D2 R' L2 B
L' U' B' D2 R' B L2
D R' B2 L' F' U' B
F2 R2 U R' B U B2
L' D R' F' R B2 U'
L' D R' F' B2 R U'
L' D R' B2 F' R U'
L' D B2 R' F' R U'
F U R2 U2 B' R' F'
U' D B2 L' U' B R'
U2 D' F2 R U B' R'
L2 D2 L U' L B' R'
D U' B2 L' U' B R'
F U' D2 B' L2 R' F'
F U' D2 B' R' L2 F'
F U' D2 B' R' F' L2
L' D2 R' F' U' L2 B
L' D2 R' F' U' B L2
L' D2 U' L2 B' R' B
L' D2 U' B' L2 R' B
L' D2 U' B' R' L2 B
L' D2 U' B' R' B L2
F U' B' D2 L2 R' F'
F U' B' D2 R' L2 F'
F U' B' D2 R' F' L2
D' U2 F2 R U B' R'
D2 F U' B' L2 R' F'
D2 F U' B' R' L2 F'
D2 F U' B' R' F' L2
B2 D L' B2 U' B' R'
F2 D' R F2 B U B2
F2 D' R B F2 U B2
D' F2 R U B' D' R2
D' F2 R D B U B2
D' F2 R D' B U B2
D' F2 R D2 B U B2
B' D' F2 R B U B'
D' F2 R B L U B2
D' F2 R B L' U B2
D' F2 R B L2 U B2
D2 F2 R B U L2 B2
D2 F2 R B U B2 L2
D' F2 R B U B2 D
D' F2 R B U B2 D'
D' F2 R B U B2 D2
D' F2 R B D L2 U
D' F2 D R B U B2
D' F2 D' R B U B2
D' F2 D2 R B U B2
F2 D2 R B U L2 B2
F2 D2 R B U B2 L2
D' F2 B R B U B
D' F2 B' R B U B'
R F2 B R U L' B2
R F2 B R U B2 L'
F D2 U' B' L2 R' F'
F D2 U' B' R' L2 F'
F D2 U' B' R' F' L2
D' B F2 R B U B
R B F2 R U L' B2
R B F2 R U B2 L'
D' B' F2 R B U B'
R' B2 L' F' U' L2 B
R' B2 L' F' U' B L2
D B2 L' U' B' R' B2
