B' L' U F L' F2
B' L' F U L' F2
B' D' L' F U F2
B' F U L' F2 B'
B' F U L' B' F2
D2 B' L' U L2 F'
D2 B' L' U F' L2
D' B' L' F U F2
F B' U L' F2 B'
F B' U L' B' F2
B' L F L2 U L F2
B' L F L2 U F2 L
B L F' D' R2 B2 L
B' L' U L F L' F2
B' L' U L' F L' F2
B' L' U L2 F L' F2
B' L' U F L F2 L2
B' L' U F L' F2 D
B' L' U F L' F2 D'
B' L' U F L' F2 D2
B' L' U F L2 F2 L
B' L' U F' U2 R U2
D' L' D F U F2 R
B' L' F R U L' F2
B' L' F R' U L' F2
B' L' F R2 U L' F2
B' L' F U L F2 L2
B' L' F U L' F2 D
B' L' F U L' F2 D'
B' L' F U L' F2 D2
B' L' F U L2 F2 L
B' L' F D R2 U L'
B2 L' F B U L' F2
B L' F B2 U L' F2
B2 L' B U F L' F2
B2 L' B F U L' F2
B L' B2 U F L' F2
B L' B2 F U L' F2
B' L2 F L U L2 F2
B' L2 F L U F2 L2
F L2 F R U' F L
F R B' U L' F2 B'
F R B' U L' B' F2
L' U2 L' F U' L' F2
F R' B' U L' F2 B'
F R' B' U L' B' F2
F R2 B' U L' F2 B'
F R2 B' U L' B' F2
D' U B' L' F U F2
D2 U B' L' U L2 F'
D2 U B' L' U F' L2
U' D' B' L' F U F2
D' U' B' L' F U F2
D2 U' B' L' U L2 F'
D2 U' B' L' U F' L2
U2 D' B' L' F U F2
U D' B' L' F U F2
F' U' F2 B' U L' B'
F' U' B' F2 U L' B'
U' D2 B' L' U L2 F'
U' D2 B' L' U F' L2
R' D2 B' L' U F L2
D' U2 B' L' F U F2
D2 U2 B' L' U L2 F'
D2 U2 B' L' U F' L2
U2 D2 B' L' U L2 F'
U2 D2 B' L' U F' L2
U D2 B' L' U L2 F'
U D2 B' L' U F' L2
L2 F U' L' F2 D' B2
L2 F U2 L U L2 F2
L2 F U2 L U F2 L2
U' F B' U L' F2 B'
U' F B' U L' B' F2
U2 F B' U L' F2 B'
U2 F B' U L' B' F2
L2 F B' U' L' F2 B'
L2 F B' U' L' B' F2
L2 F B2 R' U' L' F2
U F B' U L' F2 B'
U F B' U L' B' F2
F D R2 B' U L' B'
F D B' R2 U L' B'
B' D' L' U F' D' L2
B' D' L' D F U F2
B' D' L' D' F U F2
B' D' L' D2 F U F2
B' D' L' F R U F2
B' D' L' F R' U F2
B' D' L' F R2 U F2
B' D' L' F U F2 D
B' D' L' F U F2 D'
B' D' L' F U F2 D2
B' D' L' F D R2 U
B2 D' L' F B U F2
B2 D' L' B F U F2
B D' L' F U R2 F2
B D' L' F U F2 R2
F D' L2 F R U' L
B2 D' B L' F U F2
D' B L' F B2 U F2
D2 B L' B2 U L F'
D2 B L' B2 U F' L
D' B L' B2 F U F2
B' F R U L' F2 B'
B' F R U L' B' F2
B' F R' U L' F2 B'
B' F R' U L' B' F2
B' F R2 U L' F2 B'
B' F R2 U L' B' F2
B' F U L' F2 D B'
B' F U L' F2 D' B'
B' F U L' F2 D2 B'
B' F U L' F2 B' D
B' F U L' F2 B' D'
B' F U L' F2 B' D2
B' F U L' B' F2 D
B' F U L' B' F2 D'
B' F U L' B' F2 D2
B' F U L2 F2 L B'
B' F U B L' F2 B'
B' F U B L' B' F2
B' F U B' L' F2 B'
B' F U B' L' B' F2
B' F U B2 L' F2 B'
B' F U B2 L' B' F2
U' B' L' U F L' F2
D2 B' L' U L F' L
D2 B' L' U L2 D F'
D2 B' L' U L2 D' F'
D2 B' L' U L2 D2 F'
D2 B' L' U L2 F' D
D2 B' L' U L2 F' D'
D2 B' L' U L2 F' D2
D2 B' L' U F L2 F2
D2 B' L' U F' L2 D
D2 B' L' U F' L2 D'
D2 B' L' U F' L2 D2
D' B' L' U F' D' L2
U' B' L' F U L' F2
D2 B' L' D F2 U F
D' B' L' D F U F2
D' B' L' D' F U F2
D2 B' L' F U L2 F2
D2 B' L' F U F2 L2
D' B' L' D2 F U F2
D' B' L' F R U F2
D' B' L' F R' U F2
D' B' L' F R2 U F2
D' B' L' F U F2 D
D' B' L' F U F2 D'
D' B' L' F U F2 D2
D' B' L' F D R2 U
D2 B' L' F2 U F L2
U2 B' L' U F L' F2
B' F D R2 U L' B'
U2 B' L' F U L' F2
U B' L' U F L' F2
F' B D' R2 B2 L B'
U B' L' F U L' F2
D2 B' U L D' F' B2
D2 B' U L D' B2 F'
D2 B' U L F' D' B2
D2 B' U F' D' L B'
D2 B' D L' U L2 F'
D2 B' D L' U F' L2
U' B' D' L' F U F2
D2 B' D' L' U L2 F'
D2 B' D' L' U F' L2
F B' R U L' F2 B'
F B' R U L' B' F2
U2 B' D' L' F U F2
D2 B' D2 L' U L2 F'
D2 B' D2 L' U F' L2
F B' R' U L' F2 B'
F B' R' U L' B' F2
R2 B' D' L' R2 F U
R2 B' D' L' F R2 U
R2 B' D' R2 L' F U
U' B' F U L' F2 B'
U' B' F U L' B' F2
F B' R2 U L' F2 B'
F B' R2 U L' B' F2
U B' D' L' F U F2
D B' D2 L' F U F2
F B' U L' F2 D B'
F B' U L' F2 D' B'
F B' U L' F2 D2 B'
F B' U L' F2 B' D
F B' U L' F2 B' D'
F B' U L' F2 B' D2
F B' U L' B' F2 D
F B' U L' B' F2 D'
F B' U L' B' F2 D2
F B' U L2 F2 L B'
U2 B' F U L' F2 B'
U2 B' F U L' B' F2
L2 B' F U' L' F2 B'
L2 B' F U' L' B' F2
F B' U B L' F2 B'
F B' U B L' B' F2
F B' U B' L' F2 B'
F B' U B' L' B' F2
F B' U B2 L' F2 B'
F B' U B2 L' B' F2
U B' F U L' F2 B'
U B' F U L' B' F2
D2 B2 L' B U L F'
D2 B2 L' B U F' L
D' B2 L' F B U F2
F B' D R2 U L' B'
D' B2 L' B F U F2
B F' D' R2 B2 L B'
L2 B2 F R' U' L' F2
