D' L2 B' L D2 F2
D' L2 B' D2 L F2
D' L2 B' D2 F2 L
U2 D F B U2 L'
U2 D B F U2 L'
U2 D' F B R' U2
U2 D' B R' F U2
U2 D' B F R' U2
D' U2 F B R' U2
D U2 F B U2 L'
D' U2 B R' F U2
D' U2 B F R' U2
D U2 B F U2 L'
B2 D L2 F B' L'
B2 D L2 B' F L'
U2 F D' B R' U2
D' F B R' U2 R
B2 D' L2 F B' L
B2 D' L2 B' F L
F D' B R' U2 R
U2 B D F U2 L'
D' B F R' U2 R
D B2 L2 F B' L'
D B2 L2 B' F L'
F L B D' R2 U2 R2
D' L B' L D2 F2 B'
D' L B' L D2 B' F2
D L B2 L2 F L' B'
D' L' U2 B R' F' U2
D L' F L' B' D2 F2
L2 R2 U' F' R2 B' L'
R2 L2 U' F' R2 B' L'
L2 R2 U' F' B' L' R2
L2 R2 U' F' B' R2 L'
R2 L2 U' F' B' L' R2
R2 L2 U' F' B' R2 L'
L2 R2 U' B' F' L' R2
L2 R2 U' B' F' R2 L'
R2 L2 U' B' F' L' R2
R2 L2 U' B' F' R2 L'
D' L' B R' U2 R B
D' L' B' L' B' L2 F
D' L2 R2 F' R2 B' L
D' L2 R2 F' B' L R2
D' L2 R2 F' B' R2 L
D' L2 R2 B' L F' R2
U L2 R2 U' F' B' L'
U L2 R2 U' B' F' L'
D' L2 R2 B' F' L R2
D' L2 R2 B' F' R2 L
U L2 U B U2 L B2
D' L2 U2 B R' U2 B2
D' L2 U2 B U2 B2 L
D2 L2 D B' L D2 F2
D2 L2 D B' D2 L F2
D2 L2 D B' D2 F2 L
D L2 D2 B' L D2 F2
D L2 D2 B' D2 L F2
D L2 D2 B' D2 F2 L
D' L2 F B' L D2 F2
D' L2 F B' D2 L F2
D' L2 F B' D2 F2 L
D L2 F B' L' D2 F2
D L2 F B' D2 L' F2
D' L2 F' B' L D2 F2
D' L2 F' B' D2 L F2
D' L2 F' B' D2 F2 L
D L2 F' B' D2 F2 L'
D' L2 F2 B' L D2 F2
D' L2 F2 B' D2 L F2
D' L2 F2 B' D2 F2 L
D' L2 B R' U2 R B2
D' L2 B R' U2 B2 R
D' L2 B' L U2 B2 U2
D' L2 B' L D2 F2 D
D' L2 B' L D2 F2 D'
D' L2 B' L D2 F2 D2
D' L2 B' L F D2 F2
D' L2 B' L F' D2 F2
D' L2 B' L F2 D2 F2
D' L2 B' L2 D2 L' F2
B' L2 B' L2 D F L'
D' L2 B' U2 B2 R' U2
D' L2 B' D' L D' F2
D' L2 B' D2 L F2 D
D' L2 B' D2 L F2 D'
D' L2 B' D2 L F2 D2
D' L2 B' D2 L' F2 L2
D' L2 B' D2 F' L F'
D' L2 B' D2 F2 L D
D' L2 B' D2 F2 L D'
D' L2 B' D2 F2 L D2
D' L2 B' D2 F2 D L
D' L2 B' D2 F2 D' L
D' L2 B' D2 F2 D2 L
D' L2 B' F L D2 F2
D' L2 B' F D2 L F2
D' L2 B' F D2 F2 L
D' L2 B' F' L D2 F2
D' L2 B' F' D2 L F2
D' L2 B' F' D2 F2 L
D' L2 B' F2 L D2 F2
D' L2 B' F2 D2 L F2
D' L2 B' F2 D2 F2 L
D' L2 B2 L B L F
D' L2 B2 L2 F B L
D' L2 B2 L2 B F L
D L2 B' F L' D2 F2
D L2 B' F D2 L' F2
D L2 B' F' D2 F2 L'
D L2 B2 L2 F L' B
D L2 B2 L2 F B L'
D L2 B2 L2 B F L'
B R D F U2 L' R'
B R D F U2 R' L'
D' R2 L2 F' R2 B' L
D' R2 L2 F' B' L R2
D' R2 L2 F' B' R2 L
D' R2 L2 B' L F' R2
D' R2 L2 B' F' L R2
D' R2 L2 B' F' R2 L
U R2 L2 U' F' B' L'
U R2 L2 U' B' F' L'
U2 R2 D F U2 L' F2
D R2 F U2 L' R2 F2
D R2 F U2 L' F2 R2
D R2 F U2 R2 L' F2
D R2 F' R2 D2 B2 L
U2 D R2 F U2 L' F2
U2 D F R2 U2 L' F'
U2 D F D B U2 L'
U2 D F D' B U2 L'
U2 D F D2 B U2 L'
U2 D F B R U2 L'
U2 D F B R' U2 L'
U2 D F B R2 U2 L'
U2 D F B U2 L' D
U2 D F B U2 L' D'
U2 D F B U2 L' D2
U2 D F B U2 D L'
U2 D F B U2 D' L'
U2 D F B U2 D2 L'
U2 D F B D U2 L'
U2 D F B D' U2 L'
U2 D F B D2 U2 L'
U2 D F' B R F2 U2
U2 D B R F U2 L'
U2 D B R' F U2 L'
U2 D B R2 F U2 L'
U2 D B F R U2 L'
U2 D B F R' U2 L'
U2 D B F R2 U2 L'
U2 D B F U2 L' D
U2 D B F U2 L' D'
U2 D B F U2 L' D2
U2 D B F U2 D L'
U2 D B F U2 D' L'
U2 D B F U2 D2 L'
U2 D B F D U2 L'
U2 D B F D' U2 L'
U2 D B F D2 U2 L'
U2 D B F' R F2 U2
U2 D' F B R' U2 D
U2 D' F B R' U2 D'
U2 D' F B R' U2 D2
U2 D' F B R' D U2
U2 D' F B R' D' U2
U2 D' F B R' D2 U2
U2 D' F B D R' U2
U2 D' F B D' R' U2
U2 D' F B D2 R' U2
U2 D' F' B R' F2 U2
U2 D' B R F R2 U2
U2 D' B R' D F U2
U2 D' B R' D' F U2
U2 D' B R' D2 F U2
U2 D' B R' F U2 D
U2 D' B R' F U2 D'
U2 D' B R' F U2 D2
U2 D' B R' F D U2
U2 D' B R' F D' U2
U2 D' B R' F D2 U2
U2 D' B D R' F U2
U2 D' B D F R' U2
U2 D' B D' R' F U2
U2 D' B D' F R' U2
U2 D' B D2 R' F U2
U2 D' B D2 F R' U2
U2 D' B F R' U2 D
U2 D' B F R' U2 D'
U2 D' B F R' U2 D2
U2 D' B F R' D U2
U2 D' B F R' D' U2
U2 D' B F R' D2 U2
U2 D' B F D R' U2
U2 D' B F D' R' U2
U2 D' B F D2 R' U2
U2 D' B F' R' F2 U2
D2 U2 F D B R' U2
D' U2 F B R' U2 D
D' U2 F B R' U2 D'
D' U2 F B R' U2 D2
D' U2 F B R' D U2
D' U2 F B R' D' U2
D' U2 F B R' D2 U2
D' U2 F B D R' U2
D' U2 F B D' R' U2
D' U2 F B D2 R' U2
D U2 R2 F U2 L' F2
U2 D2 F D B R' U2
D U2 F R2 U2 L' F'
D' U2 F' B R' F2 U2
D U2 F D B U2 L'
D U2 F D' B U2 L'
D U2 F D2 B U2 L'
D U2 F B R U2 L'
D U2 F B R' U2 L'
D U2 F B R2 U2 L'
D U2 F B U2 L' D
D U2 F B U2 L' D'
D U2 F B U2 L' D2
D U2 F B U2 D L'
D U2 F B U2 D' L'
D U2 F B U2 D2 L'
D U2 F B D U2 L'
D U2 F B D' U2 L'
D U2 F B D2 U2 L'
D U2 F' B R F2 U2
D' U2 B R F R2 U2
D' U2 B R' D F U2
D' U2 B R' D' F U2
D' U2 B R' D2 F U2
D' U2 B R' F U2 D
D' U2 B R' F U2 D'
D' U2 B R' F U2 D2
D' U2 B R' F D U2
D' U2 B R' F D' U2
D' U2 B R' F D2 U2
D' U2 B D R' F U2
D' U2 B D F R' U2
D' U2 B D' R' F U2
D' U2 B D' F R' U2
D' U2 B D2 R' F U2
D' U2 B D2 F R' U2
D' U2 B F R' U2 D
D' U2 B F R' U2 D'
D' U2 B F R' U2 D2
D' U2 B F R' D U2
D' U2 B F R' D' U2
D' U2 B F R' D2 U2
D2 U2 B D' F U2 L'
D' U2 B F D R' U2
D' U2 B F D' R' U2
D' U2 B F D2 R' U2
D' U2 B F' R' F2 U2
U2 D2 B D' F U2 L'
D U2 B R F U2 L'
D U2 B R' F U2 L'
D U2 B R2 F U2 L'
D U2 B F R U2 L'
D U2 B F R' U2 L'
D U2 B F R2 U2 L'
D U2 B F U2 L' D
D U2 B F U2 L' D'
D U2 B F U2 L' D2
D U2 B F U2 D L'
D U2 B F U2 D' L'
D U2 B F U2 D2 L'
D U2 B F D U2 L'
D U2 B F D' U2 L'
D U2 B F D2 U2 L'
