D' R U2 F2 B U
D' R U2 B F2 U
D2 R U2 B U L2
D R B2 U2 B' U
D2 R' F' R2 U' L2
D' R' F' R2 B U'
D R' F' R2 B2 U'
D R' F' B2 R2 U'
D R' B2 F' R2 U'
U R2 U' R' F' U'
R U2 F2 B U L'
R U2 B U' R U2
R U2 B F2 U L'
R' D F' U' B2 L
U2 D' F2 L' B' U
D' U2 F2 L' B' U
R' F R2 F2 U' L'
R' F' R2 U R U2
R' F' U' D B2 L
R' F' D U' B2 L
R F' U2 B U L
R' F' B2 R2 U' L
R F2 U2 B U L'
R B U R U2 R'
U' B' R' D B2 L
R B' D2 F2 U' L'
D B2 R U2 B U
D B2 R' F' R2 U'
R' B2 F' R2 U' L
R' B2 F' R2 U' L
U L R2 U' R' F' U'
D' L F2 L' R B U
D' L F2 R L' B U
D' L F2 R B L' U
U' L B' R' D B2 L
U L' R2 U' R' F' U'
U2 L' D' F2 B' L' U
U2 L' D' B' F2 L' U
U' L' B' R' D B2 L
U2 L' B' D' F2 L' U
D L2 R B2 L2 F U'
U L2 R2 U' R' F' U'
U' L2 B' R' D B2 L
D R L2 B2 L2 F U'
D2 R U' L2 U' B U
D2 R U2 D F2 B U
D2 R U2 D B F2 U
D' R U2 D' B U L2
D2 R U2 F B U L2
D2 R U2 F' B U L2
D2 R U2 F2 B U L2
D' R U2 F2 D B U
D2 R U2 B U L2 D
D2 R U2 B U L2 D'
D2 R U2 B U L2 D2
D' R U2 F2 D' B U
D' R U2 F2 D2 B U
D' R U2 F2 B U D
D' R U2 F2 B U D'
D' R U2 F2 B U D2
D' R U2 F2 B D U
D' R U2 F2 B D' U
D' R U2 F2 B D2 U
D2 R U2 B D F2 U
D2 R U2 B F U L2
D2 R U2 B F' U L2
D2 R U2 B F2 U L2
D' R U2 B U D' L2
D' R U2 B D' U L2
D' R U2 B F2 U D
D' R U2 B F2 U D'
D' R U2 B F2 U D2
D' R U2 B F2 D U
D' R U2 B F2 D' U
D' R U2 B F2 D2 U
B' R U2 F2 B U L'
D R U2 D B U L2
B' R U2 B U' R U2
B' R U2 B F2 U L'
D R U2 D2 F2 B U
D R U2 D2 B F2 U
B2 R U2 F2 B U L'
B2 R U2 B U' R U2
B2 R U2 B F2 U L'
D R U2 B U2 B U'
B R U2 F2 B U L'
B R U2 B U' R U2
B R U2 B F2 U L'
D2 R D U2 F2 B U
D2 R D U2 B F2 U
D R D U2 B U L2
D' R D' U2 B U L2
D2 R D' B2 U2 B' U
D' R D2 B2 U2 B' U
D R D2 U2 F2 B U
D R D2 U2 B F2 U
D2 R F U2 B U L2
D' R F U2 F B U
D' R F U2 B F U
D R F B2 U2 B' U
D2 R F' U2 B U L2
D' R F' U2 F' B U
D' R F' U2 B F' U
B' R F' U2 B U L
B2 R F' U2 B U L
B R F' U2 B U L
D R F' B2 U2 B' U
D2 R F2 U2 B U L2
B' R F2 U2 B U L'
R2 U' R F' R2 U' F
B2 R F2 U2 B U L'
B R F2 U2 B U L'
D R F2 B2 U2 B' U
D2 R B U' L2 D2 R2
B' R B U R U2 R'
B2 R B U R U2 R'
B R B U R U2 R'
D2 R B' U' L2 D' R2
D' R B' U' D' L2 R2
D' R B' U' D' R2 L2
D' R B' U2 F2 B2 U
D2 R B' U2 B2 U L2
D' R B' U2 B2 F2 U
D' R B' D' U' L2 R2
D' R B' D' U' R2 L2
D2 R B' D' B2 U' R2
D' R B' D2 F2 B2 U'
D' R B' D2 B2 F2 U'
B' R B' D2 F2 U' L'
B2 R B' D2 F2 U' L'
D R B' D' B' U' R2
D R B' D2 F2 B' U'
D R B' D2 B' F2 U'
B R B' D2 F2 U' L'
D2 R B2 U2 B' U L2
D' R B2 U2 F2 B' U
D' R B2 U2 B' F2 U
D R B2 L2 F L2 U'
D R B2 U2 D B' U
D R B2 U2 D' B' U
D R B2 U2 D2 B' U
D R B2 U2 B' U D
D R B2 U2 B' U D'
D R B2 U2 B' U D2
D R B2 U2 B' D U
D R B2 U2 B' D' U
D R B2 U2 B' D2 U
D R B2 D U2 B' U
D R B2 D' U2 B' U
D R B2 D2 U2 B' U
D R B2 F U2 B' U
D R B2 F' U2 B' U
D R B2 F2 U2 B' U
B' R' D F' U' B2 L
U' R' D B' R' B' L
B2 R' D F' U' B2 L
D R' D F' U' L2 B2
D R' D F' U' B2 L2
B R' D F' U' B2 L
D2 R' F R2 F2 U' L2
B' R' F R2 F2 U' L'
B2 R' F R2 F2 U' L'
D R' F R2 F2 B2 U'
D R' F R2 B2 F2 U'
B R' F R2 F2 U' L'
D2 R' F' R2 U' L2 D
D2 R' F' R2 U' L2 D'
D2 R' F' R2 U' L2 D2
D2 R' F' R2 D' B2 U'
D' R' F' R2 D B U'
D' R' F' R2 D' B U'
D' R' F' R2 D2 B U'
D2 R' F' R2 B U' L2
D2 R' F' R2 B' U' L2
D2 R' F' R2 B2 U' L2
D' R' F' R2 B U' D
D' R' F' R2 B U' D'
D' R' F' R2 B U' D2
D' R' F' R2 B D U'
D' R' F' R2 B D' U'
D' R' F' R2 B D2 U'
B' R' F' R2 U R U2
D2 R' F' U' L2 D B2
B' R' F' U' D B2 L
D R' F B2 R2 F2 U'
B2 R' F' R2 U R U2
B' R' F' D U' B2 L
D2 R' F' B R2 U' L2
D' R' F' B R2 B U'
B2 R' F' U' D B2 L
D2 R' F' B' R2 U' L2
D' R' F' B' R2 B U'
D R' F' R B2 R U'
D2 R' F' B2 R2 U' L2
D' R' F' B2 R2 B U'
B2 R' F' D U' B2 L
D R' F' R2 U' D L2
D R' F' R2 D U' L2
B' R' F' B2 R2 U' L
B R' F' R2 U R U2
D R' F' R2 B2 U' D
D R' F' R2 B2 U' D'
D R' F' R2 B2 U' D2
D R' F' R2 B2 D U'
D R' F' R2 B2 D' U'
D R' F' R2 B2 D2 U'
D R' F' U' D L2 B2
D R' F' U' D B2 L2
F R' F' R U R2 U2
F R' F' R U' D2 L2
B R' F' U' D B2 L
F R' F' R D B2 U'
F R' F' R D2 U' L2
B2 R' F' B2 R2 U' L
D R' F' D U' L2 B2
D R' F' D U' B2 L2
B R' F' D U' B2 L
D2 R' F2 R2 F U' L2
D R' F' B' R2 B' U'
D R' F' B2 R2 U' D
D R' F' B2 R2 U' D'
D R' F' B2 R2 U' D2
D R' F' B2 R2 D U'
D R' F' B2 R2 D' U'
D R' F' B2 R2 D2 U'
D R' F' B2 U' D B2
D R' F' B2 D U' B2
B R' F' B2 R2 U' L
F R' F' B2 R U' L
D R' F2 R2 F B2 U'
D R' F2 R2 B2 F U'
D R' F2 B2 R2 F U'
D2 R' B F' R2 U' L2
D' R' B F' R2 B U'
D2 R' B' F' R2 U' L2
D' R' B' F' R2 B U'
D R' B' F' R2 B' U'
D2 R' B2 F' R2 U' L2
D' R' B2 F' R2 B U'
B' R' B2 F' R2 U' L
D R' B2 R2 U2 B U
R U2 D F2 B U L'
B2 R' B2 F' R2 U' L
R U2 D B U' R U2
R U2 D B F2 U L'
D R' B2 D F' U' B2
D R' B2 F R2 F2 U'
B R' B2 F' R2 U' L
D R' B2 F' R2 U' D
D R' B2 F' R2 U' D'
D R' B2 F' R2 U' D2
D R' B2 F' R2 D U'
D R' B2 F' R2 D' U'
D R' B2 F' R2 D2 U'
D R' B2 F' U' D B2
