R B R D' F2 L'
L' R B R D' F2 L'
L R B R D' F2 L'
L2 R B R D' F2 L'
R L B R D' F2 L'
R L' B R D' F2 L'
D2 L2 R' F' U R U
R L2 B R D' F2 L'
D2 L2 D R' F' B U2
D2 L2 D R' B F' U2
B2 R U' L B R F
R U B R D' F2 L'
B R D' B L R F2
B R D' B R L F2
B R D' B R F2 L
F' R B R D' F2 L'
F2 R B R D' F2 L'
B R B L D' R F2
F R B R D' F2 L'
B R B D' L R F2
B R B D' R L F2
B R B D' R F2 L
D2 R' L2 F' U R U
D' R' U2 D R2 F' B
D' R' U2 D R2 B F'
R U' B R D' F2 L'
D' R' D U2 R2 F' B
D' R' D U2 R2 B F'
D' R' D F' U2 R2 F'
D' R' D F' B U2 R2
D' R' D B U2 R2 B
D' R' D B F' U2 R2
D' R' D' L2 F' B U2
D' R' D' L2 B F' U2
D' R' D' F' L2 B U2
D' R' D' F' B L2 U2
D' R' D' B L2 F' U2
D' R' D' B F' L2 U2
D2 R' F' L2 U R U
D' R' F' B U' F' U'
D' R' B U2 D R2 B
D' R' B D U2 R2 B
D' R' B D F' U2 R2
D' R' B D' L2 F' U2
D' R' B D' F' L2 U2
R' U2 R2 D' B R F'
D' R' B F' U' F' U'
R' U2 R2 B R D' F2
R U2 B R D' F2 L'
U2 R2 D F2 L' F B'
U2 R2 D F2 L' B' F
R' D L' F' U2 R' F2
R' D L' F' U2 F2 R'
R' D L2 F' U2 R' F'
U2 R2 F2 D L' F B'
U2 R2 F2 D L' B' F
R' D F' L' U2 R' F
R' D F' L' U2 F R'
R' D F' L2 U2 R' F'
R' D F' B2 L B' U2
B U R' F' L' U R'
R' D B2 L F' B' U2
R' D B2 L B' F' U2
R' D B2 F' L B' U2
R' D' F' U2 R F' R2
R D' B R D' L2 F'
R D' B R D' F' L2
R D2 L2 D B R F'
R D2 L2 B D R F'
R' D2 F' U R U R2
R' D2 F' U2 R' D' F2
R D2 B L2 D R F'
R' F' U2 R2 D' R F'
R' F' U2 D' R F' R2
R' F' D L' U2 R' F
R' F' D L' U2 F R'
R' F' D L2 U2 R' F'
R' F' D B2 L B' U2
R' F' D' U2 R F' R2
R B L R D' F2 L'
R B L' R D' F2 L'
R B L2 R D' F2 L'
R B R L D' F2 L'
R B R L' D' F2 L'
R B R L2 D' F2 L'
R B R D' L F2 L'
R B R D' L' F2 L'
R B R D' L2 F2 L'
R B R D' F2 L' D
R B R D' F2 L' D'
R B R D' F2 L' D2
R B R D' F2 D L'
R B R D' F2 D' L'
R B R D' F2 D2 L'
R B R F2 L' D' F2
R B R F2 D' L' F2
R B D' R D' L2 F2
R B D' R D' F2 L2
R B D2 L2 R D' F2
R B D2 R L2 D' F2
