U R F' U R U
F L' F' U R F' U2
L' U R F' U R U
L2 U R F' U R U
L U R F' U R U
R' U R2 F' U R U
R U F' U R F U
U' R F' U R U R2
U' R F' U2 R' D' F2
U2 R F' U R U R'
U R F' U R U D
U R F' U R U D'
U R F' U R U D2
U R F' U R D U
U R F' U R D' U
U R F' U R D2 U
U R F' U D R U
U R F' U D' R U
U R F' U D2 R U
U R F' D U R U
U R F' D' U R U
U R F' D2 U R U
U R F' B U R U
U R F' B' U R U
U R F' B2 U R U
U R B F' U R U
U R B' F' U R U
U R B2 F' U R U
U R2 D R' F' B U2
U R2 D R' B F' U2
D2 R2 B' L U' B' L
D2 R2 B2 U' L F B'
D2 R2 B2 U' L B' F
B' U R F' U R U
B2 U R F' U R U
B U R F' U R U
R' D B2 R U' F' B'
R' D B2 R U' B' F'
U2 D' F L' U F L'
U2 D' F2 U L' F B'
U2 D' F2 U L' B' F
D' U2 F L' U F L'
D' U2 F2 U L' F B'
D' U2 F2 U L' B' F
R' D2 B' L U' L B2
R F' L2 U R B' U
R F' L2 U B' R U
R F' U R U2 F U'
R F' U' F2 L' F' U'
D B R' U R2 U2 F'
D B R' U B R2 U2
U B R F' U R U
D2 B' L U R U2 B'
U B' R F' U R U
U B2 R F' U R U
D B2 U R U2 F' B
D B2 U R U2 B F'
