F2 L' R' B' D L2
L' R' F2 B' D L2
R' L' F2 B' D L2
F2 L' D R' B' L
L' R' B' F2 D L2
R' L' B' F2 D L2
F2 R' L' B' D L2
F2 D L' R' B' L
F2 D R' L' B' L
F D' R' F L' B'
R' F2 L' B' D L2
L' F2 R' B' D L2
F D' F L' R' B'
F D' F R' L' B'
L' F2 D R' B' L
F2 L R' B' D L2 B'
F2 L D L2 R' B' L
F2 L D R' L2 B' L
L' R F' U F' R2 B'
L' R F' U F' B' R2
L' R F' U B' F' R2
L R F' U F' R2 B
R L F' U F' R2 B
B2 L F U2 D' F L'
B2 L F D' U2 F L'
L' R' U B U' F2 B2
L' R' U B U' B2 F2
R' L' U B U' F2 B2
R' L' U B U' B2 F2
F2 L' R' U B U' B2
F2 L' R' D B' D L2
F2 L' R' D' B' D L2
F2 L' R' D2 B' D L2
F2 L' R' B' L D L2
F2 L' R' B' L' D L2
F2 L' R' B' L2 D L2
F2 L' R' B' U B2 U'
F2 L' R' B' D L2 D
F2 L' R' B' D L2 D'
F2 L' R' B' D L2 D2
D L' R2 U R B' L
D L' R2 U B' L R
D L' R2 U B' R L
R' L' D' B' D L2 F2
R' L' D' B' D F2 L2
L' R' D' B' D L2 F2
L' R' D' B' D F2 L2
R' L' D2 B' D L2 F
L' R' D2 B' D L2 F
R' L' F B' D F L2
L' R' F B' D F L2
R L' F' U F' R2 B'
R L' F' U F' B' R2
R L' F' U B' F' R2
R' L' F' B' D L2 F'
R' L' F' B' D F' L2
L' R' F' B' D L2 F'
L' R' F' B' D F' L2
L2 R' F2 L B' D L2
R' L' F2 U B U' B2
L' R' F2 U B U' B2
F2 L' D R B' L R2
F2 L' D R B' R2 L
F2 L' D R' B' L D
F2 L' D R' B' L D'
F2 L' D R' B' L D2
F2 L' D R' B' D L
F2 L' D R' B' D' L
F2 L' D R' B' D2 L
R' L' F2 D B' D L2
F2 L' D R2 B' L R
F2 L' D R2 B' R L
L' R' F2 D B' D L2
R' L' F2 D' B' D L2
L' R' F2 D' B' D L2
R' L' F2 D2 B' D L2
F L' D R' B' L F
F' L' D F' R' B' L
L' R' F2 D2 B' D L2
R' L' F2 B' L D L2
R' L' F2 B' L' D L2
R' L' F2 B' L2 D L2
R' L' F2 B' U B2 U'
R' L' F2 B' D L2 D
R' L' F2 B' D L2 D'
R' L' F2 B' D L2 D2
L' R' F2 B' L D L2
L' R' F2 B' L' D L2
L' R' F2 B' L2 D L2
L' R' F2 B' U B2 U'
L' R' F2 B' D L2 D
L' R' F2 B' D L2 D'
L' R' F2 B' D L2 D2
F2 L' D' R' D2 B' L
R' L' B' L F2 D L2
L' R' B' L F2 D L2
R' L' B' L' F2 D L2
L' R' B' L' F2 D L2
R' L' B' L2 F2 D L2
L' R' B' L2 F2 D L2
R' L' B' U B2 U' F2
L' R' B' U B2 U' F2
F2 L' D2 R' D' B' L
R' L' B' D L2 D' F2
L' R' B' D L2 D' F2
R' L' B' F D F L2
L' R' B' F D F L2
R' L' B' F' D L2 F'
R' L' B' F' D F' L2
R' L' B' F2 L D L2
R' L' B' F2 L' D L2
R' L' B' F2 L2 D L2
L' R' B' F' D L2 F'
L' R' B' F' D F' L2
L' R' B' F2 L D L2
L' R' B' F2 L' D L2
R' L' B' F2 U B2 U'
L' R' B' F2 L2 D L2
R' L' B' F2 D L2 D
R' L' B' F2 D L2 D'
R' L' B' F2 D L2 D2
L' R' B' F2 U B2 U'
L' R' B' F2 D L2 D
L' R' B' F2 D L2 D'
L' R' B' F2 D L2 D2
F' L' F' R' B' D L2
F' L' F' D R' B' L
B L' F2 D B' L R'
B L' F2 D B' R' L
R' L2 F2 L B' D L2
L' U R' F2 B' D L2
L' U R' B' F2 D L2
L' U F2 R' B' D L2
L' U F2 D R' B' L
F2 R U' F' L' U R2
R' U B U2 L U F2
R' U B' R' B2 U' F2
U' R F' L' U F' R2
U2 R F' U F' B R2
U2 R F' U B F' R2
L' U' R' F2 B' D L2
L' U' R' B' F2 D L2
R' U' R2 F' L' U F'
R' U' D R2 F' L' U
F2 R' L B' D L2 B'
F2 R' L' U B U' B2
F2 R' L' D B' D L2
F2 R' L' D' B' D L2
F2 R' L' D2 B' D L2
F2 R' L' B' L D L2
F2 R' L' B' L' D L2
F2 R' L' B' L2 D L2
F2 R' L' B' U B2 U'
F2 R' L' B' D L2 D
F2 R' L' B' D L2 D'
F2 R' L' B' D L2 D2
R U' F' L' U F' R2
L' U' F2 R' B' D L2
L' U' F2 D R' B' L
F2 R' U B U2 L U
F2 R' U B' R' B2 U'
F2 R' D L' B' D L2
F2 R' D' L' B' D L2
F2 R' D2 L' B' D L2
D' R' F D L' F2 B'
D' R' F D L' B' F2
F R' F L' B' D L2
