U' L D R2 F'
U' D L R2 F'
U' D R2 L F'
U' D R2 F' L
D U' L R2 F'
D U' R2 L F'
D U' R2 F' L
D L R2 D F' B2
D L R2 D B2 F'
U' L R2 D F' R2
D L R2 F' D B2
R2 L D F' R2 B2
R2 L D F' B2 R2
R2 L D B2 F' R2
U' L D R2 D F'
U' L D R2 D' F'
U' L D R2 D2 F'
U' L D R2 F' D
U' L D R2 F' D'
U' L D R2 F' D2
U' L D F R2 F'
U' L D F' R2 F'
U' L D F2 R2 F'
F2 L' U B U2 L2
D L' U' L2 R2 F'
D L' U' R2 L2 F'
D L' U' R2 F' L2
L R2 D F' R2 B2
L R2 D F' B2 R2
L R2 D B2 F' R2
F2 L' B2 U' L2 F
F2 L2 U B U2 L'
D L2 U' L' R2 F'
D L2 U' R2 L' F'
U' L2 D L' R2 F'
U' L2 D R2 L' F'
L' U' L2 D R2 F'
L2 U' L' D R2 F'
L2 U' D L' R2 F'
L2 U' D R2 L' F'
U' R2 L D F' R2
D R2 L D F' B2
D R2 L D B2 F'
D R2 L F' D B2
U' R2 D L F' R2
U' R2 D F' L R2
U' R2 D F' R2 L
D R2 D L F' B2
D R2 D L B2 F'
D R2 D F' L B2
R2 D L F' R2 B2
R2 D L F' B2 R2
R2 D L B2 F' R2
D R2 F' L D B2
D R2 F' D L B2
L D R2 D F' B2
L D R2 D B2 F'
L D R2 F' D B2
U' D L R2 D F'
U' D L R2 D' F'
U' D L R2 D2 F'
U' D L R2 F' D
U' D L R2 F' D'
U' D L R2 F' D2
L2 D U' L' R2 F'
U' D L F R2 F'
U' D L F' R2 F'
U' D L F2 R2 F'
L2 D U' R2 L' F'
U' D L' R2 F' L2
R2 D F' L R2 B2
R2 D F' L B2 R2
R2 D F' R2 L B2
D' U L2 B U2 L'
F2 U R' U2 L F
U' D R2 L D F'
U' D R2 L D' F'
U' D R2 L D2 F'
U' D R2 L F' D
U' D R2 L F' D'
U' D R2 L F' D2
U' D R2 L' F' L2
U' D R2 D L F'
U' D R2 D F' L
U' D R2 D' L F'
U' D R2 D' F' L
U' D R2 D2 L F'
F2 U R2 U2 L F'
U' D R2 D2 F' L
F2 U R2 U2 F' L
U' D R2 F L F2
U' D R2 F' L D
U' D R2 F' L D'
U' D R2 F' L D2
U' D R2 F' D L
U' D R2 F' D' L
U' D R2 F' D2 L
U' D F L R2 F'
U' D F R2 L F'
U' D F R2 F' L
U' D F' L R2 F'
U' D F' R2 L F'
U' D F' R2 F' L
U' D F2 L R2 F'
U' D F2 R2 L F'
U' D F2 R2 F' L
D2 U' L D' R2 F'
D U' L R2 D F'
D U' L R2 D' F'
D U' L R2 D2 F'
D U' L R2 F' D
D U' L R2 F' D'
D U' L R2 F' D2
D U' L F R2 F'
D U' L F' R2 F'
D U' L F2 R2 F'
F2 U B2 R' B' U2
D U' L' R2 F' L2
F2 U' L R2 F' R2
F2 U' L U2 B U2
U D' L2 B U2 L'
D U' R2 L D F'
D U' R2 L D' F'
D U' R2 L D2 F'
D U' R2 L F' D
D U' R2 L F' D'
D U' R2 L F' D2
D U' R2 L' F' L2
D U' R2 D L F'
D U' R2 D F' L
D U' R2 D' L F'
D U' R2 D' F' L
D U' R2 D2 L F'
D U' R2 D2 F' L
D U' R2 F L F2
D U' R2 F' L D
D U' R2 F' L D'
D U' R2 F' L D2
D U' R2 F' D L
D U' R2 F' D' L
D U' R2 F' D2 L
D U' F L R2 F'
D U' F R2 L F'
D U' F R2 F' L
F2 U' R2 L F' R2
D U' F' L R2 F'
F2 U' R2 F' L R2
F2 U' R2 F' R2 L
D U' F' R2 L F'
D U' F' R2 F' L
D U' F2 L R2 F'
D U' F2 R2 L F'
D U' F2 R2 F' L
U' D2 L D' R2 F'
F2 U2 R2 U L F'
F2 U2 R2 U F' L
D F U' L R2 F'
D F U' R2 L F'
D F U' R2 F' L
D F' U' L R2 F'
D F' U' R2 L F'
D F' U' R2 F' L
L' F2 U B U2 L2
R2 F2 R2 U' F L
L2 F2 U B R U2
D F2 U' L R2 F'
D F2 U' R2 L F'
D F2 U' R2 F' L
