L U F B U2 R'
L' U B U2 R' B2
L U B F U2 R'
U B U L U R'
F' L U F B U2 R'
D2 L U F L' B U2
D2 L U F B L' U2
F2 L U F B U2 R'
F L U F B U2 R'
F' L U B F U2 R'
D2 L U B F L' U2
F2 L U B F U2 R'
F L U B F U2 R'
B' L F B2 U' B' U'
U L B U L U R'
R2 L' U' D2 F' R B'
R2 L' U' D2 F' B' R
R2 L' U' D2 B' F' R
R2 L' U' F' B R' B2
R2 L' U' B F' R' B2
B' L B2 F U' B' U'
D2 L' R2 U' F' R B'
D2 L' R2 U' F' B' R
D2 L' R2 U' B' F' R
D' L' R2 U' F' B' R'
D' L' R2 U' B' F' R'
D L' R2 F U' F2 B'
D L' R2 F U' B' F2
R2 L' D2 U' F' R B'
R2 L' D2 U' F' B' R
R2 L' D2 U' B' F' R
F' L' U B U2 R' B2
F2 L' U B U2 R' B2
F L' U B U2 R' B2
D2 L' U' R2 F' R B'
D2 L' U' R2 F' B' R
D2 L' U' R2 B' F' R
B L' U2 R' D' B' L
B L' U2 D' R' B' L
B L' D' U2 R' B' L
D L' F R2 U' F' B'
D L' F R2 U' B' F'
D L' F U B U2 B2
D L' F U' B' D2 F2
L' R2 U' D2 F' R B'
L' R2 U' D2 F' B' R
L' R2 U' D2 B' F' R
L' R2 U' F' B R' B2
L' R2 U' B F' R' B2
U L' B U L U R'
L' R2 D2 U' F' R B'
L' R2 D2 U' F' B' R
L' R2 D2 U' B' F' R
D L2 U B L U2 B'
L2 U L B U2 R' B2
L2 U L' F B U2 R'
L2 U L' B F U2 R'
L' U L2 F B U2 R'
L' U L2 B F U2 R'
L U L2 B U2 R' B2
U L2 B U L U R'
L U D2 F L' B U2
L U D2 F B L' U2
L U D2 B F L' U2
L U F L B U2 R'
L U F L' B U2 R'
L U F L2 B U2 R'
L' U F B U2 R' B2
L U F B L U2 R'
L U F B L' U2 R'
L U F B L2 U2 R'
L U F B U2 R' D
L U F B U2 R' D'
L U F B U2 R' D2
L U F B U2 D R'
L U F B U2 D' R'
L U F B U2 D2 R'
L U F B D U2 R'
L U F B D' U2 R'
L U F B D2 U2 R'
L U F B' L B2 U2
L' U F' B U2 R' B2
U2 R U B R F' R2
L' U F2 B U2 R' B2
L' U B L U2 R' B2
L' U B L' U2 R' B2
L' U B L2 U2 R' B2
L2 U B L U2 R' B'
L2 U B L' F U2 R'
L' U B U2 R B2 R2
L' U B U2 R' B2 D
L' U B U2 R' B2 D'
L' U B U2 R' B2 D2
L' U B U2 R2 B2 R
L' U B D2 F2 U2 R'
L U B L2 U2 R' B'
L' U B F U2 R' B2
L' U B F' U2 R' B2
L2 U B U2 D2 R' B
L' U B F2 U2 R' B2
L' U B' L B2 U2 B2
L2 U B D2 U2 R' B
L U B D F U2 R'
L2 U B' L B2 U2 B
L U B D' F U2 R'
L U B D2 F U2 R'
L U B F L U2 R'
L U B F L' U2 R'
L U B F L2 U2 R'
L U B F U2 R' D
L U B F U2 R' D'
L U B F U2 R' D2
L U B F U2 D R'
L U B F U2 D' R'
L U B F U2 D2 R'
L U B F D U2 R'
L U B F D' U2 R'
L U B F D2 U2 R'
L U B' F L B2 U2
L' U' R' B R' F' B2
L' U' R' B R' B2 F'
L' U' R2 D2 F' R B'
L' U' R2 D2 F' B' R
L' U' R2 D2 B' F' R
L' U' R2 F' B R' B2
L' U' R2 B F' R' B2
L' U' D2 R2 F' R B'
L' U' D2 R2 F' B' R
L' U' D2 R2 B' F' R
L2 U' D2 R2 F' R B
L U' F2 R2 F' B R'
L U' F2 R2 B F' R'
L' U' B R' B2 D2 F2
L' U' B' U2 L B2 U2
L' U' B' U2 B2 U2 R'
R U2 R U F' B R'
R U2 R U B F' R'
D2 R2 L' U' F' R B'
D2 R2 L' U' F' B' R
D2 R2 L' U' B' F' R
D' R2 L' U' F' B' R'
D' R2 L' U' B' F' R'
D R2 L' F U' F2 B'
D R2 L' F U' B' F2
U2 R2 U F' R' B R'
U2 R2 U F' B R' B
U2 R2 U B F' R' B
B R2 U' B' U' R B
B R2 U2 R B D L2
R2 D L' F U' F2 B'
R2 D L' F U' B' F2
U2 R2 B U F' R' B
D U B U L B' U
U D B U L B' U
F' U B U L U R'
F2 U B U L U R'
L' D' R2 U' F' B' R'
L' D' R2 U' B' F' R'
F U B U L U R'
B U' R2 B' U' R B
R2 D2 L' U' F' R B'
R2 D2 L' U' F' B' R
R2 D2 L' U' B' F' R
B U' F R B' U' R2
L' D2 R2 U' F' R B'
L' D2 R2 U' F' B' R
L' D2 R2 U' B' F' R
B U' B' U' R B R'
L' D2 U' R2 F' R B'
L' D2 U' R2 F' B' R
L' D2 U' R2 B' F' R
L2 D2 U' R2 F' R B
L D2 U F L' B U2
L D2 U F B L' U2
L D2 U B F L' U2
B U2 R B R2 D L2
B2 U2 D L2 F R B
L' F U B U2 R' B2
B2 D L' B' L' R' F
B2 D L' B' L' F R'
B2 D L' B' R' L' F
U F B U L U R'
B2 D U2 L2 F R B
L' F' U B U2 R' B2
L F' U F2 B U2 R'
L F' U B F2 U2 R'
U F' B U L U R'
B2 D' B' R2 U2 R B
L' F2 U B U2 R' B2
L F2 R2 U' F' B R'
L F2 R2 U' B F' R'
L F2 U F' B U2 R'
L F2 U B F' U2 R'
L F2 U' R2 F' B R'
L F2 U' R2 B F' R'
U F2 B U L U R'
U B L' U L2 U R'
U B L' U2 R' D' B2
U B L' U2 D' R' B2
U B L' D F2 U2 R'
U B L' D' U2 R' B2
U B L2 U L' U R'
U B U L U R' D
U B U L U R' D'
U B U L U R' D2
U B U L U D R'
U B U L U D' R'
U B U L U D2 R'
U B U L D U R'
U B U L D' U R'
U B U L D2 U R'
U B U D L U R'
U B U D' L U R'
U B U D2 L U R'
U B U2 R' U' L U
U B D U L U R'
U B D' U L U R'
U B D2 U L U R'
U B F U L U R'
U B F' U L U R'
U B F2 U L U R'
U B' L B2 U L U
L B2 D L2 F B' R'
L B2 D L2 B' R' F
L B2 D L2 B' F R'
U B2 D' B' U2 R' B
