D' L' R' F' B R2
D' L' R' B F' R2
D' R' L' F' B R2
D' R' L' B F' R2
B R' U' L' F' R2
D' R' B L' F' R2
L' D' R' F' B R2
L' D' R' B F' R2
B' L R' U L2 F' R2
D L R B' L2 D2 F2
B' L R' U F' L2 R2
B' L R' U F' R2 L2
D L R B2 L2 F B
D L R B2 L2 B F
B L R' U' L2 F' R2
B L R' U' F' L2 R2
B L R' U' F' R2 L2
D' L R' F' L2 B R2
D' L R' F' B L2 R2
D' L R' F' B R2 L2
D L R' F' R2 B' L2
D' L R' B L2 F' R2
D L R' F' B' L2 R2
D L R' F' B' R2 L2
D' L R' B F' L2 R2
D' L R' B F' R2 L2
D L R' B' L2 F' R2
D L R' B' F' L2 R2
D L R' B' F' R2 L2
L' R U2 B U' R' U'
L2 R D L B' D2 F2
D L B R B2 L2 F
D L B' L2 R' F' R2
D L B' R' L2 F' R2
D L B' R' F' L2 R2
D L B' R' F' R2 L2
D' L' R U2 F' B U2
D' L' R U2 B F' U2
B L' R U R2 U' F'
D L' R U2 F B U2
D L' R U2 B F U2
R L' U2 B U' R' U'
F2 L' R B U' R' U'
D' L' R' F B R2 F2
D' L' R' F' B R2 D
D' L' R' F' B R2 D'
D' L' R' F' B R2 D2
D' L' R' F' B' R2 B2
D' L' R' F' B2 R2 B'
B' L' R' F' R2 D' B2
D' L' R' F2 B R2 F
D' L' R' B F R2 F2
D' L' R' B F' R2 D
D' L' R' B F' R2 D'
D' L' R' B F' R2 D2
D' L' R' B F2 R2 F
D L' R' F' R2 D2 B2
D' L' R' B' F' R2 B2
D L' R' F2 R2 F B
D L' R' F2 R2 B F
D' L' R' B2 F' R2 B'
B L' R' F' R2 D B2
R' L' F' R' D' R' B
L' R' F' R' D' R' B
L2 R' F' R2 D L B'
D2 L' D R' F' B R2
D2 L' D R' B F' R2
B' L' D R' F' R2 B
F2 L' D' R F' B U2
F2 L' D' R B F' U2
B' L' D' R' F' R2 B2
B' L' D' R' F' B2 R2
B' L' D' R' B2 F' R2
B' L' D' B2 R' F' R2
D' L' F R' F' B R
D' L' F R' B F' R
D' L' B R' F' B R2
D' L' B R' B F' R2
D' L' B' R' F' B R2
D' L' B' R' B F' R2
R L2 D L B' D2 F2
D' L' B2 R' F' B R2
D' L' B2 R' B F' R2
B L2 R' U' L F' R2
D' L2 R' F' L B R2
B L2 R' U' F' L R2
B L2 R' U' F' R2 L
R' L2 F' R2 D L B'
D L2 U2 L R F B
D L2 U2 L R B F
D L2 U2 R L F B
D L2 U2 R L B F
D' R L' U2 F' B U2
D' R L' U2 B F' U2
D R L B' L2 D2 F2
D R L B2 L2 F B
D R L B2 L2 B F
B R L' U R2 U' F'
D R L' U2 F B U2
D R L' U2 B F U2
F2 R L' B U' R' U'
B R U R2 U' L' F'
U2 R D L F B' L2
U2 R D L B' F L2
F2 R D L' F B U2
F2 R D L' B F U2
B R D L B2 L2 F
F2 R D B L' F U2
B R D B2 L2 F L
F2 R B L' U' R' U'
D R B' L B' L2 F
B' R' L U L2 F' R2
B' R' L U F' L2 R2
B' R' L U F' R2 L2
D' R' L F' L2 B R2
D' R' L F' B L2 R2
D' R' L F' B R2 L2
D' R' L B L2 F' R2
B R' L U' L2 F' R2
D' R' L B F' L2 R2
D' R' L B F' R2 L2
B R' L U' F' L2 R2
B R' L U' F' R2 L2
D R' L F' R2 B' L2
D R' L F' B' L2 R2
D R' L F' B' R2 L2
D R' L B' L2 F' R2
D' R' L' F B R2 F2
D R' L B' F' L2 R2
D R' L B' F' R2 L2
D' R' L' F' B R2 D
D' R' L' F' B R2 D'
D' R' L' F' B R2 D2
D' R' L' F' B' R2 B2
D' R' L' F' B2 R2 B'
B' R' L' F' R2 D' B2
D' R' L' F2 B R2 F
D' R' L' B F R2 F2
D' R' L' B F' R2 D
D' R' L' B F' R2 D'
D' R' L' B F' R2 D2
D' R' L' B F2 R2 F
D' R' L' B' F' R2 B2
D' R' L' B2 F' R2 B'
D R' L' F' R2 D2 B2
B R' L' F' R2 D B2
D R' L' F2 R2 F B
D R' L' F2 R2 B F
D' R' L2 F' L B R2
B R' L2 U' L F' R2
B R' L2 U' F' L R2
B R' L2 U' F' R2 L
D' R' U L' F' B R2
D' R' U L' B F' R2
D' R' U B L' F' R2
D' R' U' L' F' B R2
D' R' U' L' B F' R2
B2 R' U' L' F' R2 B'
B2 R' U' L' F' B' R2
B2 R' U' L' B' F' R2
B R' U' L F' L2 R2
B R' U' L F' R2 L2
B R' U' L' F R2 F2
B R' U' L' F' R2 D
B R' U' L' F' R2 D'
B R' U' L' F' R2 D2
B R' U' L' F2 R2 F
D' R' U' B L' F' R2
B R' U' L2 F' L R2
B R' U' L2 F' R2 L
D' R' U2 L' F' B R2
D' R' U2 L' B F' R2
L' U' B' L R' U R2
L' U' B' R' L U R2
D' R' U2 B L' F' R2
L2 U2 R D L F B'
L2 U2 R D L B' F
D' R' B L F' L2 R2
D' R' B L F' R2 L2
D' R' B L' F R2 F2
D' R' B L' F' R2 D
D' R' B L' F' R2 D'
D' R' B L' F' R2 D2
D' R' B L' F2 R2 F
D' R' B L2 F' L R2
D' R' B L2 F' R2 L
D' R' B' L' F' R2 B2
D' R' B' L' F' B2 R2
D' R' B' L' B2 F' R2
B R' B U' L' F' R2
L2 U2 D L R F B'
L2 U2 D L R B' F
L2 U2 D L B' R F
L2 U2 D R L F B'
L2 U2 D R L B' F
B R' B' U' L' F' R2
B R' B2 U' L' F' R2
R U2 B U' R' U' L'
L2 D L R B' D2 F2
L2 D L R' F' R2 B'
L2 D L R' F' B' R2
L2 D L R' B' F' R2
D R2 D2 L' R' F B
D R2 D2 L' R' B F
D R2 D2 L' F R' B
L2 D L B' R' F' R2
D R2 D2 R' L' F B
D R2 D2 R' L' B F
D R2 D2 R' B L' F
R D L B' L2 D2 F2
R D L B2 L2 F B
R D L B2 L2 B F
R D L' U2 F B U2
R D L' U2 B F U2
L2 D R L B' D2 F2
L2 D R' L F' R2 B'
L2 D R' L F' B' R2
L2 D R' L B' F' R2
L2 D R' F' L R2 B'
L2 D R' F' L B' R2
L2 D R' F' R2 L B'
U2 D L R F B' L2
U2 D L R B' F L2
L2 D U2 L R F B'
L2 D U2 L R B' F
L2 D U2 L B' R F
L2 D U2 R L F B'
L2 D U2 R L B' F
U2 D L B' R F L2
U2 D R L F B' L2
U2 D R L B' F L2
R D B' L B' L2 F
L2 D' L R' F' B R2
L2 D' L R' B F' R2
L' D' R U2 F' B U2
L' D' R U2 B F' U2
L2 D' R' L F' B R2
L' D' R' F B R2 F2
L2 D' R' L B F' R2
L' D' R' F' B R2 D
L' D' R' F' B R2 D'
L' D' R' F' B R2 D2
L' D' R' F' B' R2 B2
L' D' R' F' B2 R2 B'
L' D' R' F2 B R2 F
L' D' R' B F R2 F2
L' D' R' B F' R2 D
L' D' R' B F' R2 D'
L' D' R' B F' R2 D2
L' D' R' B F2 R2 F
L' D' R' B' F' R2 B2
L' D' R' B2 F' R2 B'
R2 D' R' D' L' F B
R2 D' R' D' L' B F
R2 D' R' D' B L' F
L2 D' R' F' L B R2
R2 D' R' B D' L' F
L' D' F R' F' B R
L' D' F R' B F' R
B2 U' L' B' R D' F2
L' D' B R' F' B R2
L' D' B R' B F' R2
L' D' B' R' F' B R2
L' D' B' R' B F' R2
L' D' B2 R' F' B R2
L' D' B2 R' B F' R2
R2 D2 L' D R' F B
R2 D2 L' D R' B F
R2 D2 L' D F R' B
D U2 L R F B' L2
D U2 L R B' F L2
D U2 L B' R F L2
D U2 R L F B' L2
D U2 R L B' F L2
B' U2 L U R F L2
D' F R' F' L' B R
D' F R' F' B L' R
D' F R' F' B R L'
D' F R' B F' L' R
D' F R' B F' R L'
F2 D L' R F B U2
F2 D L' R B F U2
F2 D R L' F B U2
F2 D R L' B F U2
F2 D R B L' F U2
B D R' U' L' F' R2
F2 D' L' R F' B U2
F2 D' L' R B F' U2
F2 D' R L' F' B U2
F2 D' R L' B F' U2
F2 D' R B L' F' U2
B D' R' U' L' F' R2
D' F2 L' R F' B U2
D' F2 L' R B F' U2
D F2 L' R F B U2
D F2 L' R B F U2
D' F2 R L' F' B U2
D' F2 R L' B F' U2
D' F2 R B L' F' U2
D F2 R L' F B U2
D F2 R L' B F U2
D F2 R B L' F U2
B D2 R' U' L' F' R2
U' B L R' U' L2 R2
U' B L R' U' R2 L2
U' B L' R D F2 B2
U' B L' R D B2 F2
D' B L' R' F' B R2
D' B L' R' B F' R2
U' B R L' D F2 B2
U' B R L' D B2 F2
L' B R U R2 U' F'
U' B R' L U' L2 R2
U' B R' L U' R2 L2
D' B R' L' F' B R2
