U2 R' F' U' F
U2 L R' F' U' F
U2 L' R' F' U' F
B2 L' B' L2 U F
U2 L2 R' F' U' F
U2 R' L F' U' F
U2 R' L' F' U' F
U2 R' L2 F' U' F
U2 R' D F' U' F
U2 R' D' F' U' F
U2 R' D2 F' U' F
U2 R' F' U' D F
U2 R' F' U' D' F
U2 R' F' U' D2 F
U2 R' F' U' F D
U2 R' F' U' F D'
U2 R' F' U' F D2
U2 R' F' D U' F
U2 R' F' D' U' F
U2 R' F' D2 U' F
L U2 R' F U' F'
U2 D R' F' U' F
U2 D' R' F' U' F
D2 U2 R' F' U' F
U2 D2 R' F' U' F
D' U2 R' F' U' F
D U2 R' F' U' F
U2 F' R' F' U' F2
U2 F2 R' F' U' F'
U2 L R' D F' U' F
U2 L R' D' F' U' F
U2 L R' D2 F' U' F
U2 L R' F' U' D F
U2 L R' F' U' D' F
U2 L R' F' U' D2 F
U2 L R' F' U' F D
U2 L R' F' U' F D'
U2 L R' F' U' F D2
U2 L R' F' D U' F
U2 L R' F' D' U' F
U2 L R' F' D2 U' F
R2 L U2 R F U' F'
L R U2 R2 F U' F'
R L U2 R2 F U' F'
U' L U' L' R' F' U'
U' L U' R' L' F' U'
B2 L U' B2 U' F U'
D2 L U2 R' F U' F'
D' L U2 R' F U' F'
D L U2 R' F U' F'
B2 L U2 D F L2 U'
B2 L U2 D2 F U' F
B2 L U2 F U B2 U2
B2 L U2 F U' D2 F2
B2 L U2 F D L2 U'
B2 L U2 F D2 U' F2
U2 L D R' F' U' F
B2 L D U2 F L2 U'
R' L F U2 F' U F
U2 L D' R' F' U' F
B2 L D' R2 U2 F U'
U2 L D2 R' F' U' F
B2 L D2 U2 F U' F
U2 L F' R' F' U' F2
L' R B' U2 R2 U' F'
U2 L F2 R' F' U' F'
B2 L B2 U2 F U' F'
B2 L' R B' L2 U F
U2 L' R' D F' U' F
U2 L' R' D' F' U' F
U2 L' R' D2 F' U' F
U2 L' R' F' U' D F
U2 L' R' F' U' D' F
U2 L' R' F' U' D2 F
U2 L' R' F' U' F D
U2 L' R' F' U' F D'
U2 L' R' F' U' F D2
U2 L' R' F' D U' F
U2 L' R' F' D' U' F
U2 L' R' F' D2 U' F
B2 L' R' B' L2 U F
B' L' R2 B' L U F'
B2 L' R2 B' L2 U F
U' L' U' L R' F' U'
U' L' U' R' L F' U'
U' L' U' R' F' L U'
L R' F U2 F' U F
U2 L' D R' F' U' F
U2 L' D' R' F' U' F
B2 L' D' R2 B' U B'
B2 L' D' B' R2 U B'
R' L' B' U' B U2 B'
L' R' B' U' B U2 B'
U2 L' D2 R' F' U' F
R L' B' U2 R2 U' F'
U2 L' F' R' F' U' F2
U2 L' F2 R' F' U' F'
L R2 U2 R F U' F'
B' L' B' L U D2 F2
B' L' B' L U' B2 U2
B' L' B' L D' R2 U
B' L' B' L D2 U F2
B2 L' B' L2 R U F
B2 L' B' L2 R' U F
B2 L' B' L2 R2 U F
B2 L' B' L2 U D F
B2 L' B' L2 U D' F
B2 L' B' L2 U D2 F
B2 L' B' L2 U F D
B2 L' B' L2 U F D'
B2 L' B' L2 U F D2
B2 L' B' L2 D U F
B2 L' B' L2 D' U F
B2 L' B' L2 D2 U F
B2 L' B' R L2 U F
B2 L' B' R' L2 U F
B2 L' B' R2 L2 U F
B' L' B' D' L R2 U
B' L' B' D' R2 L U
B' L' B' D2 L U F2
U2 L2 R' D F' U' F
U2 L2 R' D' F' U' F
U2 L2 R' D2 F' U' F
U2 L2 R' F' U' D F
U2 L2 R' F' U' D' F
U2 L2 R' F' U' D2 F
U2 L2 R' F' U' F D
U2 L2 R' F' U' F D'
U2 L2 R' F' U' F D2
U2 L2 R' F' D U' F
U2 L2 R' F' D' U' F
U2 L2 R' F' D2 U' F
U' L2 U' L2 R' F' U'
U' L2 U' R' L2 F' U'
U' L2 U' R' F' L2 U'
U2 L2 D R' F' U' F
U2 L2 D' R' F' U' F
U2 L2 D2 R' F' U' F
U2 L2 F' R' F' U' F2
U2 L2 F2 R' F' U' F'
B2 R L' B' L2 U F
L' U B2 L B U L'
L2 U B2 L B' U L'
U2 R F' R2 F' U' F2
U2 R F2 R2 F' U' F'
U2 R' L D F' U' F
U2 R' L D' F' U' F
U2 R' L D2 F' U' F
U2 R' L F' U' D F
U2 R' L F' U' D' F
U2 R' L F' U' D2 F
U2 R' L F' U' F D
U2 R' L F' U' F D'
U2 R' L F' U' F D2
U2 R' L F' D U' F
U2 R' L F' D' U' F
U2 R' L F' D2 U' F
U2 R' L' D F' U' F
U2 R' L' D' F' U' F
U2 R' L' D2 F' U' F
U2 R' L' F' U' D F
U2 R' L' F' U' D' F
U2 R' L' F' U' D2 F
U2 R' L' F' U' F D
U2 R' L' F' U' F D'
U2 R' L' F' U' F D2
U2 R' L' F' D U' F
U2 R' L' F' D' U' F
U2 R' L' F' D2 U' F
B2 R' L' B' L2 U F
L U' F R' U R U2
U2 R' L2 D F' U' F
U2 R' L2 D' F' U' F
U2 R' L2 D2 F' U' F
U2 R' L2 F' U' D F
U2 R' L2 F' U' D' F
U2 R' L2 F' U' D2 F
U2 R' L2 F' U' F D
U2 R' L2 F' U' F D'
U2 R' L2 F' U' F D2
U2 R' L2 F' D U' F
U2 R' L2 F' D' U' F
U2 R' L2 F' D2 U' F
L U' F' R' F2 U' L'
U2 R' D L F' U' F
U2 R' D L' F' U' F
U2 R' D L2 F' U' F
U2 R' D F' U' D F
U2 R' D F' U' D' F
U2 R' D F' U' D2 F
U2 R' D F' U' F D
U2 R' D F' U' F D'
U2 R' D F' U' F D2
U2 R' D F' D U' F
U2 R' D F' D' U' F
U2 R' D F' D2 U' F
U2 R' D' L F' U' F
U2 R' D' L' F' U' F
U2 R' D' L2 F' U' F
U2 R' D' F' U' D F
U2 R' D' F' U' D' F
U2 R' D' F' U' D2 F
U2 R' D' F' U' F D
U2 R' D' F' U' F D'
U2 R' D' F' U' F D2
U2 R' D' F' D U' F
U2 R' D' F' D' U' F
U2 R' D' F' D2 U' F
U2 R' D2 L F' U' F
U2 R' D2 L' F' U' F
U2 R' D2 L2 F' U' F
L2 U2 L' R' F U' F'
U2 R' D2 F' U' D F
U2 R' D2 F' U' D' F
U2 R' D2 F' U' D2 F
U2 R' D2 F' U' F D
U2 R' D2 F' U' F D'
U2 R' D2 F' U' F D2
U2 R' D2 F' D U' F
U2 R' D2 F' D' U' F
U2 R' D2 F' D2 U' F
U2 R' F L F2 U' F
U2 R' F L' F2 U' F
U2 R' F L2 F2 U' F
L' U2 L2 R' F U' F'
U2 R' F U' D F' R2
U2 R' F D U' F' R2
U2 R' F' L2 U B' U2
U2 R' F' U B U2 F
U2 R' F' U B' U2 F
U2 R' F' U B2 U2 F
U2 R' F' U' R F R'
U2 R' F' U' R2 F R2
U2 R' F' U' D F D
U2 R' F' U' D F D'
U2 R' F' U' D F D2
U2 R' F' U' D' F D
U2 R' F' U' D' F D'
U2 R' F' U' D' F D2
U2 R' F' U' D2 F D
U2 R' F' U' D2 F D'
U2 R' F' U' D2 F D2
U2 R' F' U' F2 D F'
U2 R' F' U' F2 D' F'
U2 R' F' U' F2 D2 F'
U2 R' F' U2 R U F
U2 R' F' U2 R' U F
U2 R' F' U2 R2 U F
U2 R' F' D U' F D
U2 R' F' D U' F D'
U2 R' F' D U' F D2
U2 R' F' D' U' F D
U2 R' F' D' U' F D'
U2 R' F' D' U' F D2
U2 R' F' D2 U' F D
U2 R' F' D2 U' F D'
U2 R' F' D2 U' F D2
L' U2 R' L2 F U' F'
L2 U2 R' L' F U' F'
U2 R' F2 D' F L2 U'
R2 U2 R' F' R2 U' F
L U2 R' D F U' F'
L U2 R' D' F U' F'
L U2 R' D2 F U' F'
L U2 R' F L U' F'
L U2 R' F L' U' F'
L U2 R' F L2 U' F'
L U2 R' F U' D F'
L U2 R' F U' D' F'
L U2 R' F U' D2 F'
L U2 R' F U' F' D
L U2 R' F U' F' D'
L U2 R' F U' F' D2
L U2 R' F D U' F'
L U2 R' F D' U' F'
L U2 R' F D2 U' F'
R U2 R' F' R' U' F
L U2 D R' F U' F'
L U2 D' R' F U' F'
L U2 D2 R' F U' F'
B' R2 L' B' L U F'
B2 R2 L' B' L2 U F
L U2 F' R' F2 U' F'
U2 D L R' F' U' F
U2 D L' R' F' U' F
L D U2 R' F U' F'
U2 D L2 R' F' U' F
U2 D R' L F' U' F
U2 D R' L' F' U' F
