F2 R2 U' L B U' R'
L2 D R2 B' L' F U'
L2 D B' L' R2 F U'
L2 D B' L' F R2 U'
L2 D B' R2 L' F U'
D' F B2 L2 R' B U
D' F B2 R' L2 B U
D' F B2 R' B L2 U
D2 F' B2 R D' L2 F2
D2 F' B2 R D' F2 L2
B' D2 F U B2 R' F'
B' F U' F L U2 F
L2 B' L' U L2 F2 U2
L2 B' L' U F2 L2 U2
L2 B' L' U' D2 R2 B2
L2 B' L' U' D2 B2 R2
L2 B' L' D R2 F2 U'
L2 B' L' D F2 R2 U'
L2 B' L' D2 U' R2 B2
L2 B' L' D2 U' B2 R2
F B' U' F L U2 F
D' B2 R' F L2 B U
D' B2 R' F B L2 U
D' B2 R' B F L2 U
D' B2 F L2 R' B U
D' B2 F R' L2 B U
D' B2 F R' B L2 U
D2 B2 F' R D' L2 F2
D2 B2 F' R D' F2 L2
