R2 U F' R U2
U R2 F' R U2
D2 U' B' L B2
B2 U' D2 B' L
U' D2 B' L B2
U' F L' F' B
U' F L' B F'
U F U2 L' B
U2 F U L' B
U F U2 B L'
U2 F U B L'
U2 F U B L'
U' F B L' F'
U F2 U2 B L
B2 D2 U' B' L
U' B F L' F'
D2 B' U' L B2
U' B2 D2 B' L
U' L D2 B' L B2
U' L F L' F' B
U' L F L' B F'
U2 L F U L' B
U2 L F U B L'
U' L F B L' F'
U' L B F L' F'
D' L B' L' U' B2
U' L B2 D2 B' L
U' L' D2 B' L B2
U' L' F L' F' B
U' L' F L' B F'
U2 L' F U L' B
U2 L' F U B L'
U' L' F B L' F'
U' L' B F L' F'
U' L' B2 D2 B' L
U' L2 D2 B' L B2
U' L2 F L' F' B
U' L2 F L' B F'
U' L2 F B L' F'
U2 L2 F U L' B
U2 L2 F U B L'
R U R F' R U2
U' L2 B F L' F'
U' L2 B2 D2 B' L
R2 U F' R U2 D
R2 U F' R U2 D'
R2 U F' R U2 D2
R2 U F' R D U2
R2 U F' R D' U2
R2 U F' R D2 U2
R2 U F' D R U2
R2 U F' D' R U2
R2 U F' D2 R U2
R U F' R F' U2
B2 R U' D2 B' L
B2 R D2 U' B' L
U R F' R F' U2
R U' D2 L B' L
R U' D2 B' L B'
B2 R' U' D2 B' L
B2 R' D2 U' B' L
U R' F U2 L' B'
U R' F' R U2 B
D R' B R U' B
B2 R2 U' D2 B' L
D R2 U F' U2 L'
B2 R2 D2 U' B' L
U R2 F' R U2 D
U R2 F' R U2 D'
U R2 F' R U2 D2
U R2 F' R D U2
U R2 F' R D' U2
U R2 F' R D2 U2
U R2 F' D R U2
U R2 F' D' R U2
U R2 F' D2 R U2
R2 D R2 U' B L
R D R' B R' U'
L' D' L B' U' B2
R D B R' B U'
B2 U F U2 B' L'
B' U F U2 L' B2
B' U F U2 B2 L'
B2 U F' R U2 B'
B' U F' R U2 B2
U' D B2 D B' L
U' D' L B D L2
D2 U' L B' L B2
D' U' L B D L2
U2 D' L' F U B
D2 U' L' B' L B2
U2 D' L2 U B L
D2 U' L2 B' L B2
D2 U' B U2 R' U2
D2 U' B' L B2 D
D2 U' B' L B2 D'
D2 U' B' L B2 D2
D2 U' B' L B2 D2
D2 U' B' L' B2 L2
D2 U' B' L2 B2 L'
B2 U' D2 B' L D
B2 U' D2 B' L D'
B2 U' D2 B' L D2
B2 U' D2 B' D L
B2 U' D2 B' D' L
B2 U' D2 B' D2 L
B' U' F L' F' B2
B' U' F L' B2 F'
U' D' B2 D' B' L
B2 U' F B' L' F'
D' U' B2 D' B' L
B' U' F B2 L' F'
U' D2 L B' L B2
D U' B2 D B' L
U' D2 L' B' L B2
D' U2 L' F U B
U' D2 L2 B' L B2
D' U2 L2 U B L
B2 U' B' F L' F'
B' U' B' D2 B' L
B' U' B2 F L' F'
R D2 U' L B' L
R D2 U' B' L B'
U' D2 B U2 R' U2
U' D2 B' L B2 D
U' D2 B' L B2 D'
U' D2 B' L B2 D2
U' D2 B' L' B2 L2
U' D2 B' L2 B2 L'
U' F L F' L2 B
U' F L F' B L2
