F' U F2 U2 L F
F' U' L D2 F B2
F' U' L D2 B2 F
F' U' D2 L F B2
F' U' D2 L B2 F
F' D R2 U' L F
F' D2 U' L F B2
F' D2 U' L B2 F
B L F' U' L B' L
B L F' U' B' L B'
B L F' B' U' L B'
B L B' F' U' L B'
U2 L' F' L' U' B' L'
F' L2 U F2 R B U2
F' L2 U' L F L2 B'
U' L2 B' L' F D R2
R U F U2 L R F
R U F U2 R L F
F' R U F2 U2 L F
F' R U' L D2 F B2
F' R U' L D2 B2 F
F' R U' D2 L F B2
F' R U' D2 L B2 F
F' R D R2 U' L F
F' R D2 U' L F B2
F' R D2 U' L B2 F
R U' L2 B' L' R' F
R U' L2 B' L' F R'
R U' L2 B' R' L' F
F' R' U F2 U2 L F
F' R' U' L D2 F B2
F' R' U' L D2 B2 F
F' R' U' D2 L F B2
F' R' U' D2 L B2 F
F' R' D R2 U' L F
F' R' D2 U' L F B2
F' R' D2 U' L B2 F
F' R2 U F2 U2 L F
F' R2 U' L D2 F B2
F' R2 U' L D2 B2 F
F' R2 U' D2 L F B2
F' R2 U' D2 L B2 F
F' R2 D R2 U' L F
F' R2 D2 U' L F B2
F' R2 D2 U' L B2 F
F2 R2 F U' L F B
F2 R2 F U' L B F
F' U R' F2 U2 F L
F' U F2 R' U2 L F'
F' U F2 R' U2 F' L
F' U F2 U2 L D F
F' U F2 U2 L D' F
F' U F2 U2 L D2 F
F' U F2 U2 L F D
F' U F2 U2 L F D'
F' U F2 U2 L F D2
F' U F2 U2 D L F
F' U F2 U2 D' L F
F' U F2 U2 D2 L F
F' U F2 U2 F L F
F' U F2 U2 F' L F
F' U F2 U2 F2 L F
F' U F2 D U2 L F
F' U F2 D' U2 L F
F' U F2 D2 U2 L F
F' U F2 B2 R' U2 F'
F' U B2 R' F2 U2 F
F' U B2 F2 R' U2 F'
F' U' L U2 F2 U2 F'
F' U' L D F D B2
F' U' L D' F D' B2
F' U' L D2 F B2 D
F' U' L D2 F B2 D'
F' U' L D2 F B2 D2
F' U' L D2 B2 D F
F' U' L D2 B2 D' F
F' U' L D2 B2 D2 F
F' U' L D2 B2 F D
F' U' L D2 B2 F D'
F' U' L D2 B2 F D2
F' U' L F L2 B' L2
F' U' L F U2 F U2
F' U' L B D2 F B2
F' U' L B D2 B2 F
F' U' L B' D2 F B2
F' U' L B' D2 B2 F
F' U' L B2 D2 F B2
F' U' L B2 D2 B2 F
F' U' L' F L2 F B'
F' U' L' F L2 B' F
F U' L' F2 U' L2 F
F' U' D L D F B2
F' U' D L D B2 F
F' U' D L F D B2
F' U' D2 L F B2 D
F' U' D2 L F B2 D'
F' U' D2 L F B2 D2
F' U' D2 L B2 D F
F' U' D2 L B2 D' F
F' U' D2 L B2 D2 F
F' U' D2 L B2 F D
F' U' D2 L B2 F D'
F' U' D2 L B2 F D2
F' U' D2 L2 B2 L' F
F' U' D2 F L F B2
F' U' D2 F L B2 F
F' U' D2 F' L F B2
F' U' D2 F' L B2 F
F' U' D2 F2 L F B2
F' U' D2 F2 L B2 F
F' U' F L2 B' L' F
F' U' F' L F D2 B2
F U' F2 L' U' L2 F
F U' F2 L2 U' L' F
F' U' B2 D2 B2 L F
U' F L D F R2 B
U2 F U' F2 L' U' L2
U' F D L F R2 B
U F U' F2 U' L F
U F U2 L D R2 F
U F U2 L D F R2
U' F D' L2 U2 L' F
U F U2 D L R2 F
U F U2 D L F R2
U F U2 D R2 L F
U F D U2 L R2 F
U F D U2 L F R2
U F D U2 R2 L F
F' D R2 U' L D F
F' D R2 U' L D' F
F' D R2 U' L D2 F
F' D R2 U' L F D
F' D R2 U' L F D'
F' D R2 U' L F D2
F' D R2 U' D L F
F' D R2 U' D' L F
F' D R2 U' D2 L F
F' D R2 U' F L F
F' D R2 U' F' L F
F' D R2 U' F2 L F
F' D R2 D U' L F
F' D R2 D' U' L F
F' D R2 D2 U' L F
F' D U' L D F B2
F' D U' L D B2 F
F' D U' L F D B2
U2 F' L' U F2 U2 L2
U2 F' L' U' L2 D2 B2
D2 F' U F2 U2 L F
D' F' U F2 U2 L F
D2 F' U' L D2 F B2
D2 F' U' L D2 B2 F
D' F' U' L D2 F B2
D' F' U' L D2 B2 F
D2 F' U' D2 L F B2
D2 F' U' D2 L B2 F
D' F' U' D2 L F B2
D' F' U' D2 L B2 F
L2 F' U' L F L' B'
D F' U F2 U2 L F
L2 F' U' D2 B' L F
D F' U' L D2 F B2
D F' U' L D2 B2 F
L2 F' U' B' L F L'
D F' U' D2 L F B2
D F' U' D2 L B2 F
D2 F' D R2 U' L F
D' F' D R2 U' L F
U2 F' D L' R2 U' L2
U2 F' D R2 L' U' L2
D F' D R2 U' L F
D2 F' D2 U' L F B2
D2 F' D2 U' L B2 F
D' F' D2 U' L F B2
D' F' D2 U' L B2 F
U2 F' D2 L' U' L2 B2
U2 F' D2 L' U' B2 L2
L2 F' D2 U' B' L F
D F' D2 U' L F B2
D F' D2 U' L B2 F
L F' B L U' B' L'
F' D2 R U' L F B2
F' D2 R U' L B2 F
F' D2 R' U' L F B2
F' D2 R' U' L B2 F
F' D2 R2 U' L F B2
F' D2 R2 U' L B2 F
F' D2 U' L F B2 D
F' D2 U' L F B2 D'
F' D2 U' L F B2 D2
F' D2 U' L B2 D F
F' D2 U' L B2 D' F
F' D2 U' L B2 D2 F
F' D2 U' L B2 F D
F' D2 U' L B2 F D'
F' D2 U' L B2 F D2
F' D2 U' L2 B2 L' F
F' D2 U' F L F B2
