B2 L2 F' R U B'
F' R D' L2 U R2
F' R B2 U D2 B2
F' R B2 U' F2 U2
F' R B2 D' L2 U
F' R B2 D2 U B2
F U F2 R B2 U
F U F2 B2 R U
F U B2 F2 R U
L2 F' R B2 U B
F' D' L2 R U R
F' D' R L2 U R
B2 F' R U D2 B2
B2 F' R U' F2 U2
B2 F' R D' L2 U
B2 F' R D2 U B2
B2 F' D' L2 R U
B2 F' D' R L2 U
B2 F' D2 R U B2
F' B2 R U D2 B2
F' B2 R U' F2 U2
F' B2 R D' L2 U
F' B2 R D2 U B2
F' B2 D' L2 R U
F' B2 D' R L2 U
F' B2 D2 R U B2
F' L R D' L2 U R2
F' L R B2 U D2 B2
F' L R B2 U' F2 U2
F' L R B2 D' L2 U
F' L R B2 D2 U B2
F L D L2 R2 U2 F2
F L D R2 L2 U2 F2
F' L D' L2 R U R
F' L D' R L2 U R
F' L D' R L2 U R
F L D' B2 U2 L2 R2
F L D' B2 U2 R2 L2
B2 L F' L R U B'
B2 L F' R L U B'
F' L B2 R U D2 B2
F' L B2 R U' F2 U2
F' L B2 R D' L2 U
F' L B2 R D2 U B2
F' L B2 D' L2 R U
F' L B2 D' R L2 U
F' L B2 D2 R U B2
F' L' R D' L2 U R2
F' L' R B2 U D2 B2
F' L' R B2 U' F2 U2
F' L' R B2 D' L2 U
F' L' R B2 D2 U B2
F L' U2 F2 B2 U B2
F L' U2 B2 F2 U B2
F' L' D' L2 R U R
F' L' D' R L2 U R
B2 L' F' L' R U B'
B2 L' F' R L' U B'
F' L' B2 R U D2 B2
F' L' B2 R U' F2 U2
F' L' B2 R D' L2 U
F' L' B2 R D2 U B2
F' L' B2 D' L2 R U
F' L' B2 D' R L2 U
F' L' B2 D2 R U B2
F' L2 R D' L2 U R2
F' L2 R B2 U D2 B2
F' L2 R B2 U' F2 U2
F' L2 R B2 D' L2 U
F' L2 R B2 D2 U B2
F L2 U F2 B2 R' U
F L2 U B2 R' F2 U
F L2 U B2 F2 R' U
F' L2 D' L2 R U R
F' L2 D' R L2 U R
U' L2 F' R B2 U B
B2 L2 F' R U D B'
B2 L2 F' R U D' B'
B2 L2 F' R U D2 B'
B2 L2 F' R U B' D
B2 L2 F' R U B' D'
B2 L2 F' R U B' D2
B2 L2 F' R D U B'
B2 L2 F' R D' U B'
B2 L2 F' R D2 U B'
U2 L2 F' R B2 U B
B2 L2 F' D R U B'
B2 L2 F' D' R U B'
B2 L2 F' D2 R U B'
U L2 F' R B2 U B
B L2 F' B R U B2
B L2 B F' R U B2
F' L2 B2 R U D2 B2
F' L2 B2 R U' F2 U2
F' L2 B2 R D' L2 U
F' L2 B2 R D2 U B2
F' L2 B2 D' L2 R U
F' L2 B2 D' R L2 U
F' L2 B2 D2 R U B2
F' R L D' L2 U R2
F' R L B2 U D2 B2
F' R L B2 U' F2 U2
F' R L B2 D' L2 U
F' R L B2 D2 U B2
F' R L' D' L2 U R2
F' R L' B2 U D2 B2
F' R L' B2 U' F2 U2
F' R L' B2 D' L2 U
F' R L' B2 D2 U B2
F' R L2 D' L2 U R2
F' R L2 B2 U D2 B2
F' R L2 B2 U' F2 U2
F' R L2 B2 D' L2 U
F' R L2 B2 D2 U B2
L2 U F' R B2 U B
F' R U D' R2 D' B2
F' R U D2 B2 D R2
F R U F2 R B2 U
F R U F2 B2 R U
F R U B2 F2 R U
F' R U' F2 U B2 U
F' R U' F2 U2 D' R2
F' R U' F2 D L2 U2
F' R U' F2 D' U2 R2
F' R U2 D2 F2 U' B2
F' R D' L2 U R2 D
F' R D' L2 U R2 D'
F' R D' L2 U R2 D2
F' R D' L2 D B2 U
F' R D' L2 B U R2
F' R D' L2 B' U R2
F' R D' L2 B2 U R2
F' R D' U R2 D' B2
F' R D' B L2 U R2
F' R D' B' L2 U R2
F' R D' B2 L2 U R2
F' R D2 U B2 D R2
F' R D2 U2 F2 U' B2
F2 R F R B2 U B'
F2 R F B2 R U B
F' R B D' L2 B U
F' R B D' B L2 U
F' R B D2 B U B
F' R B' D' B' L2 U
F' R B' D2 B' U B'
F' R B2 L U D2 B2
F' R B2 L U' F2 U2
F' R B2 L D' L2 U
F' R B2 L D2 U B2
F' R B2 L' U D2 B2
F' R B2 L' U' F2 U2
F' R B2 L' D' L2 U
F' R B2 L' D2 U B2
F' R B2 L2 U D2 B2
F' R B2 L2 U' F2 U2
F' R B2 L2 D' L2 U
F' R B2 L2 D2 U B2
F' R B2 U D2 B2 D
F' R B2 U D2 B2 D'
F' R B2 U D2 B2 D2
F' R B2 U B D2 B2
F' R B2 U B' D2 B2
F' R B2 U B2 D2 B2
F' R B2 U' F2 U2 D
F' R B2 U' F2 U2 D'
F' R B2 U' F2 U2 D2
F' R B2 U' F2 D U2
F' R B2 U' F2 D' U2
F' R B2 U' F2 D2 U2
F' R B2 U2 D R2 U'
