U B' R' U' F' R
B L B2 U F L' U2
F' R U B' R' U' F'
R' U B' R' U' F' R
R2 U B' R' U' F' R
R U B' R' U' F' R
L U' F L' R B' U2
L U' F L' B' R U2
L U' F R L' B' U2
F' U B' R' U' F' R2
B' U2 R' U' F' U2 R
L2 F U' L' F B' U2
L2 F U' L' B' F U2
U F' B' R' U' F' R2
U B' L R' U' F' R
U B' L' R' U' F' R
U B' L2 R' U' F' R
U B' R' L U' F' R
U B' R' L' U' F' R
U B' R' L2 U' F' R
U B' R' U' F' R D
U B' R' U' F' R D'
U B' R' U' F' R D2
U B' R' U' F' D R
U B' R' U' F' D' R
U B' R' U' F' D2 R
U B' R' F U' F2 R
B' F' U2 R' U R2 B
F' B' U2 R' U R2 B
U B' F' R' U' F' R2
