F2 R U B U2
R' F2 R U' F
R2 F2 R U' F'
F2 L R U B U2
F2 L' R U B U2
F2 L2 R U B U2
F2 R L U B U2
F2 R L' U B U2
F2 R L2 U B U2
F2 R U D B U2
F2 R U D' B U2
F2 R U D2 B U2
F2 R U B U2 D
F2 R U B U2 D'
F2 R U B U2 D2
F2 R U B D U2
F2 R U B D' U2
F2 R U B D2 U2
F2 R U' R2 F' R2
F2 R U2 R2 U F'
F2 R D U B U2
F2 R D' U B U2
F2 R D2 U B U2
F2 R' U' D F' B2
F2 R' U' D B2 F'
F2 R' U' F' D B2
F2 R' D U' F' B2
F2 R' D U' B2 F'
F R' F R U' F2
F R2 F R U' F'
F2 D R U B U2
F2 D' R U B U2
R2 F2 L R U' F'
R2 F2 L' R U' F'
R' F2 R U' D F
R' F2 R U' D' F
R' F2 R U' D2 F
R' F2 R U' F D
R' F2 R U' F D
R' F2 R U' F D'
R' F2 R U' F D2
R' F2 R D U' F
R' F2 R D' U' F
R' F2 R D2 U' F
R2 F2 L2 R U' F'
R2 F2 R L U' F'
R2 F2 R L' U' F'
R2 F2 R L2 U' F'
R2 F2 R U' D F'
R2 F2 R U' D' F'
R2 F2 R U' D2 F'
R2 F2 R U' F' D
R2 F2 R U' F' D'
R2 F2 R U' F' D2
R2 F2 R D U' F'
R2 F2 R D' U' F'
R2 F2 R D2 U' F'
R' F2 D R U' F
L2 F2 U2 L U F
R' F2 D' R U' F
R' F2 D2 R U' F
F2 D2 R U B U2
F2 L R U D B U2
F2 L R U D' B U2
F2 L R U D2 B U2
F2 L R U B U2 D
F2 L R U B U2 D'
F2 L R U B U2 D2
F2 L R U B D U2
F2 L R U B D' U2
F2 L R U B D2 U2
F2 L R U' R2 F' R2
F2 L R U2 R2 U F'
F2 L R D U B U2
F2 L R D' U B U2
F2 L R D2 U B U2
F2 L R' U' D F' B2
F2 L R' U' D B2 F'
F2 L R' U' F' D B2
F2 L R' D U' F' B2
F2 L R' D U' B2 F'
R' L U' D F' R2 B
R' L D U' F' R2 B
F2 L D R U B U2
F2 L D' R U B U2
F2 L D2 R U B U2
L' R F2 U B U2 B'
R' L F2 U' D' F B2
R' L F2 U' D' B2 F
R' L F2 U' F D' B2
R' L F2 D' U' F B2
R' L F2 D' U' B2 F
R' L F2 D2 R2 U' F
L R F2 D2 R2 U' F'
R L F2 D2 R2 U' F'
F' L F' R U B U2
L R' U' D F' R2 B
F2 L' R U D B U2
F2 L' R U D' B U2
F2 L' R U D2 B U2
F2 L' R U B U2 D
F2 L' R U B U2 D'
F2 L' R U B U2 D2
F2 L' R U B D U2
F2 L' R U B D' U2
F2 L' R U B D2 U2
F2 L' R U' R2 F' R2
F2 L' R U2 R2 U F'
F2 L' R D U B U2
F2 L' R D' U B U2
F2 L' R D2 U B U2
F2 L' R' U' D F' B2
F2 L' R' U' D B2 F'
F2 L' R' U' F' D B2
L R' D U' F' R2 B
F2 L' R' D U' F' B2
F2 L' R' D U' B2 F'
U2 L' U' D B' U2 R2
U2 L' U' D' L2 U2 F
U2 L' U' D' B' L2 U2
U2 L' U' B' U' F2 U'
U2 L' U' B' U2 D R2
U2 L' U' B' D U2 R2
U2 L' U' B' D' L2 U2
U2 L' U2 L2 F2 U' F'
U2 L' U2 F2 L2 U' F
U2 L' U2 F2 U B' U2
F2 L' D R U B U2
U2 L' D U' B' U2 R2
L R' F2 U' D' F B2
L R' F2 U' D' B2 F
L R' F2 U' F D' B2
R L' F2 U B U2 B'
L R' F2 D' U' F B2
L R' F2 D' U' B2 F
L R' F2 D2 R2 U' F
U2 L' D B2 U R2 F'
F2 L' D' R U B U2
U2 L' D' U' L2 U2 F
U2 L' D' U' B' L2 U2
F2 L' D2 R U B U2
U2 L' D2 B2 R2 U F'
U2 L' D2 B2 U' B U2
F' L' F' R U B U2
U2 L' B D2 B2 U F2
U2 L' B' U2 F2 U' F2
U2 L' B2 U D R2 F'
U2 L' B2 D U R2 F'
F2 L2 R U D B U2
F2 L2 R U D' B U2
F2 L2 R U D2 B U2
F2 L2 R U B U2 D
F2 L2 R U B U2 D'
F2 L2 R U B U2 D2
F2 L2 R U B D U2
F2 L2 R U B D' U2
F2 L2 R U B D2 U2
F2 L2 R U' R2 F' R2
F2 L2 R U2 R2 U F'
F2 L2 R D U B U2
F2 L2 R D' U B U2
F2 L2 R D2 U B U2
F2 L2 R' U' D F' B2
F2 L2 R' U' D B2 F'
F2 L2 R' U' F' D B2
F2 L2 R' D U' F' B2
F2 L2 R' D U' B2 F'
D2 L2 U2 L B2 U F
D L2 U2 L U R2 F
D L2 U2 L U F R2
F2 L2 D R U B U2
F2 L2 D' R U B U2
F2 L2 D2 R U B U2
F' L2 F' R U B U2
B2 L2 F2 B2 R' U' F'
B2 L2 B2 R' F2 U' F
B2 L2 B2 F2 R' U' F'
F2 R L U D B U2
F2 R L U D' B U2
F2 R L U D2 B U2
F2 R L U B U2 D
F2 R L U B U2 D'
F2 R L U B U2 D2
F2 R L U B D U2
F2 R L U B D' U2
F2 R L U B D2 U2
F2 R L U' R2 F' R2
F2 R L U2 R2 U F'
F2 R L D U B U2
F2 R L D' U B U2
F2 R L D2 U B U2
F2 R L' U D B U2
F2 R L' U D' B U2
F2 R L' U D2 B U2
F2 R L' U B U2 D
F2 R L' U B U2 D'
F2 R L' U B U2 D2
F2 R L' U B D U2
F2 R L' U B D' U2
F2 R L' U B D2 U2
F2 R L' U' R2 F' R2
F2 R L' U2 R2 U F'
F2 R L' D U B U2
F2 R L' D' U B U2
F2 R L' D2 U B U2
F2 R L2 U D B U2
F2 R L2 U D' B U2
F2 R L2 U D2 B U2
F2 R L2 U B U2 D
F2 R L2 U B U2 D'
F2 R L2 U B U2 D2
F2 R L2 U B D U2
F2 R L2 U B D' U2
F2 R L2 U B D2 U2
F2 R L2 U' R2 F' R2
F2 R L2 U2 R2 U F'
F2 R L2 D U B U2
F2 R L2 D' U B U2
F2 R L2 D2 U B U2
F2 R U L B L' U2
F2 R U L2 B L2 U2
F2 R U D B U2 D
F2 R U D B U2 D'
F2 R U D B U2 D2
F2 R U D B D U2
F2 R U D B D' U2
F2 R U D B D2 U2
F2 R U D' B U2 D
F2 R U D' B U2 D'
F2 R U D' B U2 D2
F2 R U D' B D U2
F2 R U D' B D' U2
F2 R U D' B D2 U2
F2 R U D2 B U2 D
F2 R U D2 B U2 D'
F2 R U D2 B U2 D2
F2 R U D2 B D U2
F2 R U D2 B D' U2
F2 R U D2 B D2 U2
F2 R U B' U2 D2 F2
F2 R U B' D2 U2 F2
F2 R U B2 D B' U2
F2 R U B2 D' B' U2
F2 R U B2 D2 B' U2
F2 R U' R2 F R2 F2
F2 R U' R2 F' R2 D
F2 R U' R2 F' R2 D'
F2 R U' R2 F' R2 D2
F2 R U' R2 F2 R2 F
F2 R U' D R2 F' R2
F2 R U' D' R2 F' R2
F2 R U' D2 R2 F' R2
F2 R U' F R2 F' R2
F2 R U' F U2 B U2
F2 R U' F' R2 F' R2
F2 R U' F' U2 B U2
F2 R U' F2 R2 F' R2
F2 R U' F2 U2 B U2
F2 R U' B' D2 F2 B
F2 R U' B' D2 B F2
F2 R U2 R2 U D F'
F2 R U2 R2 U D' F'
F2 R U2 R2 U D2 F'
F2 R U2 R2 U F' D
F2 R U2 R2 U F' D'
F2 R U2 R2 U F' D2
F2 R U2 R2 D U F'
F2 R U2 R2 D' U F'
F2 R U2 R2 D2 U F'
F2 R U2 D R2 U F'
F2 R U2 D' R2 U F'
R U B U' F2 R U'
F2 R U2 D2 R2 U F'
F2 R D L U B U2
F2 R D L' U B U2
F2 R D L2 U B U2
F2 R D U B U2 D
F2 R D U B U2 D'
F2 R D U B U2 D2
F2 R D U B D U2
F2 R D U B D' U2
F2 R D U B D2 U2
F2 R D U' R2 F' R2
F2 R D U2 R2 U F'
F2 R D' L U B U2
F2 R D' L' U B U2
F2 R D' L2 U B U2
F2 R D' U B U2 D
F2 R D' U B U2 D'
F2 R D' U B U2 D2
F2 R D' U B D U2
F2 R D' U B D' U2
F2 R D' U B D2 U2
F2 R D' U' R2 F' R2
F2 R D' U2 R2 U F'
F2 R D2 L U B U2
F2 R D2 L' U B U2
F2 R D2 L2 U B U2
F2 R D2 U B U2 D
F2 R D2 U B U2 D'
F2 R D2 U B U2 D2
F2 R D2 U B D U2
F2 R D2 U B D' U2
F2 R D2 U B D2 U2
F2 R D2 U' R2 F' R2
F2 R D2 U2 R2 U F'
F2 R F2 U' D R2 F'
F2 R F2 D U' R2 F'
F2 R B' D L2 B U'
F2 R B' D B L2 U'
F2 R B' D2 B U' F2
F2 R B2 L2 B2 U' F
F2 R B2 U' D L2 F
F2 R B2 D U' L2 F
F2 R' L U' D F' B2
F2 R' L U' D B2 F'
F2 R' L U' F' D B2
F2 R' L D U' F' B2
F2 R' L D U' B2 F'
F2 R' L' U' D F' B2
F2 R' L' U' D B2 F'
F2 R' L' U' F' D B2
F2 R' L' D U' F' B2
F2 R' L' D U' B2 F'
F2 R' L2 U' D F' B2
