F U L' D2 F' R2
F U L' F' D2 R2
F U' L U2 L2 F'
F U' L U2 F' L2
B2 F U L' F' R'
F B2 U L' F' R'
F' L R U L' U F
F L U L' U L' F'
U' L U F U L' F'
U2 L F' R U' R' U'
U L' F L' D F2 R
F' R L U L' U F
B2 R F U L' F' R2
D R F' B2 U R' F
D R F' B2 U F R'
D R B2 F' U R' F
D R B2 F' U F R'
F R2 U L' D2 R2 F'
F R2 U' L B U2 L2
B2 R2 F U L' F' R
F' R2 B2 U R' F L
F' R2 B2 U F L R'
F' R2 B2 U F R' L
F U L U2 F' L2 B'
F U L F' L2 D2 R2
F U L' R2 D2 R2 F'
F U L' U2 L2 U2 F'
F U L' D' F' D' R2
F U L' D2 F R2 F2
F U L' D2 F' R2 D
F U L' D2 F' R2 D'
F U L' D2 F' R2 D2
F U L' D2 F2 R2 F
F U L' F' R D2 R2
F U L' F' R' D2 R2
F U L' F' R2 D2 R2
F U L' F' U2 L2 U2
F U L' F' D2 R2 D
F U L' F' D2 R2 D'
F U L' F' D2 R2 D2
F U L' F2 D2 R2 F
F U L' F2 D2 F R2
F U L2 F2 R F L
F U R2 L' D2 R2 F'
F U D L' D2 F' R2
F U D L' F' D2 R2
F U D' L' D2 F' R2
F U D' L' F' D2 R2
F U D2 L' D2 F' R2
F U D2 L' F' D2 R2
F' U F2 L' D2 F' R2
F' U F2 L' F' D2 R2
U2 D' L U' B' U' B
F' U' L U2 F2 L' F
F U B2 L' F' R' B2
F' U' L D2 R U2 F'
F U' L R2 B U2 L2
F U' L U2 L F' L
F U' L U2 L2 D F'
F U' L U2 L2 D' F'
F U' L U2 L2 D2 F'
F U' L U2 L2 F' D
F U' L U2 L2 F' D'
F U' L U2 L2 F' D2
F U' L U2 F L2 F2
F U' L U2 F' L2 D
F U' L U2 F' L2 D'
F U' L U2 F' L2 D2
F U' L D2 R2 B U2
F' U' L2 R B' L' U2
F U' L B U2 L2 F'
F U' L B U2 F' L2
F U' L B' U2 L2 F'
F U' L B' U2 F' L2
F U' L B2 U2 L2 F'
F U' L B2 U2 F' L2
F' U' L2 B' L' R U2
F' U' L2 B' R L' U2
F' U' R L2 B' L' U2
F' U' R B' U2 F R
F' U' R B2 U2 R' F
F' U' R B2 U2 F R'
F U' R2 L B U2 L2
F U' D L U2 L2 F'
F U' D L U2 F' L2
F U' D' L U2 L2 F'
F U' D' L U2 F' L2
F U' D2 L U2 L2 F'
F U' D2 L U2 F' L2
D' U2 L U' B' U' B
F' U' B' R U2 F R
F' U' B2 R U2 R2 F
F' U' B2 R U2 F R2
F U' B2 U2 L' F' R'
U2 F L U2 L2 D' B2
U F L2 D F2 L R
U F L2 D F2 R L
U' F U L' D2 R2 B
R' F U L' D2 F' R2
R' F U L' F' D2 R2
U' F U' L F' U2 L2
R' F U' L U2 L2 F'
R' F U' L U2 F' L2
R2 F U L' D2 F' R2
R2 F U L' F' D2 R2
R2 F U' L U2 L2 F'
R2 F U' L U2 F' L2
R F U L' D2 F' R2
R F U L' F' D2 R2
F U2 B2 U' L' F' R'
R F U' L U2 L2 F'
R F U' L U2 F' L2
B2 D R F' U R2 F
B2 D R F' U F R2
B2 D R' U B U' B'
R' F B2 U L' F' R'
R2 F B2 U L' F' R'
U2 F' L R U' R' U'
F D U L' D2 F' R2
F D U L' F' D2 R2
U F B2 U' L' R' B2
U F B2 U' R' L' B2
U F B2 U' R' B2 L'
F D U' L U2 L2 F'
F D U' L U2 F' L2
R F B2 U L' F' R'
U2 F' R L U' R' U'
U F' L2 D F2 L' R
U F' L2 D F2 R L'
U' F' U' R F L U2
F D B2 U L' F' R'
L F' D R F' U2 F2
F D' U L' D2 F' R2
F D' U L' F' D2 R2
F D' U' L U2 L2 F'
F D' U' L U2 F' L2
F D' B2 U L' F' R'
L F2 U' R B U' F2
F D2 U L' D2 F' R2
F D2 U L' F' D2 R2
F D2 U' L U2 L2 F'
F D2 U' L U2 F' L2
F D2 B2 U L' F' R'
B2 F U L F' L2 R'
B2 F U L F' R' L2
B2 F U L' D F' R'
B2 F U L' D' F' R'
B2 F U L' D2 F' R'
B2 F U L' F R' F2
B2 F U L' F' R' D
B2 F U L' F' R' D'
B2 F U L' F' R' D2
B2 F U L' F' D R'
B2 F U L' F' D' R'
B2 F U L' F' D2 R'
B2 F U L' F2 R' F
B2 F U L2 F' L R'
B2 F U L2 F' R' L
B2 F U R' D2 L' F
B2 F U D L' F' R'
B2 F U D' L' F' R'
B2 F U D2 L' F' R'
D2 B' L U' L' B' U
B F U L' D2 F' R
B F U D2 L' F' R
F B U L' D2 F' R
F B U D2 L' F' R
B2 F D U L' F' R'
B2 F D' U L' F' R'
B2 F D2 U L' F' R'
B F D2 U L' F' R
F B D2 U L' F' R
B2 F' U R' D2 F L2
B2 F' U R' F D2 L2
B2 F' U F2 L' F' R'
B2 F' U' R U2 R2 F
B2 F' U' R U2 F R2
D B2 R F' U R2 F
D B2 R F' U F R2
D B2 R' U B U' B'
F' B2 U R' D2 F L2
F' B2 U R' F D2 L2
F' B2 U F2 L' F' R'
F' B2 U' R U2 R2 F
F' B2 U' R U2 F R2
F B2 U L F' L2 R'
F B2 U L F' R' L2
F B2 U L' D F' R'
F B2 U L' D' F' R'
F B2 U L' D2 F' R'
F B2 U L' F R' F2
F B2 U L' F' R' D
F B2 U L' F' R' D'
F B2 U L' F' R' D2
F B2 U L' F' D R'
F B2 U L' F' D' R'
F B2 U L' F' D2 R'
F B2 U L' F2 R' F
F B2 U L2 F' L R'
F B2 U L2 F' R' L
F B2 U R' D2 L' F
F B2 U D L' F' R'
F B2 U D' L' F' R'
F B2 U D2 L' F' R'
R' B2 F U L' F' R'
R2 B2 F U L' F' R'
F B2 D U L' F' R'
U B2 F U' L' R' B2
U B2 F U' R' L' B2
U B2 F U' R' B2 L'
F B2 D' U L' F' R'
R B2 F U L' F' R'
F B2 D2 U L' F' R'
