F2 R2 U' L' F
F2 L R2 U' L2 F
F2 R2 L U' L2 F
F2 R2 U' L' D F
F2 R2 U' L' D' F
F2 R2 U' L' D2 F
F2 R2 U' L' F D
F2 R2 U' L' F D'
F2 R2 U' L' F D2
L' D R2 F B2 L
F R2 F U' L' F
L' D R2 B2 F L
F2 R2 B U' L' F
F2 R2 B' U' L' F
L2 D R2 B2 L F
F2 R2 B2 U' L' F
F2 U' L' D F B2
F2 U' L' D B2 F
F2 U' L' F D B2
U' F2 R2 U' L' F
U2 F2 R2 U' L' F
U F2 R2 U' L' F
F2 B R2 U' L' F
F2 B' R2 U' L' F
B' F2 R2 U' L' F
B2 F2 R2 U' L' F
F2 B2 R2 U' L' F
B F2 R2 U' L' F
L' R U' R F2 U' F'
F2 L R2 U B' U2 L2
F2 L R2 U' L2 D F
F2 L R2 U' L2 D' F
F2 L R2 U' L2 D2 F
F2 L R2 U' L2 F D
F2 L R2 U' L2 F D'
F2 L R2 U' L2 F D2
F2 L R2 U' F L2 F
F2 L R2 U' F' L2 F
F2 L R2 U' F2 L2 F
F2 L U' L2 D F B2
F2 L U' L2 D B2 F
F2 L U' L2 F D B2
R2 L F2 U R' B' U2
L R B' U' R F2 U'
R L B' U' R F2 U'
R L' U' R F2 U' F'
F2 L B2 R2 U' L2 F'
F2 L B2 R2 U' F' L2
F L' R2 U' F L' R
F L' R2 U' F R L'
B' L' D R2 F B2 L
U' L' D R2 F B2 L
B' L' D R2 B2 F L
U' L' D R2 B2 F L
U2 L' D R2 F B2 L
U2 L' D R2 B2 F L
B2 L' D R2 F B2 L
B2 L' D R2 B2 F L
B L' D R2 F B2 L
B L' D R2 B2 F L
U L' D R2 F B2 L
U L' D R2 B2 F L
R2 L' F2 B2 U' L F'
R2 L' F2 B2 U' F' L
F2 L' F U F' R2 U'
F' L' F D R2 B2 L
R2 L' B2 F2 U' L F'
R2 L' B2 F2 U' F' L
F' L' F' R2 U' L' F2
F2 L' F2 D F' R2 B2
F2 L' F2 D F' B2 R2
F2 L' F2 D B2 F' R2
L R2 F2 U R' B' U2
L' R2 F2 B2 U' L F'
L' R2 F2 B2 U' F' L
B' L2 D R2 B2 L F
U' L2 D R2 B2 L F
B2 L2 D R2 B2 L F
U2 L2 D R2 B2 L F
B L2 D R2 B2 L F
U L2 D R2 B2 L F
L' R2 B2 F2 U' L F'
L' R2 B2 F2 U' F' L
D' L2 F2 U2 D L' F
D' L2 F2 D U2 L' F
L' U D R2 F B2 L
L' U D R2 B2 F L
D2 L2 B2 U' R U2 F'
D2 R U L2 B2 U F'
D2 R U B2 L2 U F'
D2 R U2 D' F' R2 B2
D2 R U2 D' F' B2 R2
D2 R U2 D' B2 F' R2
D2 R U2 F' D' R2 B2
D2 R U2 F' D' B2 R2
D2 R D L2 F2 U2 F
D R U2 B2 D R F'
D2 R D F2 L2 B' U2
D2 R D' U2 F' R2 B2
D2 R D' U2 F' B2 R2
D2 R D' U2 B2 F' R2
F2 R D2 R U' L' F'
R U' L' R F2 U' F'
R U' R L' F2 U' F'
R U' R F2 L' U' F
F2 R B R U' L' F
F2 R B' R U' L' F
L' U' D R2 F B2 L
L' U' D R2 B2 F L
F2 R B2 R U' L' F
R U' F2 U2 L' U F
F R' F R' U' L' F
F2 R' B U' L' F B'
F2 R' B U' L' B' F
L' U2 D R2 F B2 L
L' U2 D R2 B2 F L
F2 R2 L U B' U2 L2
F2 R2 L U' L2 D F
F2 R2 L U' L2 D' F
F2 R2 L U' L2 D2 F
F2 R2 L U' L2 F D
F2 R2 L U' L2 F D'
F2 R2 L U' L2 F D2
F2 R2 L U' F L2 F
F2 R2 L U' F' L2 F
F2 R2 L U' F2 L2 F
F R2 L' U' F L' R
F R2 L' U' F R L'
F2 R2 U R U2 L' F
F2 R2 U R' U2 L' F
F2 R2 U R2 U2 L' F
F2 R2 U B U2 L' F
F2 R2 U B' U2 L' F
F2 R2 U B2 U2 L' F
F2 R2 U' L F L2 F
F2 R2 U' L F' L2 F
F2 R2 U' L F2 L2 F
F2 R2 U' L' R F R'
F2 R2 U' L' R2 F R2
F2 R2 U' L' D F D
F2 R2 U' L' D F D'
F2 R2 U' L' D F D2
F2 R2 U' L' D' F D
F2 R2 U' L' D' F D'
F2 R2 U' L' D' F D2
F2 R2 U' L' D2 F D
F2 R2 U' L' D2 F D'
F2 R2 U' L' D2 F D2
F2 R2 U' L' F2 D F'
F2 R2 U' L' F2 D' F'
F2 R2 U' L' F2 D2 F'
F2 R2 U' L2 D L F
F2 R2 U' L2 D' L F
F2 R2 U' L2 D2 L F
F2 R2 U' L2 F L F
F2 R2 U' L2 F' L F
F2 R2 U' L2 F2 L F
F2 R2 U' R L' F R'
F2 R2 U' R2 L' F R2
F2 R2 U' F' L' F L'
F2 R2 U' B' L' F B
F2 R2 U' B' L' B F
F2 R2 U' B2 L' F B2
F2 R2 U' B2 L' B2 F
F2 R2 U2 R U L' F
F2 R2 U2 R' U L' F
F2 R2 U2 R2 U L' F
L2 D L R2 F B2 L
L2 D L R2 B2 F L
F2 R2 D' B' L U' L2
L' D L' R2 B2 L F
L D L R2 B2 L F
