B2 U2 L' U F
B2 L U2 L2 U F
U2 L' U D F L2
U2 L' U F D L2
U2 L' U2 B2 U' F
U2 L' D U F L2
U2 L' D2 F2 U F'
B2 R U2 L' U F
B2 R' U2 L' U F
B2 R2 U2 L' U F
B2 U2 L' R U F
B2 U2 L' R' U F
B2 U2 L' R2 U F
B2 U2 L' U D F
B2 U2 L' U D' F
B2 U2 L' U D2 F
B2 U2 L' U F D
B2 U2 L' U F D'
B2 U2 L' U F D2
B2 U2 L' D U F
B2 U2 L' D' U F
B2 U2 L' D2 U F
B2 U2 R L' U F
B2 U2 R' L' U F
B2 U2 R2 L' U F
L2 B2 L R' U' F
L2 B2 R' L U' F
R' B2 U2 L' U F
R2 B2 U2 L' U F
R B2 U2 L' U F
L B2 D2 R2 U' F'
B2 L R U2 L2 U F
B2 L R' U2 L2 U F
B2 L R2 U2 L2 U F
B2 L U D F2 B' U2
B2 L U D B' F2 U2
B2 L U D' B' U2 B'
B2 L U B' U L2 U
B2 L U B' U2 D' B2
B2 L U B' D F2 U2
B2 L U B' D' U2 B2
B2 L U2 L2 R U F
B2 L U2 L2 R' U F
B2 L U2 L2 R2 U F
B2 L U2 L2 U D F
B2 L U2 L2 U D' F
B2 L U2 L2 U D2 F
B2 L U2 L2 U F D
B2 L U2 L2 U F D'
B2 L U2 L2 U F D2
B2 L U2 L2 D U F
B2 L U2 L2 D' U F
B2 L U2 L2 D2 U F
B2 L U2 R L2 U F
B2 L U2 R' L2 U F
B2 L U2 R2 L2 U F
U' L D L2 D2 F B2
U' L D L2 D2 B2 F
B2 L D U F2 B' U2
B2 L D U B' F2 U2
U' L D F L2 F B'
U' L D F L2 B' F
B2 L D' L2 U' F B2
B2 L D' L2 U' B2 F
B2 L D' U B' U2 B'
B2 L D2 L2 R2 U' F
B2 L D2 R2 L2 U' F
B2 L D2 R2 U B' U2
L2 R B2 L R' U' F
L2 R B2 R' L U' F
R' L B2 D2 R2 U' F'
L R B2 D2 R2 U' F'
R2 L B2 D2 R2 U' F'
R L B2 D2 R2 U' F'
B L B D2 R2 U' F2
U2 L' R U D F L2
U2 L' R U F D L2
U2 L' R U2 B2 U' F
U2 L' R D U F L2
U2 L' R D2 F2 U F'
F2 L' R F2 B2 U' F'
F2 L' R B2 F2 U' F'
U2 L' R' U D F L2
U2 L' R' U F D L2
U2 L' R' U2 B2 U' F
U2 L' R' D U F L2
U2 L' R' D2 F2 U F'
U2 L' R2 U D F L2
U2 L' R2 U F D L2
U2 L' R2 U2 B2 U' F
U2 L' R2 D U F L2
U2 L' R2 D2 F2 U F'
U2 L' U L2 D L2 F
U2 L' U D F L2 D
U2 L' U D F L2 D'
U2 L' U D F L2 D2
U2 L' U D F' L2 F2
U2 L' U D F2 L2 F'
U2 L' U D' F D2 L2
U2 L' U F L D L2
U2 L' U F L' D L2
U2 L' U F L2 D L2
U2 L' U F U B2 U'
U2 L' U F D L2 D
U2 L' U F D L2 D'
U2 L' U F D L2 D2
U2 L' U F2 D L2 F'
U2 L' U F2 D F' L2
B2 L' U B U2 F B'
B2 L' U B U2 B' F
U' L' U B2 U' F B2
U' L' U B2 U' B2 F
B2 L' U B' U2 F B
B2 L' U B' U2 B F
B2 L' U B2 U2 F B2
B2 L' U B2 U2 B2 F
B2 L' U' R2 F R2 B
U2 L' U' D' R2 U2 F
B2 L' U' F R2 B R2
B2 L' U' F U2 F' U2
B2 L' U' F2 D2 F' B2
B2 L' U' F2 D2 B2 F'
U2 L' U2 B2 U' D F
U2 L' U2 B2 U' D' F
U2 L' U2 B2 U' D2 F
U2 L' U2 B2 U' F D
U2 L' U2 B2 U' F D'
U2 L' U2 B2 U' F D2
U2 L' U2 B2 D U' F
U2 L' U2 B2 D' U' F
U2 L' U2 B2 D2 U' F
U2 L' D R U F L2
U L' U2 B2 U' R' F
U L' U2 B2 U' F R'
U2 L' D R' U F L2
U2 L' D R2 U F L2
U2 L' D U F L2 D
U2 L' D U F L2 D'
U2 L' D U F L2 D2
U2 L' D U F' L2 F2
U2 L' D U F2 L2 F'
U' L' D F L2 D' B2
U2 L' D F' U L2 F2
U2 L' D F' U F2 L2
U2 L' D F2 U L2 F'
U2 L' D F2 U F' L2
U2 L' D' U F D2 L2
U2 L' D' U' R2 U2 F
U2 L' D2 R F2 U F'
U2 L' D2 R' F2 U F'
U2 L' D2 R2 F2 U F'
U2 L' D2 F2 U D F'
U2 L' D2 F2 U D' F'
U2 L' D2 F2 U D2 F'
U2 L' D2 F2 U F' D
U2 L' D2 F2 U F' D'
U2 L' D2 F2 U F' D2
U2 L' D2 F2 D U F'
U2 L' D2 F2 D' U F'
U2 L' D2 F2 D2 U F'
L2 R' B2 L R' U' F
L2 R' B2 R' L U' F
U' L' F U B2 U' B2
U' L' F D L2 D' B2
L R' B2 D2 R2 U' F'
U2 L' F D2 F2 U F2
U2 L' F' U F2 D L2
U2 L' F' U2 B2 U' F2
U2 L' F' D R2 U L2
U2 L' F2 U D L2 F'
U2 L' F2 U D F' L2
U2 L' F2 U F' D L2
U2 L' F2 U2 B2 U' F'
U2 L' F2 D U L2 F'
U2 L' F2 D U F' L2
U2 L' F2 D2 F2 U F
F2 L' B2 R F2 U' F'
B2 L2 U2 L R' U F'
B2 L2 U2 R' L U F'
U2 L2 U2 B2 R' U' F'
U2 L2 D L U F L
R' L2 B2 L R' U' F
R' L2 B2 R' L U' F
L2 R2 B2 L R' U' F
R2 L2 B2 L R' U' F
L2 R2 B2 R' L U' F
R L2 B2 L R' U' F
R2 L2 B2 R' L U' F
R L2 B2 R' L U' F
L R2 B2 D2 R2 U' F'
U2 L2 D2 L F2 U F'
U2 L2 D2 F2 L U F
L' U D F L2 D2 R2
L U D F2 U2 L2 F
L U D F2 B' U2 L2
L U D B' F2 U2 L2
L U D' R2 B' U2 B'
B2 R L U2 L2 U F
L U D' B' R2 U2 B'
U2 R L' U D F L2
U2 R L' U F D L2
U2 R L' U2 B2 U' F
U2 R L' D U F L2
U2 R L' D2 F2 U F'
L' U F D L2 D2 R2
F2 R L' F2 B2 U' F'
F2 R L' B2 F2 U' F'
D2 R U2 L' F2 U F
B2 R U2 L' R U F
B2 R U2 L' R' U F
B2 R U2 L' R2 U F
B2 R U2 L' U D F
B2 R U2 L' U D' F
B2 R U2 L' U D2 F
B2 R U2 L' U F D
B2 R U2 L' U F D'
B2 R U2 L' U F D2
B2 R U2 L' D U F
B2 R U2 L' D' U F
B2 R U2 L' D2 U F
B2 R U2 R L' U F
B2 R U2 R' L' U F
B2 R U2 R2 L' U F
L U B' U L2 F U
F2 R F2 L' B2 U' F
F2 R F2 B2 L' U' F
B' R B' U2 L' U F
L' U' D F' L2 F2 B'
L' U' D F' L2 B' F2
L U' D L2 D2 F B2
L U' D L2 D2 B2 F
F2 R B2 L' F2 U' F'
L U' D F L2 F B'
L U' D F L2 B' F
L' U' D' R2 U2 R2 F
L' U' D' R2 U2 F R2
F2 R B2 F2 L' U' F
B2 R' L U2 L2 U F
U2 R' L' U D F L2
U2 R' L' U F D L2
U2 R' L' U2 B2 U' F
U2 R' L' D U F L2
U2 R' L' D2 F2 U F'
B2 R' U2 L' R U F
B2 R' U2 L' R' U F
B2 R' U2 L' R2 U F
B2 R' U2 L' U D F
B2 R' U2 L' U D' F
B2 R' U2 L' U D2 F
B2 R' U2 L' U F D
B2 R' U2 L' U F D'
B2 R' U2 L' U F D2
B2 R' U2 L' D U F
B2 R' U2 L' D' U F
B2 R' U2 L' D2 U F
B2 R' U2 R L' U F
B2 R' U2 R' L' U F
B2 R' U2 R2 L' U F
R' U2 L' U D F L2
R' U2 L' U F D L2
R' U2 L' U2 B2 U' F
R' U2 L' D U F L2
R' U2 L' D2 F2 U F'
R2 U2 L' U D F L2
R2 U2 L' U F D L2
R2 U2 L' U2 B2 U' F
R2 U2 L' D U F L2
R2 U2 L' D2 F2 U F'
R U2 L' U D F L2
R U2 L' U F D L2
R U2 L' U2 B2 U' F
R U2 L' D U F L2
R U2 L' D2 F2 U F'
L U2 L2 U D F L2
L U2 L2 U F D L2
L U2 L2 U2 B2 U' F
L U2 L2 D U F L2
L U2 L2 D2 F2 U F'
B' R' B' U2 L' U F
B2 R2 L U2 L2 U F
U2 R2 L' U D F L2
U2 R2 L' U F D L2
U2 R2 L' U2 B2 U' F
U2 R2 L' D U F L2
U2 R2 L' D2 F2 U F'
B2 R2 U2 L' R U F
B2 R2 U2 L' R' U F
B2 R2 U2 L' R2 U F
B2 R2 U2 L' U D F
B2 R2 U2 L' U D' F
B2 R2 U2 L' U D2 F
B2 R2 U2 L' U F D
B2 R2 U2 L' U F D'
B2 R2 U2 L' U F D2
B2 R2 U2 L' D U F
B2 R2 U2 L' D' U F
B2 R2 U2 L' D2 U F
B2 R2 U2 R L' U F
B2 R2 U2 R' L' U F
B2 R2 U2 R2 L' U F
B R2 U2 L' F' U F2
L' U2 B2 U' D' R2 F
L' U2 B2 U' D' F R2
L' U2 B2 U' F D' R2
L' U2 B2 U2 B2 U F
L' U2 B2 D' U' R2 F
L' U2 B2 D' U' F R2
L' U2 B2 D2 F2 U' F'
B' R2 B' U2 L' U F
L' D U F L2 D2 R2
L' D U' F' L2 F2 B'
L' D U' F' L2 B' F2
L D U F2 U2 L2 F
L D U F2 B' U2 L2
L D U B' F2 U2 L2
L D U' L2 D2 F B2
L D U' L2 D2 B2 F
L D U' F L2 F B'
L D U' F L2 B' F
U2 D L' U D' L' F
U2 D L' D' U L' F
B2 U B U L' U F
B2 U B' U L' U F
L' D' U' R2 U2 R2 F
L' D' U' R2 U2 F R2
B2 U B2 U L' U F
L D' U R2 B' U2 B'
L D' U B' R2 U2 B'
D2 U2 L' R F2 U F
U2 D2 L' R F2 U F
D2 U2 L' F2 R U F'
D U2 L' U D' L' F
U2 D2 L' F2 R U F'
D U2 L' D' U L' F
B2 U' B U' L' U F
D2 U2 R L' F2 U F
U2 D2 R L' F2 U F
B2 U' B' U' L' U F
L D2 R2 U' D' L2 F
L D2 R2 D' U' L2 F
B2 U' B2 U' L' U F
B' U2 L' U D F L'
B2 U2 L' R U D F
B2 U2 L' R U D' F
B2 U2 L' R U D2 F
B2 U2 L' R U F D
B2 U2 L' R U F D'
B2 U2 L' R U F D2
B2 U2 L' R D U F
B2 U2 L' R D' U F
B2 U2 L' R D2 U F
B2 U2 L' R' U D F
B2 U2 L' R' U D' F
B2 U2 L' R' U D2 F
B2 U2 L' R' U F D
B2 U2 L' R' U F D'
B2 U2 L' R' U F D2
B2 U2 L' R' D U F
B2 U2 L' R' D' U F
B2 U2 L' R' D2 U F
B2 U2 L' R2 U D F
B2 U2 L' R2 U D' F
B2 U2 L' R2 U D2 F
B2 U2 L' R2 U F D
B2 U2 L' R2 U F D'
B2 U2 L' R2 U F D2
B2 U2 L' R2 D U F
B2 U2 L' R2 D' U F
B2 U2 L' R2 D2 U F
B' U2 L' D U F L'
B2 U2 L' U R F R'
B2 U2 L' U R2 F R2
B2 U2 L' U D F D
B2 U2 L' U D F D'
B2 U2 L' U D F D2
B2 U2 L' U D' F D
B2 U2 L' U D' F D'
B2 U2 L' U D' F D2
B2 U2 L' U D2 F D
B2 U2 L' U D2 F D'
B2 U2 L' U D2 F D2
B2 U2 L' U F2 D F'
B2 U2 L' U F2 D' F'
B2 U2 L' U F2 D2 F'
B2 U2 L' U' B U2 F
B2 U2 L' U' B' U2 F
B2 U2 L' U' B2 U2 F
B2 U2 L' D R U F
B2 U2 L' D R' U F
B2 U2 L' D R2 U F
B2 U2 L' D U F D
B2 U2 L' D U F D'
B2 U2 L' D U F D2
B2 U2 L' D' R U F
B2 U2 L' D' R' U F
B2 U2 L' D' R2 U F
B2 U2 L' D' U F D
B2 U2 L' D' U F D'
B2 U2 L' D' U F D2
B2 U2 L' D2 R U F
B2 U2 L' D2 R' U F
B2 U2 L' D2 R2 U F
B2 U2 L' D2 U F D
B2 U2 L' D2 U F D'
B2 U2 L' D2 U F D2
B U2 L' R2 F' U F2
B U2 L' U2 B U' F
B' U2 L2 F L U F
B2 U2 L2 D L U F
B2 U2 L2 D' L U F
B2 U2 L2 D2 L U F
B2 U2 R L' U D F
B2 U2 R L' U D' F
B2 U2 R L' U D2 F
B2 U2 R L' U F D
B2 U2 R L' U F D'
B2 U2 R L' U F D2
B2 U2 R L' D U F
B2 U2 R L' D' U F
B2 U2 R L' D2 U F
D2 U2 F2 U2 R U' F'
L' D2 F2 U D F' R2
L' D2 F2 U2 F2 U' F
L' D2 F2 D U F' R2
L' D2 F2 D2 B2 U F'
U2 D2 F2 U2 R U' F'
B2 U2 R' L' U D F
B2 U2 R' L' U D' F
B2 U2 R' L' U D2 F
B2 U2 R' L' U F D
B2 U2 R' L' U F D'
B2 U2 R' L' U F D2
B2 U2 R' L' D U F
B2 U2 R' L' D' U F
B2 U2 R' L' D2 U F
B2 U2 R2 L' U D F
B2 U2 R2 L' U D' F
B2 U2 R2 L' U D2 F
B2 U2 R2 L' U F D
B2 U2 R2 L' U F D'
B2 U2 R2 L' U F D2
B2 U2 R2 L' D U F
B2 U2 R2 L' D' U F
B2 U2 R2 L' D2 U F
B U2 R2 L' F' U F2
B2 U2 D2 L' R U F'
B2 U2 D2 R L' U F'
B2 U2 B' L' B U F
L' F U F' B2 U' B2
B2 U2 B2 L' B2 U F
L' F U B2 F' U' B2
L' F' U2 F B2 U' F
L' F' U2 B2 F U' F
B' D' B' L U' D' B2
B' D' B' L U2 L2 U
B' D' B' L D' U' B2
B' D' B' L D2 R2 U'
B D' B U2 L' R' U
B D' B U2 R' L' U
L' F2 U D L2 F' R2
L' F2 U D F' L2 R2
L' F2 U D F' R2 L2
D2 F2 U2 R F2 U' F
L' F2 U2 F2 B2 U' F
L' F2 U2 B2 F2 U' F
L' F2 D U L2 F' R2
L' F2 D U F' L2 R2
L' F2 D U F' R2 L2
B2 D2 R U2 L' U F'
L' F2 D2 F2 B2 U F
L' F2 D2 B2 F2 U F
B2 D2 U2 L' R U F'
B2 D2 U2 R L' U F'
L2 B L B R' U' F
B2 D2 F2 R F2 U' F
L B D2 B R2 U' F2
D' B' L D2 R2 U' L2
L B' U2 L2 F U F'
L B' D2 B' R2 U' F'
R' B2 L U2 L2 U F
L' B2 L U2 L' U F
L2 B2 L R' U' D F
L2 B2 L R' U' D' F
L2 B2 L R' U' D2 F
L2 B2 L R' U' F D
L2 B2 L R' U' F D'
L2 B2 L R' U' F D2
L2 B2 L R' D U' F
L2 B2 L R' D' U' F
L2 B2 L R' D2 U' F
L2 B2 L D R' U' F
L2 B2 L D' R' U' F
L2 B2 L D2 R' U' F
R2 B2 L U2 L2 U F
L2 B2 L' R' U B' U2
L' B2 L2 U2 L2 U F
R B2 L U2 L2 U F
R' B2 R U2 L' U F
B2 F2 L' R F2 U' F'
F2 B2 L' R F2 U' F'
R' B2 R' U2 L' U F
L B2 L2 U B U2 B'
R2 B2 R U2 L' U F
L2 B2 R' L U' D F
L2 B2 R' L U' D' F
L2 B2 R' L U' D2 F
L2 B2 R' L U' F D
L2 B2 R' L U' F D'
L2 B2 R' L U' F D2
L2 B2 R' L D U' F
L2 B2 R' L D' U' F
L2 B2 R' L D2 U' F
L2 B2 R' L' U B' U2
L2 B2 R' U2 R' U F'
R' B2 R2 U2 L' U F
L2 B2 R' D L U' F
L2 B2 R' D' L U' F
L2 B2 R' D2 L U' F
R2 B2 R' U2 L' U F
B2 F2 R L' F2 U' F'
R B2 R U2 L' U F
F2 B2 R L' F2 U' F'
U' B2 U' L' U F L
B2 F2 R F2 L' U' F
R2 B2 R2 U2 L' U F
F2 B2 R F2 L' U' F
L' B2 U B U2 F B'
L' B2 U B U2 B' F
L' B2 U B' U2 F B
L' B2 U B' U2 B F
R B2 R' U2 L' U F
L' B2 U B2 U2 F B2
L' B2 U B2 U2 B2 F
L B2 R2 U' D' F' B2
L B2 R2 U' D' B2 F'
L' B2 U' R2 F R2 B
L B2 R2 U' F' D' B2
L B2 R2 U2 L2 U F'
L B2 R2 D' U' F' B2
L B2 R2 D' U' B2 F'
L' B2 U' F R2 B R2
L' B2 U' F U2 F' U2
R' B2 U2 L' R U F
R' B2 U2 L' R' U F
L' B2 U' F2 D2 F' B2
L' B2 U' F2 D2 B2 F'
R' B2 U2 L' R2 U F
R' B2 U2 L' U D F
R' B2 U2 L' U D' F
R' B2 U2 L' U D2 F
R' B2 U2 L' U F D
R' B2 U2 L' U F D'
R' B2 U2 L' U F D2
R' B2 U2 L' D U F
R' B2 U2 L' D' U F
R' B2 U2 L' D2 U F
R' B2 U2 R L' U F
R B2 R2 U2 L' U F
R' B2 U2 R' L' U F
R' B2 U2 R2 L' U F
L B2 U D F2 B U2
L B2 U D B F2 U2
L B2 U D' B U2 B
U2 B2 U2 L' B2 U F
L B2 U B U L2 U
L B2 U B U2 D' B2
L B2 U B D F2 U2
L B2 U B D' U2 B2
R2 B2 U2 L' R U F
R2 B2 U2 L' R' U F
R2 B2 U2 L' R2 U F
R2 B2 U2 L' U D F
R2 B2 U2 L' U D' F
R2 B2 U2 L' U D2 F
R2 B2 U2 L' U F D
R2 B2 U2 L' U F D'
R2 B2 U2 L' U F D2
R2 B2 U2 L' D U F
R2 B2 U2 L' D' U F
R2 B2 U2 L' D2 U F
R2 B2 U2 R L' U F
R2 B2 U2 R' L' U F
R2 B2 U2 R2 L' U F
U2 B2 U2 B2 L' U F
L2 B2 D L R' U' F
L2 B2 D R' L U' F
L B2 U2 L2 R2 U F'
L B2 U2 L2 U' B U2
L B2 U2 R2 L2 U F'
L2 B2 D' L R' U' F
R B2 U2 L' R U F
R B2 U2 L' R' U F
R B2 U2 L' R2 U F
R B2 U2 L' U D F
R B2 U2 L' U D' F
R B2 U2 L' U D2 F
R B2 U2 L' U F D
R B2 U2 L' U F D'
R B2 U2 L' U F D2
R B2 U2 L' D U F
R B2 U2 L' D' U F
R B2 U2 L' D2 U F
R B2 U2 R L' U F
L2 B2 D' R' L U' F
R B2 U2 R' L' U F
R B2 U2 R2 L' U F
L B2 D U F2 B U2
L B2 D U B F2 U2
L2 B2 D2 L R' U' F
L2 B2 D2 R' L U' F
U2 B2 D2 F2 R U' F'
L B2 D' R2 U' F' B2
L B2 D' R2 U' B2 F'
L B2 D' U B U2 B
L B2 D2 L R2 U' F'
L B2 D2 L' R2 U' F'
L B2 D2 L2 R2 U' F'
L B2 D2 R2 L U' F'
L B2 D2 R2 L' U' F'
L B2 D2 R2 L2 U' F'
L B2 D2 R2 U' D F'
L B2 D2 R2 U' D' F'
L B2 D2 R2 U' D2 F'
L B2 D2 R2 U' F' D
L B2 D2 R2 U' F' D'
L B2 D2 R2 U' F' D2
L B2 D2 R2 D U' F'
L B2 D2 R2 D' U' F'
L B2 D2 R2 D2 U' F'
