U' L2 D' R U2 F'
B R' U D2 L2 R2
B R' U D2 R2 L2
B R' U' L2 R2 U2
B R' U' R2 L2 U2
B R' D' F2 B2 U
B R' D' B2 F2 U
B R' D2 U L2 R2
B R' D2 U R2 L2
L2 D F2 U2 L' F
U2 D F2 U' L' F
L2 D' R U2 F' B2
L2 D' R U2 B2 F'
D U2 F2 U' L' F
D' B2 U' R U2 F'
U' L R D L B' U2
U' L D L R B' U2
U' L D L B' R U2
U' L D R L B' U2
U' L D' L R U2 F'
U' L D' R L U2 F'
L2 R B U L2 R' U
L2 R B U R' L2 U
U' L' R D L' U2 F
U' L' D L' R U2 F
U' L' D R L' U2 F
U' L' D' L' R U2 F'
U L' D F2 L' R F
U L' D F2 R L' F
U' L' D' R L' U2 F'
U L' D' F2 L' R F'
U L' D' F2 R L' F'
U L' F2 L' D' R F'
U L' F2 R D L' F
U L' F2 D L' R F
U L' F2 D R L' F
U L' F2 D' L' R F'
U L' F2 D' R L' F'
L2 R2 D' R' B U2 B
R2 L2 D' R' B U2 B
B L2 R U L2 R2 U
B L2 R U R2 L2 U
B L2 R U2 D' F2 B2
B L2 R U2 D' B2 F2
B L2 R D F2 B2 U2
B L2 R D B2 F2 U2
B L2 R D' U2 F2 B2
B L2 R D' U2 B2 F2
U' L2 R B U R' U
U' L2 R B' U' L U'
U' L2 R2 D' R' B U2
R L2 B U L2 R' U
R L2 B U R' L2 U
U' L2 U2 D F2 L' F
U' L2 U2 F2 D L' F
U' L2 D U2 F2 L' F
U' L2 D' R U2 D F'
U' L2 D' R U2 D' F'
U' L2 D' R U2 D2 F'
U' L2 D' R U2 F' D
U' L2 D' R U2 F' D'
U' L2 D' R U2 F' D2
U' L2 D' R D U2 F'
U' L2 D' R D' U2 F'
U' L2 D' R D2 U2 F'
U' L2 D' R B U2 F'
U' L2 D' R B' U2 F'
U' L2 D' R B2 U2 F'
U' L2 D' R' B R2 U2
U' L2 D' B R U2 F'
U' L2 D' B' R U2 F'
U' L2 D' B2 R U2 F'
U' L2 B R U R2 U
U' L2 B R U2 D' F2
U' L2 B R D B2 U2
U' L2 B R D' U2 F2
U' L2 B' R U' L U'
U' R L D L B' U2
U' R L' D L' U2 F
B R L2 U L2 R2 U
B R L2 U R2 L2 U
B R L2 U2 D' F2 B2
B R L2 U2 D' B2 F2
U' R L2 B U R' U
B R L2 D F2 B2 U2
B R L2 D B2 F2 U2
U' R L2 B' U' L U'
B R L2 D' U2 F2 B2
B R L2 D' U2 B2 F2
D' R U B2 U F' B2
D' R U B2 U B2 F'
R2 U' L2 D' R' B U2
U' R B L2 U R' U
U' R B' L2 U' L' U'
B R' U D2 L2 R2 D
B R' U D2 L2 R2 D'
B R' U D2 L2 R2 D2
B R' U D2 R2 L2 D
B R' U D2 R2 L2 D'
B R' U D2 R2 L2 D2
B R' U' L2 R2 U2 D
B R' U' L2 R2 U2 D'
B R' U' L2 R2 U2 D2
B R' U' L2 R2 D U2
B R' U' L2 R2 D' U2
B R' U' L2 R2 D2 U2
B R' U' L2 U2 D2 L2
B R' U' L2 D2 U2 L2
B R' U' R2 L2 U2 D
B R' U' R2 L2 U2 D'
B R' U' R2 L2 U2 D2
B R' U' R2 L2 D U2
B R' U' R2 L2 D' U2
B R' U' R2 L2 D2 U2
B R' U' R2 U2 D2 R2
B R' U' R2 D2 U2 R2
B R' U2 D F2 B2 U'
B R' U2 D B2 F2 U'
B R' D U2 F2 B2 U'
B R' D U2 B2 F2 U'
D' R' D' F2 U R2 F'
B' R' D' F2 B2 R' U
B' R' D' B2 R' F2 U
B' R' D' B2 F2 R' U
B R' D' F2 U D' R2
B R' D' F2 D' U R2
B R' D' F2 B2 U D
B R' D' F2 B2 U D'
B R' D' F2 B2 U D2
B R' D' F2 B2 D U
B R' D' F2 B2 D' U
B R' D' F2 B2 D2 U
B R' D' B2 U D' L2
B R' D' B2 D' U L2
B R' D' B2 F2 U D
B R' D' B2 F2 U D'
B R' D' B2 F2 U D2
B R' D' B2 F2 D U
B R' D' B2 F2 D' U
B R' D' B2 F2 D2 U
B R' D2 U L2 R2 D
B R' D2 U L2 R2 D'
B R' D2 U L2 R2 D2
B R' D2 U R2 L2 D
B R' D2 U R2 L2 D'
B R' D2 U R2 L2 D2
B R' D2 F U L2 R2
B R' D2 F U R2 L2
B R' D2 F' U L2 R2
B R' D2 F' U R2 L2
B R' D2 F2 U L2 R2
B R' D2 F2 U R2 L2
B R' D2 B U L2 R2
B R' D2 B U R2 L2
B R' D2 B' U L2 R2
B R' D2 B' U R2 L2
B R' D2 B2 U L2 R2
B R' D2 B2 U R2 L2
B R' F U D2 L2 R2
B R' F U D2 R2 L2
B R' F U' L2 R2 U2
B R' F U' R2 L2 U2
B R' F D' F2 B2 U
B R' F D' B2 F2 U
B R' F D2 U L2 R2
B R' F D2 U R2 L2
B R' F' U D2 L2 R2
B R' F' U D2 R2 L2
B R' F' U' L2 R2 U2
B R' F' U' R2 L2 U2
B R' F' D' F2 B2 U
B R' F' D' B2 F2 U
B R' F' D2 U L2 R2
B R' F' D2 U R2 L2
B R' F2 U D2 L2 R2
B R' F2 U D2 R2 L2
B R' F2 U' L2 R2 U2
B R' F2 U' R2 L2 U2
B R' F2 D' F2 B2 U
B R' F2 D' B2 F2 U
B R' F2 D2 U L2 R2
B R' F2 D2 U R2 L2
B R' B U D2 L2 R2
B R' B U D2 R2 L2
B R' B U' L2 R2 U2
B R' B U' R2 L2 U2
