F2 D R' B L U2
F2 L D R' B L U2
F2 L' D R' B L U2
F2 L2 D R' B L U2
F2 R' U' L F L' U'
F2 R' U2 D F R F'
F2 R' D U2 F R F'
F2 R' D' L B' U2 R'
F2 R' D' L' U2 F R
F2 R' D' B L B' U2
F R' D' F U2 F R
F2 R' B D' L B' U2
F2 D L R' B L U2
F2 D L' R' B L U2
F2 D L2 R' B L U2
F2 D R' L B L U2
F2 D R' L' B L U2
F2 D R' L2 B L U2
F2 D R' D B L U2
F2 D R' D' B L U2
F2 D R' D2 B L U2
F2 D R' B L U2 D
F2 D R' B L U2 D'
F2 D R' B L U2 D2
F2 D R' B L D U2
F2 D R' B L D' U2
F2 D R' B L D2 U2
F2 D R' B D L U2
F2 D R' B D' L U2
F2 D R' B D2 L U2
F2 D' L R' B' U2 R'
F2 D' L' R' U2 F R
F2 D' R' L B' U2 R'
F2 D' R' L' U2 F R
F2 D' R' B L B' U2
F2 D' B L B' R' U2
U F2 R' U' F' L' U'
R' F2 U' L F L' U'
R' F2 U2 D F R F'
R' F2 D U2 F R F'
L' F2 D R' B L U2
R2 F2 U2 D' L' F R
R' F2 D' L B' U2 R'
R' F2 D' L' U2 F R
L2 F2 D R' B L U2
R' F2 D' B L B' U2
L F2 D R' B L U2
R2 F2 D' U2 L' F R
R' F2 B D' L B' U2
R' B F2 D' L B' U2
F2 B D' L B' R' U2
D2 B' U R' B' L F
D2 B' U' R' F' B' L
D2 B' U' R' B' L F'
D2 B' U' R' B' F' L
B F2 D' L B' R' U2
