B L B2 U F L'
L U' F L' R B'
L U' F L' B' R
L U' F R L' B'
L2 F U' L' F B'
L2 F U' L' B' F
B L R B2 U F L'
R' L U' F L' R B'
R' L U' F L' B' R
R' L U' F R L' B'
R2 L U' F L' R B'
R2 L U' F L' B' R
R2 L U' F R L' B'
L R U' F L' R B'
L R U' F L' B' R
L R U' F R L' B'
B L R' B2 U F L'
R L U' F L' R B'
R L U' F L' B' R
R L U' F R L' B'
B L R2 B2 U F L'
B L U F L' D' R2
B L U F D' L' R2
B L U F D' R2 L'
B' L U2 R' U' F L'
L2 R F U' L' F B'
L2 R F U' L' B' F
B L F' B2 U F2 L'
D' L B' R' U' F R
L R' U' F L' R B'
L R' U' F L' B' R
L R' U' F R L' B'
B L B2 R U F L'
B L B2 R' U F L'
B L B2 R2 U F L'
B L B2 U F L' D
B L B2 U F L' D'
B L B2 U F L' D2
B L B2 U F D L'
B L B2 U F D' L'
B L B2 U F D2 L'
B L B2 F' U F2 L'
L2 R' F U' L' F B'
L2 R' F U' L' B' F
L R2 U' F L' R B'
L R2 U' F L' B' R
L R2 U' F R L' B'
R' L2 F U' L' F B'
R' L2 F U' L' B' F
L2 R2 F U' L' F B'
L2 R2 F U' L' B' F
R2 L2 F U' L' F B'
R2 L2 F U' L' B' F
R L2 F U' L' F B'
R L2 F U' L' B' F
B L2 B2 L' U F L'
B R L B2 U F L'
L U' R F L' R B'
L U' R F L' B' R
L U' R F R L' B'
L U' R' F L' R B'
L U' R' F L' B' R
L U' R' F R L' B'
L U' R2 F L' R B'
L U' R2 F L' B' R
L U' R2 F R L' B'
B R' L B2 U F L'
L U' F L' R D B'
L U' F L' R D' B'
L U' F L' R D2 B'
L U' F L' R B' D
L U' F L' R B' D'
L U' F L' R B' D2
L U' F L' R' B' R2
L U' F L' D R B'
L U' F L' D B' R
L U' F L' D' R B'
L U' F L' D' B' R
L U' F L' D2 R B'
L U' F L' D2 B' R
L U' F L' B R B2
L U' F L' B' R D
L U' F L' B' R D'
L U' F L' B' R D2
L U' F L' B' D R
L U' F L' B' D' R
L U' F L' B' D2 R
L U' F R L' D B'
L U' F R L' D' B'
L U' F R L' D2 B'
L U' F R L' B' D
L U' F R L' B' D'
L U' F R L' B' D2
L U' F R D L' B'
L U' F R D' L' B'
L U' F R D2 L' B'
L U' F R B L' B'
L U' F R B' L' B'
L U' F R B2 L' B'
L U' F R' L' B' R2
L U' F D L' R B'
L U' F D L' B' R
L U' F D R L' B'
L U' F D' L' R B'
L U' F D' L' B' R
L U' F D' R L' B'
L U' F D2 L' R B'
L U' F D2 L' B' R
L U' F D2 R L' B'
L U' F B L' R B'
L U' F B L' B' R
L U' F B R L' B'
L U' F B' L' R B'
L U' F B' L' B' R
L U' F B' R L' B'
L U' F B2 L' R B'
L U' F B2 L' B' R
L U' F B2 R L' B'
L U' B F L' R B'
L U' B F L' B' R
L U' B F R L' B'
L U' B' F L' R B'
L U' B' F L' B' R
L U' B' F R L' B'
L U' B2 F L' R B'
L U' B2 F L' B' R
L U' B2 F R L' B'
B R2 L B2 U F L'
L2 U2 F R U' L' F
B' U2 R' U' F L' F2
B' U2 D R' B U' F'
L2 F R U' L' F B'
L2 F R U' L' B' F
L2 F R' U' L' F B'
L2 F R' U' L' B' F
L2 F R2 U' L' F B'
L2 F R2 U' L' B' F
L2 F U' L' D F B'
L2 F U' L' D B' F
L2 F U' L' D' F B'
L2 F U' L' D' B' F
L2 F U' L' D2 F B'
L2 F U' L' D2 B' F
L2 F U' L' F D B'
L2 F U' L' F D' B'
L2 F U' L' F D2 B'
L2 F U' L' F B' D
L2 F U' L' F B' D'
L2 F U' L' F B' D2
L2 F U' L' B' D F
L2 F U' L' B' D' F
L2 F U' L' B' D2 F
L2 F U' L' B' F D
L2 F U' L' B' F D'
L2 F U' L' B' F D2
L2 F U' B L' F B'
L2 F U' B L' B' F
L2 F U' B' L' F B'
L2 F U' B' L' B' F
L2 F U' B2 L' F B'
L2 F U' B2 L' B' F
L2 F B' R' U' L' F
B' D U2 R' B U' F'
R' B L B2 U F L'
D2 B L B2 U F L
R2 B L B2 U F L'
R B L B2 U F L'
B F L B2 U F L2
F B L B2 U F L2
B F L' D' B2 R2 F'
F B L' D' B2 R2 F'
B' F U2 R' U' L' F'
L2 B' R' F U' L' F
L B' R' U' F L' R
L B' R' U' F R L'
U B' R' U' F' R U2
D2 B' U2 R' U' L F'
D2 B' U2 R' U' F' L
D B' U2 R' B U' F'
L2 B' F R' U' L' F
F B' U2 R' U' L' F'
