L2 B' U F' L' U2
L2 R' D' F' R B' U'
L2 R' D' F' B' R U'
L2 R' D' B' F' R U'
L2 R' F' R' B' U' B2
L2 R' F' B' R' U' B
L2 R' B' D' F' R U'
L2 R' B' F' R' U' B
L2 R2 D B' U' B2 R'
R2 L2 D B' U' B2 R'
R' L2 D' F' R B' U'
R' L2 D' F' B' R U'
R' L2 D' B' F' R U'
U' L2 R' B' U' R' B
R' L2 F' R' B' U' B2
U' L2 R2 B' U' R' B2
R' L2 F' B' R' U' B
F2 L2 U2 F' U B' R'
L2 R2 B' R F' U' B2
R' L2 B' D' F' R U'
R2 L2 B' R F' U' B2
R' L2 B' F' R' U' B
U' L2 B' R2 U' B R
B' L2 B' U F' L' U2
U' L2 B' U F' U2 R'
U' L2 B' U' R2 B R
B2 L2 B' U F' L' U2
B L2 B' U F' L' U2
D2 R B R F U B
F R B D2 R2 U B2
U' R' L2 B' U' R' B
F R' D2 R2 B U B
U' R2 L2 B' U' R' B2
D2 R2 D F U B R'
D2 R2 F U D B R'
D2 R2 F D U B R'
R2 D F U F B R'
R2 D F U B R' F
R2 D F U B F R'
D2 U R2 F U B R
L2 D B' U F' L' U2
L2 D' B' U F' L' U2
F' U' F L2 B' U' R'
U D2 R2 F U B R
L2 D2 B' U F' L' U2
R2 F U D F2 B R'
R2 F U D B R' F2
R2 F U D B F2 R'
D F U D2 F R B2
D F U D2 F B2 R
D F U D2 B2 F R
R2 F D U F2 B R'
R2 F D U B R' F2
R2 F D U B F2 R'
L2 F D2 B' U' B' R'
D F D2 U F R B2
D F D2 U F B2 R
D F D2 U B2 F R
U F D2 R2 U R' B2
U F' L' U F2 R U
L F' U' L B' U' R'
U F' D L' R2 U2 F2
U F' D R2 L' U2 F2
U F' D R2 U2 F2 R
U F' D' L' B2 U2 L'
U F' D' B2 L' U2 L'
F D' B' L2 U F R
L2 F2 B' U F U2 R
L2 B' R' D' F' R U'
L2 B' R' F' R' U' B
L2 B' R2 U' D B R'
L2 B' R2 D U' B R'
L2 B' U L F' L' U2
L2 B' U L' F' L' U2
L2 B' U L2 F' L' U2
L2 B' U D F' L' U2
L2 B' U D' F' L' U2
L2 B' U D2 F' L' U2
L2 B' U F' L' U2 D
L2 B' U F' L' U2 D'
L2 B' U F' L' U2 D2
L2 B' U F' L' D U2
L2 B' U F' L' D' U2
L2 B' U F' L' D2 U2
L2 B' U F' D L' U2
L2 B' U F' D' L' U2
L2 B' U F' D2 L' U2
L2 B' U' R' B' R' B
L2 B' U' R2 B' R' B2
L2 B' U' B' R2 B R
L2 B' U' B2 R2 B R'
L2 B' D U F' L' U2
L2 B' D' U F' L' U2
L2 B' D2 U F' L' U2
L2 B' F2 U F U2 R
