U' L' U' B' L' U' R'
U2 L2 F' B' U' L' R'
U2 L2 F' B' U' R' L'
U2 L2 B' F' U' L' R'
U2 L2 B' F' U' R' L'
U' R' U' L2 F' U' L'
U' R' U' F' L2 U' L
D2 R2 F B U L R
D2 R2 F B U R L
D2 R2 B F U L R
D2 R2 B F U R L
B U L U F L U'
F U R U L2 B U'
F U R U B L2 U'
F' U' L' U' B' L' U'
B' U' R' U' L2 F' U'
B' U' R' U' F' L2 U'
F2 U2 L2 F' U' L' R
F2 U2 L2 F' U' R L'
B2 U2 L2 B' U' L R'
B2 U2 L2 B' U' R' L
B U2 L2 B' U' L' R'
B U2 L2 B' U' R' L'
F2 U2 F' L2 U' L R
F2 U2 F' L2 U' R L
B2 U2 B' L2 U' L' R'
B2 U2 B' L2 U' R' L'
D2 F B R2 U L R'
D2 F B R2 U R' L
F2 D R' B U L F2
F2 D R' B U F2 L
D F B U R F L
B D F U R F L
F' D B U F2 L R
F' D B U F2 R L
F D B U L R F2
F D B U R L F2
F D B U R F2 L
U2 F' B' L2 U' L R'
U2 F' B' L2 U' R' L
B2 D2 R2 F U L' R
B2 D2 R2 F U R L'
F2 D2 R2 B U L R'
F2 D2 R2 B U R' L
B D2 R2 F U L R
B D2 R2 F U R L
B2 D2 F R2 U L' R'
B2 D2 F R2 U R' L'
B D2 F R2 U L R'
B D2 F R2 U R' L
F2 D2 B R2 U L R
F2 D2 B R2 U R L
D2 B R2 F U L R
D2 B R2 F U R L
F D2 B R2 U L R'
F D2 B R2 U R' L
D2 B F R2 U L R'
D2 B F R2 U R' L
D B F U R F L
F' B U D F2 L R
F' B U D F2 R L
B F U R D L F2
B F U R D F2 L
B F U D L R F2
B F U D R L F2
B F U D R F2 L
F B U R D L F2
F B U R D F2 L
F B U D L R F2
F B U D R L F2
F B U D R F2 L
B F U2 L2 U' L' R
B F U2 L2 U' R L'
F' B D U F2 L R
F' B D U F2 R L
F B U2 L2 U' L' R
F B U2 L2 U' R L'
U2 B' L2 F' U' L' R'
U2 B' L2 F' U' R' L'
B F D U L R F2
B F D U R L F2
B F D U R F2 L
F B D U L R F2
F B D U R L F2
F B D U R F2 L
B F D2 R2 U L R'
B F D2 R2 U R' L
F B D2 R2 U L R'
F B D2 R2 U R' L
B F' U D F2 L R
B F' U D F2 R L
U2 B' F' L2 U' L R'
U2 B' F' L2 U' R' L
B F' D U F2 L R
B F' D U F2 R L
