F L' R2 F2 B' U
F L' R2 B' F2 U
F L' F2 R2 B' U
F L' F2 B' R2 U
F L' B' R2 F2 U
F L' B' F2 R2 U
F R2 L' F2 B' U
F R2 L' B' F2 U
F' R2 U2 R' F' U'
F' L R2 U2 R' F U'
F' L R2 U2 F R' U'
F L F2 L2 R2 B U
F L F2 R2 L2 B U
F L F2 R2 B L2 U
F L' R B' R F2 U
F L' R' F2 R' B' U
F L' R2 D' B' U L2
F' L' R2 B2 L B U
F L' R2 F2 D B' U
F L' R2 F2 D' B' U
F L' R2 F2 D2 B' U
F L' R2 F2 B' U D
F L' R2 F2 B' U D'
F L' R2 F2 B' U D2
F L' R2 F2 B' D U
F L' R2 F2 B' D' U
F L' R2 F2 B' D2 U
F L' R2 B' U D' L2
F L' R2 B' D' U L2
F L' R2 B' F2 U D
F L' R2 B' F2 U D'
F L' R2 B' F2 U D2
F L' R2 B' F2 D U
F L' R2 B' F2 D' U
F L' R2 B' F2 D2 U
F L' D' B' U L2 F2
F L' D' B' U F2 L2
F L' F R2 F B' U
F L' F R2 B' F U
F L' F B' R2 F U
F L' F2 R B' R U
F L' F2 R2 D B' U
F L' F2 R2 D' B' U
F L' F2 R2 D2 B' U
F L' F2 R2 B' U D
F L' F2 R2 B' U D'
F L' F2 R2 B' U D2
F L' F2 R2 B' D U
F L' F2 R2 B' D' U
F L' F2 R2 B' D2 U
F L' F2 D' B' U F2
F L' F2 B R2 B2 U
F L' F2 B' R2 U D
F L' F2 B' R2 U D'
F L' F2 B' R2 U D2
F L' F2 B' R2 D U
F L' F2 B' R2 D' U
F L' F2 B' R2 D2 U
F L' F2 B' U D' F2
F L' F2 B' D' U F2
F' L' B R2 B2 L U
F L' B R2 F2 B2 U
F L' B R2 B2 F2 U
F' L' B' R2 U2 R' U'
F L' B F2 R2 B2 U
F L' B' R' F2 R' U
F L' B' R2 U D' L2
F L' B' R2 D' U L2
F L' B' R2 F2 U D
F L' B' R2 F2 U D'
F L' B' R2 F2 U D2
F L' B' R2 F2 D U
F L' B' R2 F2 D' U
F L' B' R2 F2 D2 U
F L' B' U D' L2 F2
F L' B' U D' F2 L2
F L' B' D' U L2 F2
F L' B' D' U F2 L2
F L' B' F R2 F U
F L' B' F2 R2 U D
F L' B' F2 R2 U D'
F L' B' F2 R2 U D2
F L' B' F2 R2 D U
F L' B' F2 R2 D' U
F L' B' F2 R2 D2 U
F L' B' F2 U D' F2
F L' B' F2 D' U F2
F' L2 R2 B2 L B' U
F L2 R2 F2 L B' U
F L2 F2 L R2 B' U
F L2 F2 L B' R2 U
F L2 F2 R2 L B' U
F R L' B' R F2 U
R2 U B' D L2 R' B
R2 U B' D R' L2 B
R2 U B' D R' B L2
F R' L' F2 R' B' U
R2 U2 R' F' R B U'
F' R2 L U2 R' F U'
F' R2 L U2 F R' U'
R2 U2 D2 B R' F' U'
F' R2 L' B2 L B U
F R2 L' D' B' U L2
F R2 L' F2 D B' U
F R2 L' F2 D' B' U
F R2 L' F2 D2 B' U
F R2 L' F2 B' U D
F R2 L' F2 B' U D'
F R2 L' F2 B' U D2
F R2 L' F2 B' D U
F R2 L' F2 B' D' U
F R2 L' F2 B' D2 U
F' R2 L2 B2 L B' U
F R2 L' B' U D' L2
F R2 L' B' D' U L2
F R2 L' B' F2 U D
F R2 L' B' F2 U D'
F R2 L' B' F2 U D2
F R2 L' B' F2 D U
F R2 L' B' F2 D' U
F R2 L' B' F2 D2 U
F R2 L2 F2 L B' U
F' R2 U B' D' R' B
F' R2 U2 R' D F' U'
F' R2 U2 R' D' F' U'
F' R2 U2 R' D2 F' U'
F' R2 U2 R' F' U' D
F' R2 U2 R' F' U' D'
F' R2 U2 R' F' U' D2
F' R2 U2 R' F' D U'
F' R2 U2 R' F' D' U'
F' R2 U2 R' F' D2 U'
R2 U2 B R' F' R U'
F' R2 U2 D R' F' U'
F' R2 U2 D' R' F' U'
F' R2 U2 D2 R' F' U'
F' R2 U2 F R' F' U'
F' R2 U2 F' R' F' U'
F' R2 U2 F2 R' F' U'
F' R2 D U2 R' F' U'
F' R2 D' U2 R' F' U'
F R2 D' L' B' U L'
F' R2 D2 U2 R' F' U'
F2 R2 F' L' F2 B' U
F2 R2 F' L' B' F2 U
F' R2 B' L' B' L U
F R2 B L' F2 B' U
F R2 B L' B' F2 U
F' R2 B2 L U2 F U'
F' R2 B2 L' B' L2 U
F R2 B' L' F2 B' U
F R2 B' L' B' F2 U
F R2 B2 L' F2 B' U
F R2 B2 L' B' F2 U
F2 U' F R2 U R' B
R2 D2 U2 B R' F' U'
F' U2 R U2 B R U
U' F L' R2 F2 U R'
L2 F L' F2 R2 B U
R2 F L' B' U D L2
