U L U' L2 B' R' U'
U' L' U L2 F R U2
U' L' U' B L B2 R'
F2 R U' L F U2 L'
L U' L2 U' B L B'
B' U L' R' F' B' U'
F U L R U2 F B
F U L R U2 B F
B' U L' R' B' F' U'
B' U R' L' F' B' U'
B' U R' L' B' F' U'
F U R L U2 F B
F U R L U2 B F
F U' L R F B U2
F U' L R B F U2
F U' R L F B U2
F U' R L B F U2
L' D2 F' U' L' R2 B'
L' D2 F' U' L' B' R2
L' D2 F' U' R2 L' B'
L' F U L2 R U2 B
L' F U R L2 U2 B
L' F D F2 U' L' B'
L' F' U' D2 L' R2 B'
L' F' U' D2 L' B' R2
L' F' U' D2 R2 L' B'
L F' U' L2 U' L B'
L' F' D2 U' L' R2 B'
L' F' D2 U' L' B' R2
L' F' D2 U' R2 L' B'
B2 F' D' L' R' F B
B2 F' D' L' R' B F
B2 F' D' L' F R' B
B2 F' D' R' L' F B
B2 F' D' R' L' B F
B2 F' D' R' B L' F
F' B2 D' L' R' F B
F' B2 D' L' R' B F
F' B2 D' L' F R' B
F' B2 D' R' L' F B
F' B2 D' R' L' B F
F' B2 D' R' B L' F
