F2 L U B L2 F
U L' D F2 L' B
U L' D F2 B L'
U L' D B F2 L'
U L' B D F2 L'
L U R U2 R' B
L' U D F2 L' B
L' U D F2 B L'
L' U D B F2 L'
L' U B D F2 L'
L' D U F2 L' B
L' D U F2 B L'
L' D U B F2 L'
F2 U L' D F2 B
F2 U L' D B F2
F2 U L' B D F2
F2 U B D L' F
F2 U2 L U' L2 B
F2 U2 L U' B L2
U F2 L' D F2 B
U F2 L' D B F2
U F2 L' B D F2
U F2 B D L' F
U B D F2 L' F
U B F2 D L' F
R2 L U F' R' U2 R
R2 L U' F' R' U2 F
U2 L R2 U F' R' U2
D' L U R U2 R' B
D2 L U R U2 R' B
D L U R U2 R' B
U2 L U R2 F' R' U2
U2 L U F' U2 B L
F2 L U F B L2 F
F2 L U F' B L2 F
U2 L U F2 U2 L' B
U2 L U F2 U2 B L'
F2 L U F2 B L2 F
F2 L U B L2 D F
F2 L U B L2 D' F
F2 L U B L2 D2 F
F2 L U B L2 F D
F2 L U B L2 F D'
F2 L U B L2 F D2
F2 L U B F L2 F
F2 L U B F' L2 F
F2 L U B F2 L2 F
F L U B L2 F L'
F2 L U' L2 D2 B R2
F2 L U' L2 B D2 R2
U2 L U' F2 L' F2 B
U2 L U' F2 L' B F2
U2 L U' F2 B L' F2
F2 L U' B L2 D2 R2
U2 L U' B U2 R U2
U2 L U' B F2 L' F2
U2 L U2 F2 U L' B
U2 L U2 F2 U B L'
F2 L F U B L2 F
F2 L F' U B L2 F
F2 L F2 U B L2 F
U' L F2 U' L' B R
U' L F2 U' B L' R
U' L F2 U' B R L'
U L B L2 D F2 L'
U2 L B' R2 U' B2 L
U2 L B' U R U2 B2
U2 L B2 U R U2 B'
L2 R' D' F2 R U B
D2 L' U D F2 L' B
D2 L' U D F2 B L'
D2 L' U D B F2 L'
D' L' U D F2 L' B
D' L' U D F2 B L'
D' L' U D B F2 L'
D L' U D F2 L' B
D L' U D F2 B L'
D L' U D B F2 L'
D2 L' U B D F2 L'
D' L' U B D F2 L'
D L' U B D F2 L'
U2 L' U' D F2 L' B
U2 L' U' D F2 B L'
U2 L' U' D B F2 L'
U2 L' U' B D F2 L'
D2 L' D U F2 L' B
D2 L' D U F2 B L'
D2 L' D U B F2 L'
D' L' D U F2 L' B
D' L' D U F2 B L'
D' L' D U B F2 L'
U L' D L F2 L' B
U L' D L F2 B L'
U L' D L B F2 L'
U L' D L' F2 L' B
U L' D L' F2 B L'
U L' D L' B F2 L'
U L' D L2 F2 L' B
U L' D L2 F2 B L'
U L' D L2 B F2 L'
U2 L' D U' F2 L' B
U2 L' D U' F2 B L'
U2 L' D U' B F2 L'
D L' D U F2 L' B
D L' D U F2 B L'
D L' D U B F2 L'
B L' D F2 L' F R
U L' D F2 L B L2
U L' D F2 L' D B
U L' D F2 L' D' B
U L' D F2 L' D2 B
U L' D F2 L' B D
U L' D F2 L' B D'
U L' D F2 L' B D2
U L' D F2 D L' B
U L' D F2 D B L'
U L' D F2 D' L' B
U L' D F2 D' B L'
U L' D F2 D2 L' B
U L' D F2 D2 B L'
U L' D F2 B L' D
U L' D F2 B L' D'
U L' D F2 B L' D2
U L' D F2 B D L'
U L' D F2 B D' L'
U L' D F2 B D2 L'
U L' D F2 B' L' B2
U L' D B L F2 L'
U L' D B L' F2 L'
U L' D B L2 F2 L'
U L' D B F2 L' D
U L' D B F2 L' D'
U L' D B F2 L' D2
U L' D B F2 D L'
U L' D B F2 D' L'
U L' D B F2 D2 L'
U L' D B' F2 L' B2
U L' D2 B D' F2 L'
L R2 U F' R' U2 R
L R2 U' F' R' U2 F
U L' F2 D L' F2 B
U L' F2 D L' B F2
U L' F2 D B L' F2
U L' F2 B D L' F2
F2 L' B U L2 F U'
U L' B D L F2 L'
U L' B D L' F2 L'
U L' B D L2 F2 L'
U L' B D F2 L' D
U L' B D F2 L' D'
U L' B D F2 L' D2
U L' B D F2 D L'
U L' B D F2 D' L'
U L' B D F2 D2 L'
U L' B F2 D L' F2
R' L2 D' F2 R U B
U L' B2 D F2 B' L'
U L' B2 D B' F2 L'
F2 L2 U L D F2 B
F2 L2 U L D B F2
F2 L2 U L B D F2
F2 L2 U2 L' U' L2 B
F2 L2 U2 L' U' B L2
L U L R U2 R' B
L2 U L D F2 L' B
L2 U L D F2 B L'
L2 U L D B F2 L'
L2 U L B D F2 L'
L U L' R U2 R' B
F2 L2 F U L F B
F2 L2 F U L B F
L U L2 R U2 R' B
L U R L U2 R' B
L U R L' U2 R' B
L U R L2 U2 R' B
L U R U2 R' D B
L U R U2 R' D' B
L U R U2 R' D2 B
L U R U2 R' B D
L U R U2 R' B D'
L U R U2 R' B D2
L U R F U2 R' B
L U R F' U2 R' B
L U R F2 U2 R' B
U L2 B L D F2 L'
L' U D L F2 L' B
L' U D L F2 B L'
L' U D L B F2 L'
L' U D L' F2 L' B
L' U D L' F2 B L'
L' U D L' B F2 L'
L' U D L2 F2 L' B
L' U D L2 F2 B L'
L' U D L2 B F2 L'
L U R2 F' R' U2 R'
L' U D F2 L B L2
L' U D F2 L' D B
L' U D F2 L' D' B
L' U D F2 L' D2 B
L' U D F2 L' B D
L' U D F2 L' B D'
L' U D F2 L' B D2
L' U D F2 D L' B
L' U D F2 D B L'
L' U D F2 D' L' B
L' U D F2 D' B L'
L' U D F2 D2 L' B
L' U D F2 D2 B L'
L' U D F2 B L' D
L' U D F2 B L' D'
L' U D F2 B L' D2
L' U D F2 B D L'
L' U D F2 B D' L'
L' U D F2 B D2 L'
L' U D F2 B' L' B2
L' U D B L F2 L'
L' U D B L' F2 L'
L' U D B L2 F2 L'
L' U D B F2 L' D
L' U D B F2 L' D'
L' U D B F2 L' D2
L' U D B F2 D L'
L' U D B F2 D' L'
L' U D B F2 D2 L'
L' U D B' F2 L' B2
L U D R U2 R' B
L U D' R U2 R' B
L' U D2 B D' F2 L'
L U D2 R U2 R' B
L U F B L2 F L'
B2 R U R2 B2 U B
U' R U' L R' U' B
L' U F2 D L' F2 B
L' U F2 D L' B F2
L' U F2 D B L' F2
L U F2 L B L2 F
U' R U' R' L U' B
L' U F2 B D L' F2
U' R U' D2 L U' B'
U R U' L U' R' B
L2 U B L D F2 L'
L U F2 B L2 F L
