U2 L U F B' L' U
U2 L U B' F L' U
F L B' L2 U F' L'
F L' U F' L' D R2
F L' U F' D L' R2
F L' U F' D R2 L'
F2 L' F R B U' F
D2 R U F' B R' U'
D2 R U B F' R' U'
F' R D' B U' R' F
F' R D' B U' F R'
D2 R F' B R' U' F
D2 R B F' R' U' F
D R' U' F' U B R
D R' F' U B R F
D R' B U' F' U R
D' U' B U L R' B'
U' D' B U L R' B'
D' U' B U R' L B'
U' D' B U R' L B'
L2 F L' B' U F' L'
F D L' U F' L' R
F D L' U F' R L'
L F B' L' U F' L'
L' F' R F2 B U' F'
L' F' R B F2 U' F'
L2 F' R B U' F R
F' D' R B U' R' F
F' D' R B U' F R'
F' D2 R F' B U' F2
F' D2 R B F' U' F2
L B' F L' U F' L'
