L2 U F' B' U F'
L2 U B' F' U F'
R2 U' F B U' F
R2 U' B F U' F
U' F U' D' F L2
U' F U2 F2 U F'
U' F D' U' F L2
U' F D2 B2 U' F
U F' U D F' R2
U F' U2 F2 U' F
U F' D U F' R2
U F' D2 B2 U F'
U2 L' F2 U' F U R
F' L2 U D F' R2 B'
F' L2 U D F' B' R2
F' L2 U D B' F' R2
B' L2 U F' B' U F'
F' L2 U B' D F' R2
B' L2 U B' F' U F'
B2 L2 U F' B' U F'
D L2 U F' R2 B' U
D L2 U F' B' R2 U
B L2 U F' B' U F'
B2 L2 U B' F' U F'
D L2 U B' F' R2 U
B L2 U B' F' U F'
U2 L2 U' F' B' U F'
U2 L2 U' B' F' U F'
D' L2 U2 F' B' U B
U' L2 U2 F' B' U F'
F' L2 U2 F2 U' F B'
F' L2 U2 F2 U' B' F
D' L2 U2 B' F' U B
U' L2 U2 B' F' U F'
F' L2 D U F' R2 B'
F' L2 D U F' B' R2
F' L2 D U B' F' R2
F' L2 D2 B2 U F' B
F' L2 D2 B2 U B F'
U2 L2 F' B' U F' B
U2 L2 F' B' U B F'
U L2 F' B' L2 U F'
U2 L2 F2 U' F B' U
U2 L2 F2 U' B' F U
U L2 B' L2 F' U F'
U2 L2 B' F' U F' B
U2 L2 B' F' U B F'
L2 U D F' R2 B' U
L2 U D F' B' R2 U
D2 L2 B2 U F' B U
D2 L2 B2 U B F' U
L2 U D B' F' R2 U
L U D F' R2 U R'
U L2 B' F' L2 U F'
L' U F' B' U F' R'
L2 U F' D B' U F'
L2 U F' D' B' U F'
L U F' U D F' R
L2 U F' D2 B' U F'
L2 U F' B' U D F'
L2 U F' B' U D' F'
L2 U F' B' U D2 F'
L2 U F' B' U F' D
L2 U F' B' U F' D'
L2 U F' B' U F' D2
L2 U F' B' D U F'
L2 U F' B' D' U F'
L2 U F' B' D2 U F'
L U F' D U F' R
L' U B' F' U F' R'
L2 U B' D F' R2 U
L2 U B' F' U D F'
L2 U B' F' U D' F'
L2 U B' F' U D2 F'
L2 U B' F' U F' D
L2 U B' F' U F' D'
L2 U B' F' U F' D2
L2 U B' F' D U F'
L2 U B' F' D' U F'
L2 U B' F' D2 U F'
U2 R F2 U F' U' L'
R' U' D' F L2 U' L
R2 U' D' F L2 B U'
R2 U' D' F B L2 U'
R2 U' D' B F L2 U'
R' U' F U' D' F L'
R' U' F D' U' F L'
R2 U' F D B U' F
R2 U' F D' B U' F
R2 U' F D2 B U' F
R2 U' F B U' D F
R2 U' F B U' D' F
R2 U' F B U' D2 F
R2 U' F B U' F D
R2 U' F B U' F D'
R2 U' F B U' F D2
R2 U' F B D U' F
R2 U' F B D' U' F
R2 U' F B D2 U' F
R U' F B U' F L
R2 U' B D' F L2 U'
R2 U' B F U' D F
R2 U' B F U' D' F
R2 U' B F U' D2 F
R2 U' B F U' F D
R2 U' B F U' F D'
R2 U' B F U' F D2
R2 U' B F D U' F
R2 U' B F D' U' F
R2 U' B F D2 U' F
R U' B F U' F L
R2 U2 F B U' F B'
R2 U2 F B U' B' F
L2 U2 F' B' U F' B
L2 U2 F' B' U B F'
U2 R2 U F B U' F
U2 R2 U B F U' F
L2 U2 F2 U' F B' U
L2 U2 F2 U' B' F U
D' R2 U' F L2 B U'
R2 U2 F2 U F' B U'
R2 U2 F2 U B F' U'
D' R2 U' F B L2 U'
B' R2 U' F B U' F
D' R2 U' B F L2 U'
B' R2 U' B F U' F
B2 R2 U' F B U' F
B2 R2 U' B F U' F
B R2 U' F B U' F
F R2 U' D' F L2 B
F R2 U' D' F B L2
F R2 U' D' B F L2
B R2 U' B F U' F
F R2 U' B D' F L2
R2 U2 B F U' F B'
R2 U2 B F U' B' F
D R2 U2 F B U' B'
D R2 U2 B F U' B'
F R2 U2 F2 U F' B
F R2 U2 F2 U B F'
U R2 U2 F B U' F
L2 U2 B' F' U F' B
L2 U2 B' F' U B F'
U R2 U2 B F U' F
F R2 D' U' F L2 B
F R2 D' U' F B L2
F R2 D' U' B F L2
U' R2 F B R2 U' F
F R2 D2 B2 U' F B'
F R2 D2 B2 U' B' F
U2 R2 F B U' F B'
U2 R2 F B U' B' F
U2 R2 F2 U F' B U'
U2 R2 F2 U B F' U'
U' R2 B R2 F U' F
U' R2 B F R2 U' F
U2 R2 B F U' F B'
U2 R2 B F U' B' F
D2 R2 B2 U' F B' U'
D2 R2 B2 U' B' F U'
L2 D U F' R2 B' U
L2 D U F' B' R2 U
L2 D U B' F' R2 U
L D U F' R2 U R'
D U R2 U2 F B U'
D U R2 U2 B F U'
U' D F U' D' L2 F2
U' D F U' D' F2 L2
U' D F U2 R2 F2 U
U' D F U2 F2 R2 U
F' U D F' R2 D2 B2
F' U D F2 R2 F B
F' U D F2 R2 B F
U D R2 U2 F B U'
U D R2 U2 B F U'
U' D F D' U' L2 F2
U' D F D' U' F2 L2
U' D F D2 L2 B2 U'
U' D F D2 B2 L2 U'
D' U F' U D R2 F2
D' U F' U D F2 R2
F' U D' F' D2 R2 B2
F' U D' F' D2 B2 R2
D' U F' U2 L2 F2 U'
D' U F' U2 F2 L2 U'
D' U F' D U R2 F2
D' U F' D U F2 R2
F U D R2 U2 F B
F U D R2 U2 B F
D' U F' D2 R2 B2 U
D' U F' D2 B2 R2 U
F U D F' R2 U2 F2
D2 U F' D2 B2 U F2
D U F' R2 U D R2
D U F' R2 U2 F2 U'
D U F' R2 D U R2
D U F' R2 D2 B2 U
F U D' F' U2 L2 F2
F U D' F' U2 F2 L2
U D F' R2 U D R2
U D F' R2 U2 F2 U'
U D F' R2 D U R2
U D F' R2 D2 B2 U
D U F2 R2 F B U
D U F2 R2 B F U
U D F2 R2 F B U
U D F2 R2 B F U
B' U F' U D F' R2
B' U F' U2 F2 U' F
B' U F' D U F' R2
B2 U F' U D F' R2
B' U F' D2 B2 U F'
B2 U F' U2 F2 U' F
B2 U F' D U F' R2
B2 U F' D2 B2 U F'
B U F' U D F' R2
B U F' U2 F2 U' F
B U F' D U F' R2
F U F' U F' U F'
B U F' D2 B2 U F'
R' D' U' F L2 U' L
U' D' L2 U2 F' B' U
D' U' L2 U2 F' B' U
U' D' L2 U2 B' F' U
D' U' L2 U2 B' F' U
R2 D' U' F L2 B U'
R2 D' U' F B L2 U'
R2 D' U' B F L2 U'
D' U' F L2 U' D' L2
U' D' F L2 U' D' L2
D' U' F L2 U2 F2 U
U' D' F L2 U2 F2 U
D' U' F L2 D' U' L2
U' D' F L2 D' U' L2
D' U' F L2 D2 B2 U'
U' D' F L2 D2 B2 U'
D2 U' F D2 B2 U' F2
D U' F U' D' L2 F2
D U' F U' D' F2 L2
D U' F U2 R2 F2 U
D U' F U2 F2 R2 U
D U' F D' U' L2 F2
D U' F D' U' F2 L2
D U' F D2 L2 B2 U'
D U' F D2 B2 L2 U'
D' U' F2 L2 F' B' U'
U' D' F2 L2 F' B' U'
D' U' F2 L2 B' F' U'
U' D' F2 L2 B' F' U'
U D' F' U D R2 F2
U D' F' U D F2 R2
U D' F' U2 L2 F2 U'
U D' F' U2 F2 L2 U'
