L' F' R' B U F'
D' L' F' R' U F' R2
B' L' F' R' B U F'
B2 L' F' R' B U F'
B L' F' R' B U F'
U' L' F' B' R' B U
U' L' B' F' R' B U
L' D' F' R' U F' R2
R' D2 L' F B U F2
R' D2 L' B F U F2
R' D2 B L' F U F2
L' F R' F2 B U F
L' F R' B F2 U F
F' D R' U F' B R'
F' D R' U B F' R'
L2 F' L R' B U F'
L F' L2 R' B U F'
L' F' R' D B U F'
L' F' R' D' B U F'
L' F' R' D2 B U F'
L2 F' R' L B U F'
L' F' R' B U D F'
L' F' R' B U D' F'
L' F' R' B U D2 F'
L' F' R' B U F' D
L' F' R' B U F' D'
L' F' R' B U F' D2
L' F' R' B D U F'
L' F' R' B D' U F'
L' F' R' B D2 U F'
L' F' R2 U F R F'
L F' R' L2 B U F'
L F' R' B L2 U F'
L' F' D' R' U F' R
L' F' B R' B U F'
L' F' B' R' B U F'
L' F' B2 R' B U F'
L' F2 R' F B U F2
L' F2 R' B F U F2
R' B D2 L' F U F2
L' B F' R' B U F'
U' B' L' F' R' B U
L' B' F' R' B U F'
L' B2 F' R' B U F'
