B' L' U' L' U' B' L'
B2 L' U' L' R' B' U'
B2 L' U' R' L' B' U'
B' L2 U' L' D2 R2 B'
B' L2 U' L' D2 B' R2
B' L2 U' L' B' D2 R2
B' L2 U' B' L' B' R'
B' L2 U' B2 L' R' B'
B' L2 U' B2 R' L' B'
B R' D L' F U2 F
L U2 D L F2 B' U'
L U2 D L B' F2 U'
L U2 D F2 L B' U'
L D L F2 R B' U'
L D L F2 B' R U'
L D L B' F2 R U'
L D U2 L F2 B' U'
L D U2 L B' F2 U'
L D U2 F2 L B' U'
B' U D F2 L R B
B' U D F2 R L B
L D' R F' B2 R' U
L D' R B2 F' R' U
L D' R2 B2 R' F' U
L D' B2 R F' R2 U
L D' B2 R' U2 B U'
B D L' R' F U2 F
B D L' F R' U2 F
B D R' L' F U2 F
B' D U F2 L R B
B' D U F2 R L B
B D F2 B2 L R B'
B D F2 B2 L B' R
B D F2 B2 R L B'
B D B2 F2 L R B'
B D B2 F2 L B' R
B D B2 F2 R L B'
B D' L' R' B2 U2 B'
B D' R' L' B2 U2 B'
F2 B' L2 U' L' R B'
F2 B' L2 U' L' B' R
F2 B' L2 U' R L' B'
L B' U' L2 U2 L' F
D' B2 L' U' R' B U'
B' F2 L2 U' L' R B'
B' F2 L2 U' L' B' R
B' F2 L2 U' R L' B'
