R' B U' F' U' B'
U2 L R' B U' F U'
R' L B U' F' U' B'
U2 L' R' B U B2 U
U2 L' R' B U2 D' R2
U2 L' R' B D L2 U2
U2 L' R' B D' U2 R2
R' L' B U' F' U' B'
L' R' B U' F' U' B'
L2 R' B U' F' U' B'
L R' B U' F' U' B'
U2 L2 R' D' B U2 R'
R' L2 B U' F' U' B'
B R B U L F' B2
B R B U L B2 F'
B R B U F' L B2
R U' D' F2 B U F
R U' D' B F2 U F
U2 R' L B U' F U'
R U' D2 B U L2 F'
R U' D2 B U F' L2
U2 R' L' B U B2 U
U2 R' L' B U2 D' R2
U2 R' L' B D L2 U2
U2 R' L' B D' U2 R2
R' U' F' U B U2 B'
U2 R' L2 D' B U2 R'
U2 R' U2 R2 D' F' R
R U' B U D2 L2 F'
R U' B U D2 F' L2
R U' B U F' D2 L2
R U' B U' R2 B U2
R U' B D' F2 U F
R U' B D2 U L2 F'
R U' B D2 U F' L2
R2 U2 R U' F' L' U'
U' R' B L U L' U
U2 R' B L U' F U'
U2 R' B L' U B' U
F' R' B U' F' U' B'
F2 R' B U' F' U' B'
U2 R' B U B' U R'
U2 R' B U' F U' R
F R' B U' F' U' B'
R U2 R2 B U' F' U'
R' U2 F D R2 F' B
R' U2 F D R2 B F'
D' R2 D' F2 L' F R
D R2 D' F' R F' L'
R2 D R B U2 R' B'
R2 D R' D2 L2 F' R
R2 D R' D2 F' L2 R
R2 D R' D2 F' R L2
B2 U L F R F' B2
B2 U L F R B2 F'
B2 U L F B2 R F'
B2 U L B2 F R F'
R' D B U' F' U' B'
B2 U F L R F' B2
B2 U F L R B2 F'
B2 U F L B2 R F'
B2 U F R L F' B2
B2 U F R L B2 F'
B2 U F R F' L B2
R2 D' R' F' D2 L2 R
R2 D' R' F' D2 R L2
R D' U' F2 B U F
R D' U' B F2 U F
R2 D' F' R' F' L' R2
R2 D' F' R' F' R2 L'
R D' F' U' F' B U
R D' F' U' B F' U
R' D' B U' F' U' B'
R D' F2 B U F B'
R D' F2 B U B' F
R D' B F2 U F B'
R D' B F2 U B' F
R D2 L2 U' B U F'
R D2 L2 F' U' B U
R D2 U' B U L2 F'
R D2 U' B U F' L2
R D2 F' L2 U' B U
R D2 F' U' B U L2
R' D2 B U' F' U' B'
R D2 B U F' B' L2
R D2 B U B' L2 F'
R D2 B U B' F' L2
U F U R' U2 R2 F'
U F U R' B U2 R2
U F U' R D2 L2 F'
U F U' R D2 F' L2
U F U' R F' D2 L2
R' F D R2 D2 L2 F'
R' F D R2 D2 F' L2
R' F D R2 F' D2 L2
R' F D B U2 R2 B'
R' F D B U2 B' R2
R' F D' L2 B U2 B'
R' F D' B L2 F U2
R' F B U' F2 U' B'
R' F B U2 D R2 B'
R' F B U2 D B' R2
R' F B U2 B' D R2
R' F B U2 B' D R2
R' F B D U2 R2 B'
R' F B D U2 B' R2
R' F B D' L2 F U2
U F B2 U' L R F'
U F B2 U' R L F'
U F B2 U' R F' L
U F' U L' R' B U2
U F' U R' L' B U2
U F' U R' B L' U2
R F' U' D' F2 B U
R F' U' D' B F2 U
R F' U' D2 B U L2
R F' U' B U D2 L2
R F' U' B U' R2 U2
R F' U' B D' F2 U
R F' U' B D2 U L2
R F' U2 R2 U' F' U'
R2 F' D' R' F' L' R
R2 F' D' R' F' R L'
R F' D' U' F2 B U
R F' D' U' B F2 U
R F' D2 L2 U' B U
R F' D2 U' B U L2
R2 F2 L' D' R' F' R
R2 F2 D' L' R' F' R
R2 F2 D' R' L' F' R
R' F2 B U' F U' B'
R' B L2 F U' F2 U'
R' B L2 F U2 D R2
R' B L2 F D U2 R2
R' B L2 F D' L2 U2
R' B U' R U' B' R'
R' B U' D F' U' B'
R' B U' D' F' U' B'
R' B U' D2 F' U' B'
R' B U' F' R U' B'
R' B U' F' R' U' B'
R' B U' F' R2 U' B'
R' B U' F' U' D B'
R' B U' F' U' D' B'
R' B U' F' U' D2 B'
R' B U' F' U' B' D
R' B U' F' U' B' D'
R' B U' F' U' B' D2
R' B U' F' D U' B'
R' B U' F' D' U' B'
R' B U' F' D2 U' B'
R' B U2 R2 B' D' R2
R' B U2 B' U F' U'
R B U D2 F' B' L2
R B U D2 B' L2 F'
R B U D2 B' F' L2
R B U F' D2 B' L2
R B U F' B' D2 L2
R' B D U' F' U' B'
R B U B' D2 L2 F'
R B U B' D2 F' L2
R B U B' F' D2 L2
R B U' R2 B U2 B2
R' B D' U' F' U' B'
R' B D2 U' F' U' B'
R' B F U' F2 U' B'
R' B F U2 D R2 B'
R' B F U2 D B' R2
R' B F U2 B' D R2
R' B F D U2 R2 B'
R' B F D U2 B' R2
R' B F D' L2 F U2
R B D' F2 U F B'
R B D' F2 U B' F
R B D2 U F' B' L2
R B D2 U B' L2 F'
R B D2 U B' F' L2
R' B F2 U' F U' B'
U B2 F U' L R F'
U B2 F U' R L F'
U B2 F U' R F' L
