U L' F2 U2 F L'
U F2 U2 R F L'
L' R F2 U' B L U'
U L D2 F' L' R2 B2
U L D2 F' L' B2 R2
U L D2 F' R2 L' B2
U L D2 F' R2 B2 L'
U L D2 F' B2 L' R2
U L D2 F' B2 R2 L'
U L D2 B2 F' L' R2
U L D2 B2 F' R2 L'
U' L F' D2 R2 B L
U L F' D2 L' R2 B
U L F' D2 R2 L' B
U L F' D2 R2 B L'
U' L F2 L2 B' R' U2
U' L' R2 F2 B U2 L
U' L' R2 B F2 U2 L
U' L' U2 D2 F' L' B2
U' L' U2 D2 F' B2 L'
U' L' U2 D2 B2 F' L'
R L' F2 U' B L U'
R2 L' F2 D B R' U2
U' L' D2 U2 F' L' B2
U' L' D2 U2 F' B2 L'
U' L' D2 U2 B2 F' L'
U L' D2 F' L' B2 R'
U L' F R F U2 F
U' L' F2 U2 F' L' F2
U2 L' F2 U' B' U' F
U L' F2 R U2 F L'
U L' F2 R' U2 F L'
U L' F2 R2 U2 F L'
U' L' F2 B U2 F L
U' L' F2 B' R' U2 F
U L' F2 U2 F L' D
U L' F2 U2 F L' D'
U L' F2 U2 F L' D2
U L' F2 U2 F D L'
U L' F2 U2 F D' L'
U L' F2 U2 F D2 L'
U L' F2 B U2 F L'
U L' F2 B' U2 F L'
U L' F2 B2 U2 F L'
U' L' B F2 U2 F L
U L' B F2 U2 F L'
U' L' B' F2 R' U2 F
U L' B' F2 U2 F L'
U L' B2 F2 U2 F L'
D' L2 U F' L' D2 R2
D2 L2 U F' B2 L' R'
D2 L2 U F' B2 R' L'
D2 L2 U B2 F' L' R'
D2 L2 U B2 F' R' L'
D' L2 U' L U2 F' L'
L' R2 F2 D B R' U2
L2 U L F2 U2 F L'
U L2 D2 F' B2 L' R'
U L2 D2 F' B2 R' L'
U L2 D2 B2 F' L' R'
U L2 D2 B2 F' R' L'
L U L2 F2 U2 F L'
U L2 F' L' D2 R2 B
D' L2 B2 U F' L' R'
D' L2 B2 U F' R' L'
L2 U D2 F' B2 L' R'
L2 U D2 F' B2 R' L'
L U D2 F' L' R2 B2
L U D2 F' L' B2 R2
L U D2 F' R2 L' B2
L U D2 F' R2 B2 L'
L2 U D2 B2 F' L' R'
L2 U D2 B2 F' R' L'
L U D2 F' B2 L' R2
L U D2 F' B2 R2 L'
L U D2 B2 F' L' R2
L U D2 B2 F' R2 L'
L2 U F' L' D2 R2 B
L U F' D2 L' R2 B
L U F' D2 R2 L' B
L U F' D2 R2 B L'
F2 R' U F' U R2 F2
F2 R' U F' U F2 R2
L U' F' D2 R2 B L
L U' F2 L2 B' R' U2
F2 R' U2 F R2 D' L2
F2 R' F R2 D' L2 B
F2 R' F R2 D' B L2
F2 R' F R2 B D' L2
F2 R' F' U F2 R2 B
U' R' F2 U2 R F' L'
U' R2 L' F2 B U2 L
U' R2 L' B F2 U2 L
F2 R2 U2 D' R' F L'
F2 R2 U2 D' F L' R'
F2 R2 U2 D' F R' L'
F2 R2 D' U2 R' F L'
F2 R2 D' U2 F L' R'
F2 R2 D' U2 F R' L'
U' R2 F2 B U2 L R
U' R2 F2 B U2 R L
U' R2 B L' F2 U2 L2
U' R2 B F2 U2 L R
U' R2 B F2 U2 R L
D2 U L' F' L' B2 R'
B' U L' F2 U2 F L'
B2 U L' F2 U2 F L'
B U L' F2 U2 F L'
D2 U L2 F' B2 L' R'
D2 U L2 F' B2 R' L'
D2 U L2 B2 F' L' R'
D2 U L2 B2 F' R' L'
D2 U F2 R F L' B2
D2 U F2 R F B2 L'
D2 U F2 R B2 F L'
D2 U F2 B2 R F L'
B' U F2 U2 R F L'
B2 U F2 U2 R F L'
L D' L2 B2 U F' L'
D2 U B2 F2 R F L'
B U F2 U2 R F L'
D2 U' L' U2 F' L' B2
D2 U' L' U2 F' B2 L'
D2 U' L' U2 B2 F' L'
L D' B2 L2 U F' L'
U' D2 L' U2 F' L' B2
U' D2 L' U2 F' B2 L'
U' D2 L' U2 B2 F' L'
F2 U' B U' R F L
U D2 L' F' L' B2 R'
U D2 L2 F' B2 L' R'
U D2 L2 F' B2 R' L'
U D2 L2 B2 F' L' R'
U D2 L2 B2 F' R' L'
L2 D2 U F' B2 L' R'
L2 D2 U F' B2 R' L'
L2 D2 U B2 F' L' R'
L2 D2 U B2 F' R' L'
L D2 U F' L' R2 B2
L D2 U F' L' B2 R2
L D2 U F' R2 L' B2
L D2 U F' R2 B2 L'
L D2 U F' B2 L' R2
L D2 U F' B2 R2 L'
L D2 U B2 F' L' R2
L D2 U B2 F' R2 L'
U D2 F2 R F L' B2
U D2 F2 R F B2 L'
U D2 F2 R B2 F L'
U D2 F2 B2 R F L'
U D2 B2 F2 R F L'
U F R F U2 R F
U F' L' R2 D2 B R'
U F' L' U2 F' U2 R
U F' L' D2 R2 B R'
U' F' R2 D2 B L R'
U' F' R2 D2 B R' L
R' F' U R F' R B
U F' R2 L' D2 B R'
U F' R2 D2 L' B R'
U F' R2 D2 B L' R'
U F' R2 D2 B R' L'
R' F' U' F' U2 R F'
U' F' U2 F' U2 L' R
U' F' U2 F' U2 R L'
U' F' D2 R2 B L R'
U' F' D2 R2 B R' L
U F' D2 L' R2 B R'
U F' D2 R2 L' B R'
U F' D2 R2 B L' R'
U F' D2 R2 B R' L'
U' F2 L2 B' R' U2 R2
L' F2 R U' B U' F
R' F2 R F' D' L2 B'
U' F2 R' F R2 B L
L' F2 R' U F' U F2
L' F2 R' U2 F D' L2
L' F2 R2 U2 D' F L'
L' F2 R2 D' U2 F L'
U F2 R' U2 R2 F L'
U F2 R' U2 F L' R2
U F2 R' U2 F R2 L'
U F2 R' F L' R2 B
U F2 R' F R2 L' B
U F2 R' F R2 B L'
L' F2 U F' U L' F2
U F2 R2 U2 R' F L'
U F2 R2 U2 F L' R'
U F2 R2 U2 F R' L'
U' F2 U2 R F' L' F2
L' F2 U' B U' F L
R' F2 U2 R F' D' L2
R F2 U' B L U' R
U F2 U2 R F L' D
U F2 U2 R F L' D'
U F2 U2 R F L' D2
U F2 U2 R F D L'
U F2 U2 R F D' L'
U F2 U2 R F D2 L'
U F2 U2 R' F L' R2
U F2 U2 R' F R2 L'
U F2 U2 R2 F L' R'
U F2 U2 R2 F R' L'
R2 F2 D B R' U2 R2
U' F2 B U2 R F L
U' F2 B' R' U2 R2 F
U' F2 B' R' U2 F R2
U F2 B U2 R F L'
U' B L D2 F' R2 B2
U' B L D2 F' B2 R2
U' B L D2 B2 F' R2
U' B L F' D2 R2 B
U F2 B' U2 R F L'
U' B L' F2 U2 F L2
U F2 B2 U2 R F L'
U B L' F2 U2 F L'
U' B F2 U2 R F L
U' B' L' F2 R' U2 F
U B F2 U2 R F L'
U B' L' F2 U2 F L'
U' B' R' F2 U2 R F'
U' B' F2 R' U2 R2 F
U' B' F2 R' U2 F R2
U B' F2 U2 R F L'
U B2 L' F2 U2 F L'
U B2 F2 U2 R F L'
