B2 L D R2 F' R B
F L2 B2 R' U' F L
F' R D B2 U' R2 F'
F' R F2 U R2 B' U2
F' R F2 U B' R2 U2
F' R F2 U' D2 L2 F
F' R F2 D2 U' L2 F
F' R' U2 D B2 R2 F'
F' R' D U2 B2 R2 F'
F' R' D B' U2 R2 B'
F' R' D B' U2 B' R2
F' R' D' L2 F2 U2 F'
F' R' D' F2 L2 U2 F
F' R' D' F2 B' L2 U2
F' R' D' B' L2 F2 U2
F' R' D' B' F2 L2 U2
F' R' B' U' R2 F2 U'
F' R' B' U' F2 R2 U'
F' R' B' U2 D R2 B2
F' R' B' U2 D B2 R2
F' R' B' D U2 R2 B2
F' R' B' D U2 B2 R2
F' R' B' D' L2 F2 U2
F' R' B' D' F2 L2 U2
D R' B' U' F U' B2
F U R' B' U L' U
F U' L D' B2 L F
L D' B2 L F B' R'
L D' B2 L B' R' F
L D' B2 L B' F R'
D F U R' B' U2 B2
R' F' B' U' R F2 U'
R' B' U' F U2 L' U
R' B' U' F' R F2 U'
R' B' F' U' R F2 U'
