D' L U R2 F B'
D' L U R2 B' F
D' L U F R2 B'
D' L U F B' R2
D' L U B' R2 F
D' L U B' F R2
B2 D' L U F B'
B2 D' L U B' F
B' D2 B' L U F
D' L R U R F B'
D' L R U R B' F
D' L R U B' R F
D' L R' U R' F B'
D' L R' U R' B' F
D' L R' U F R' B'
D' L U R B' R F
D' L U R' F R' B'
D' L U R2 D F B'
D' L U R2 D B' F
D' L U R2 D' F B'
D' L U R2 D' B' F
D' L U R2 D2 F B'
D' L U R2 D2 B' F
D' L U R2 F D B'
D' L U R2 F D' B'
D' L U R2 F D2 B'
D' L U R2 F B' D
D' L U R2 F B' D'
D' L U R2 F B' D2
D' L U R2 B' D F
D' L U R2 B' D' F
D' L U R2 B' D2 F
D' L U R2 B' F D
D' L U R2 B' F D'
D' L U R2 B' F D2
D' L U F R B' R
D' L U F R2 D B'
D' L U F R2 D' B'
D' L U F R2 D2 B'
D' L U F R2 B' D
D' L U F R2 B' D'
D' L U F R2 B' D2
D' L U F B R2 B2
D' L U F B' R2 D
D' L U F B' R2 D'
D' L U F B' R2 D2
B2 L U F U' L' U
D' L U F' R2 F2 B'
D' L U F' R2 B' F2
D' L U F' B' R2 F2
D L U F B2 R' B
D' L U B R2 F B2
D' L U B R2 B2 F
D' L U B F R2 B2
D' L U B' R' F R'
D' L U B' R2 D F
D' L U B' R2 D' F
D' L U B' R2 D2 F
D' L U B' R2 F D
D' L U B' R2 F D'
D' L U B' R2 F D2
D' L U B' F R2 D
D' L U B' F R2 D'
D' L U B' F R2 D2
D' L U B' F' R2 F2
D L U B2 R' F B
D L U B2 R' B F
D L U B2 F R' B
B2 L D R' U F B
B2 L D R' U B F
D' L D B2 U F B
D' L D B2 U B F
B2 L F L' F' U F
D' L F R2 B' D L2
F L F D' L2 R2 B2
F L F D' L2 B2 R2
F L F D' R2 L2 B2
F L F D' R2 B2 L2
F L F D' B2 L2 R2
F L F D' B2 R2 L2
F L F' L2 B2 U F2
F L F' B2 L2 U F2
D' L B U R2 F B2
D' L B U R2 B2 F
D' L B U F R2 B2
D' L B U F B2 R2
D' L B U B2 R2 F
D' L B U B2 F R2
D' L B2 U F B R2
D' L B2 U B R2 F
D' L B2 U B F R2
D L B2 U R' F B
D L B2 U R' B F
D L B2 U F R' B
F L B2 F' L2 U F2
D' L' U' F B' U2 R2
D' L' U' B' F U2 R2
F L' F' B2 R2 U F'
F L' F' B2 U' B U2
F L' B2 F' R2 U F'
F L' B2 F' U' B U2
B2 L2 F L' F' U F2
D' R L U R F B'
D' R L U R B' F
D' R L U B' R F
L U F U' L' B2 U
L U F U' B2 L' U
B2 R D' L U F B'
B2 R D' L U B' F
B' R D2 B' L U F
D' R' L U R' F B'
D' R' L U R' B' F
D' R' L U F R' B'
B2 R' D' L U F B'
B2 R' D' L U B' F
B' R' D2 B' L U F
B2 R2 D' L U F B'
B2 R2 D' L U B' F
B' R2 D2 B' L U F
F' R2 F B2 L U F
F' R2 B2 F L U F
R' D' L U R2 F B'
R' D' L U R2 B' F
R' D' L U F R2 B'
R' D' L U F B' R2
R' D' L U B' R2 F
R' D' L U B' F R2
R2 D' L U R2 F B'
R2 D' L U R2 B' F
R2 D' L U F R2 B'
R2 D' L U F B' R2
R2 D' L U B' R2 F
R2 D' L U B' F R2
R D' L U R2 F B'
R D' L U R2 B' F
R D' L U F R2 B'
R D' L U F B' R2
R D' L U B' R2 F
R D' L U B' F R2
B2 U' F U L' R U
B2 U' F U R L' U
B2 U' F' U' L' R U'
B2 U' F' U' R L' U'
B2 U2 D R' U' F' B
B2 U2 D R' U' B F'
B U2 R2 F' R U' F'
U' F L' R B2 U L
L2 F L' F' B2 U F2
L2 F L' B2 F' U F2
U' F R L' B2 U L
L F L' F' B2 U F
U' F R B2 L' U L2
L F L' B2 F' U F
U' F U L' R B2 U
U' F U L' B2 R U
U' F U R L' B2 U
U' F U R B2 L' U
U' F U B2 L' R U
U' F U B2 R L' U
B2 D L R' U F B
B2 D L R' U B F
L F U' L' F' B2 U
L F U' L' B2 F' U
L F U' B2 L' F' U
B2 D R' L U F B
B2 D R' L U B F
L2 F B2 L' F' U F2
L F B2 L' F' U F
B2 D U2 R' U' F' B
B2 D U2 R' U' B F'
U2 F' R U' D' R2 F'
U2 F' R D' U' R2 F'
B' D' L U F B' R'
B' D' L U B' R' F
B' D' L U B' F R'
B2 D' L R U F B'
B2 D' L R U B' F
B2 D' L R' U F B'
B2 D' L R' U B' F
B2 D' L R2 U F B'
B2 D' L R2 U B' F
B2 D' L U D F B'
B2 D' L U D B' F
B2 D' L U D' F B'
B2 D' L U D' B' F
B2 D' L U D2 F B'
B2 D' L U D2 B' F
B2 D' L U F D B'
B2 D' L U F D' B'
B2 D' L U F D2 B'
B2 D' L U F B' D
B2 D' L U F B' D'
B2 D' L U F B' D2
B2 D' L U B' D F
B2 D' L U B' D' F
