U L R F L2 U'
L' R F U' L R
L' R F U' R L
U L' R U2 B' U
R L' F U' L R
R L' F U' R L
U R L F L2 U'
U R L' U2 B' U
U L R D F U' F
U L R F L2 U' D
U L R F L2 U' D'
U L R F L2 U' D2
U L R F L2 D U'
U L R F L2 D' U'
U L R F L2 D2 U'
U L R F U' D F2
U L R F D U' F2
U L R F' L2 F2 U'
U L R F2 L2 F' U'
U L R' F L2 R2 U'
U L R' F R2 L2 U'
U L R2 F L2 R' U'
U L R2 F R' L2 U'
L' R D F U' L R
L' R D F U' R L
L' R D' F U' L R
L' R D' F U' R L
L' R D2 F U' L R
L' R D2 F U' R L
U L D R F U' F
L2 R F L U' L R
L2 R F L U' R L
L' R F U' L R D
L' R F U' L R D'
L' R F U' L R D2
L' R F U' L D R
L' R F U' L D' R
L' R F U' L D2 R
L' R F U' R L D
L' R F U' R L D'
L' R F U' R L D2
L' R F U' R D L
L' R F U' R D' L
L' R F U' R D2 L
L' R F U' D L R
L' R F U' D R L
L' R F U' D' L R
L' R F U' D' R L
L' R F U' D2 L R
L' R F U' D2 R L
L' R F D U' L R
L' R F D U' R L
L' R F D' U' L R
L' R F D' U' R L
L' R F D2 U' L R
L' R F D2 U' R L
L' R F' U L' U2 L2
L' R F' U' L D2 R2
D2 L' R F U' L R
D2 L' R F U' R L
D' L' R F U' L R
D' L' R F U' R L
U L' R U2 D B' U
U L' R U2 D' B' U
B' L' R F U' L R
B' L' R F U' R L
U L' R U2 D2 B' U
U L' R U2 B' U D
U L' R U2 B' U D'
U L' R U2 B' U D2
U L' R U2 B' D U
U L' R U2 B' D' U
U L' R U2 B' D2 U
U L' R D U2 B' U
D L' R F U' L R
D L' R F U' R L
F2 L' R F' U L R
F2 L' R F' U R L
B2 L' R F U' L R
B2 L' R F U' R L
U L' R D' U2 B' U
B L' R F U' L R
B L' R F U' R L
U L' R D2 U2 B' U
U L' R F U2 B' U
U L' R F' U2 B' U
U L' R F2 U2 B' U
R L' D F U' L R
R L' D F U' R L
R L' D' F U' L R
R L' D' F U' R L
R L' D2 F U' L R
R L' D2 F U' R L
R' L' F R2 U' L R'
R' L' F R2 U' R' L
L' R' F R2 U' L R'
L' R' F R2 U' R' L
R2 L' F R' U' L R2
R2 L' F R' U' R2 L
R L' F U' L R D
R L' F U' L R D'
R L' F U' L R D2
R L' F U' L D R
R L' F U' L D' R
R L' F U' L D2 R
R L' F U' R L D
R L' F U' R L D'
R L' F U' R L D2
R L' F U' R D L
R L' F U' R D' L
R L' F U' R D2 L
R L' F U' D L R
R L' F U' D R L
R L' F U' D' L R
R L' F U' D' R L
R L' F U' D2 L R
R L' F U' D2 R L
R L' F D U' L R
R L' F D U' R L
R L' F D' U' L R
R L' F D' U' R L
R L' F D2 U' L R
R L' F D2 U' R L
R L' F' U L' U2 L2
R L' F' U' L D2 R2
U L' U2 B' U2 R U'
U L' D R U2 B' U
U L' D' R U2 B' U
U L' D2 R U2 B' U
F2 L' F' U L R F
F2 L' F' U R L F
U L' F2 U2 B' L' U
L' R2 F R' U' L R2
L' R2 F R' U' R2 L
R L2 F L U' L R
R L2 F L U' R L
U2 L2 U' L R F U'
U2 L2 U' R L F U'
U' L2 U2 L R F U'
U' L2 U2 R L F U'
R' U L R2 F L2 U'
L2 U L R F U' L
R' U L F L2 R2 U'
R2 U L R' F L2 U'
R' U L F R2 L2 U'
