U L R D F' R2
U L R' D R2 F'
R' U L D R2 F'
R U L D F' R2
R' U D L R2 F'
R' U D R2 L F'
R' U D R2 F' L
R U D L F' R2
R U D F' L R2
R U D F' R2 L
U R L D F' R2
L U F2 R U' F'
U R D L F' R2
U R D F' L R2
U R D F' R2 L
U R' L D R2 F'
U R' D L R2 F'
U R' D R2 L F'
U R' D R2 F' L
R U2 F2 U' F L
R' D U L R2 F'
R' D U R2 L F'
R' D U R2 F' L
R D U L F' R2
R D U F' L R2
R D U F' R2 L
F2 U L F2 R F'
U L R U F2 U' F
U L R D F R2 F2
U L R D F' R2 D
U L R D F' R2 D'
U L R D F' R2 D2
U L R D F2 R2 F
U L R D' F' D2 R2
U L R D2 F' D' R2
U L R F' U F' U'
L R U F2 R U' F
R L U F2 R U' F
U L R' D R2 D F'
U L R' D R2 D' F'
U L R' D R2 D2 F'
U L R' D R2 F' D
U L R' D R2 F' D'
U L R' D R2 F' D2
U L R' D F R2 F'
U L R' D F' R2 F'
U L R' D F2 R2 F'
U L R2 D R' F' R'
L2 R D L' F' R2 B
U L D R D' R F'
L R F' U F' R U'
R L F' U F' R U'
U L F R F' D R2
R L2 D L' F' R2 B
U L2 R D L' F' R2
U L2 R' D L' R2 F'
U L2 R' D R2 L' F'
D' L2 U2 D' L' F B2
D' L2 U2 D' L' B2 F
D' L2 U2 D' B2 L' F
D' L2 D F2 R U2 F'
U L2 D R2 D L' F
D2 L2 D' L' B2 R2 F'
D' L2 D' L' F B2 R'
D' L2 D' L' B2 R' F
D' L2 D' L' B2 F R'
R' U L R2 D F' R2
D' L2 D' U2 L' F B2
D' L2 D' U2 L' B2 F
D' L2 D' U2 B2 L' F
R' U L D R2 D F'
R' U L D R2 D' F'
R' U L D R2 D2 F'
R' U L D R2 F' D
R' U L D R2 F' D'
R' U L D R2 F' D2
R' U L D F R2 F'
R' U L D F' R2 F'
R' U L D F2 R2 F'
R U L R2 D R2 F'
R U L U F2 U' F
R U L D F R2 F2
R U L D F' R2 D
R U L D F' R2 D'
R U L D F' R2 D2
R U L D F2 R2 F
F2 L2 D2 R2 U' L' F
R U L D' F' D2 R2
R U L D2 F' D' R2
U L2 D2 L' D' R2 F
U L2 D2 L' D' F R2
U L2 D2 L' F D' R2
R U L F' U F' U'
R' U L2 D L' R2 F'
R' U L2 D R2 L' F'
R U L2 D L' F' R2
U2 L2 F2 U R U2 F'
L U R F2 R U' F
R' U R2 L D F' R2
R' U R2 D L F' R2
R' U R2 D F' L R2
R' U R2 D F' R2 L
R U R2 L D R2 F'
R' U D L R2 D F'
R' U D L R2 D' F'
R' U D L R2 D2 F'
R' U D L R2 F' D
R' U D L R2 F' D'
R' U D L R2 F' D2
R' U D L F R2 F'
R' U D L F' R2 F'
R' U D L F2 R2 F'
R' U D L' R2 F' L2
R U R2 D L R2 F'
R U R2 D R2 L F'
R U R2 D R2 F' L
R' U D R2 L D F'
R' U D R2 L D' F'
R' U D R2 L D2 F'
R' U D R2 L F' D
R' U D R2 L F' D'
R' U D R2 L F' D2
R' U D R2 L' F' L2
R' U D R2 D L F'
R' U D R2 D F' L
R' U D R2 D' L F'
R' U D R2 D' F' L
R' U D R2 D2 L F'
R' U D R2 D2 F' L
R' U D R2 F L F2
R' U D R2 F' L D
R' U D R2 F' L D'
R' U D R2 F' L D2
R' U D R2 F' D L
R' U D R2 F' D' L
R' U D R2 F' D2 L
R' U D F L R2 F'
R' U D F R2 L F'
R' U D F R2 F' L
R' U D F' L R2 F'
R' U D F' R2 L F'
R' U D F' R2 F' L
R' U D F2 L R2 F'
R' U D F2 R2 L F'
R' U D F2 R2 F' L
R U D L F R2 F2
R U D L F' R2 D
R U D L F' R2 D'
R U D L F' R2 D2
R U D L F2 R2 F
R U D L' F' L2 R2
R U D L' F' R2 L2
R U D F L R2 F2
R U D F L F2 R2
R U D F R2 L F2
R U D F R2 F2 L
R U D F' L R2 D
R U D F' L R2 D'
R U D F' L R2 D2
R U D F' R2 L D
R U D F' R2 L D'
R U D F' R2 L D2
R U D F' R2 D L
R U D F' R2 D' L
R U D F' R2 D2 L
R U D F2 R2 F L
R' U D2 L D' R2 F'
R U D' F' D2 L R2
R U D' F' D2 R2 L
U R L U F2 U' F
R U D2 L D' F' R2
R U D2 L F' D' R2
U R L D F R2 F2
U R L D F' R2 D
U R L D F' R2 D'
U R L D F' R2 D2
U R L D F2 R2 F
U R L D' F' D2 R2
U R L D2 F' D' R2
U R L F' U F' U'
R U D2 F' L D' R2
R U D2 F' D' L R2
R U D2 F' D' R2 L
F' R U L F R F2
U R L2 D L' F' R2
R U F' L U F' U'
F2 R U L F2 R F
D R U L D' R F'
F' R U F L R F2
F' R U F R L F2
F' R U F R F2 L
F R U L D F' R
F' R U F' L D2 R2
R U F' U F' U' L
F2 R U F L F2 R
D R U D' L R F'
D R U D' R L F'
D R U D' R F' L
L U F2 L R U' F'
L U F2 L' R U' F'
F R U F' L D R2
L U F2 L2 R U' F'
F R U F' D L R2
F R U F' D R2 L
F2 R U' L' F' L2 B'
L U F2 R L U' F'
L U F2 R L' U' F'
L U F2 R L2 U' F'
L U F2 R U' D F'
L U F2 R U' D' F'
L U F2 R U' D2 F'
L U F2 R U' F' D
L U F2 R U' F' D'
L U F2 R U' F' D2
L U F2 R D U' F'
L U F2 R D' U' F'
L U F2 R D2 U' F'
U R U F2 U' F L
U' R U' F2 U' F L
F2 R U' F' L2 B' L'
U' R U2 L D F' R2
U' R U2 D L F' R2
U' R U2 D F' L R2
U' R U2 D F' R2 L
B' R U2 F2 U' F L'
F R U2 F U' L F2
F R U2 F U' F2 L
U' R D U2 L F' R2
U' R D U2 F' L R2
U' R D U2 F' R2 L
U R D L F R2 F2
U R D L F' R2 D
U R D L F' R2 D'
U R D L F' R2 D2
U R D L F2 R2 F
U R D L' F' L2 R2
U R D L' F' R2 L2
U' R D' L2 U2 L' F'
U R D F L R2 F2
U R D F L F2 R2
U R D F R2 L F2
U R D F R2 F2 L
U R D F' L R2 D
U R D F' L R2 D'
U R D F' L R2 D2
U R D F' R2 L D
U R D F' R2 L D'
U R D F' R2 L D2
U R D F' R2 D L
U R D F' R2 D' L
U R D F' R2 D2 L
U R D F2 R2 F L
D R D' U L R F'
D R D' U R L F'
D R D' U R F' L
U R D' F' D2 L R2
U R D' F' D2 R2 L
U R D2 L D' F' R2
U R D2 L F' D' R2
B2 R D2 B2 U L2 F'
B2 R D2 B2 U F' L2
U R D2 F' L D' R2
U R D2 F' D' L R2
U R D2 F' D' R2 L
F R F U L F2 R
U R F' L U F' U'
U R F' U F' U' L
F' R F2 U F L R
F' R F2 U F R L
U2 R F2 R' U' F L
R' U' D' L2 B U2 L'
R U' D' L2 U2 L' F'
L U' D2 L' B2 U F
U R' L D R2 D F'
U R' L D R2 D' F'
U R' L D R2 D2 F'
U R' L D R2 F' D
U R' L D R2 F' D'
U R' L D R2 F' D2
U R' L D F R2 F'
U R' L D F' R2 F'
U R' L D F2 R2 F'
L U' D2 B2 L' U F
U R' L2 D L' R2 F'
U R' L2 D R2 L' F'
F2 R' U B U2 B' L
U' R' U2 L D R2 F'
U' R' U2 D L R2 F'
U' R' U2 D R2 L F'
U' R' U2 D R2 F' L
U' R' D U2 L R2 F'
U' R' D U2 R2 L F'
U' R' D U2 R2 F' L
U R' D L R2 D F'
U R' D L R2 D' F'
U R' D L R2 D2 F'
U R' D L R2 F' D
U R' D L R2 F' D'
U R' D L R2 F' D2
U R' D L F R2 F'
U R' D L F' R2 F'
U R' D L F2 R2 F'
U R' D L' R2 F' L2
U' R' D' L2 B U2 L'
U R' D R2 L D F'
U R' D R2 L D' F'
U R' D R2 L D2 F'
U R' D R2 L F' D
U R' D R2 L F' D'
U R' D R2 L F' D2
U R' D R2 L' F' L2
U R' D R2 D L F'
U R' D R2 D F' L
U R' D R2 D' L F'
U R' D R2 D' F' L
U R' D R2 D2 L F'
U R' D R2 D2 F' L
U R' D R2 F L F2
U R' D R2 F' L D
U R' D R2 F' L D'
U R' D R2 F' L D2
U R' D R2 F' D L
U R' D R2 F' D' L
U R' D R2 F' D2 L
U R' D F L R2 F'
U R' D F R2 L F'
U R' D F R2 F' L
U R' D F' L R2 F'
U R' D F' R2 L F'
U R' D F' R2 F' L
U R' D F2 L R2 F'
U R' D F2 R2 L F'
U R' D F2 R2 F' L
U R' D2 L D' R2 F'
R2 U2 L' F2 U' L2 F
R U2 L' F2 U' F L2
U R2 L D R' F' R'
R2 U2 F2 L' U' L2 F
R2 U2 F2 L2 U' L' F
U' R2 U' F2 U' L F
U' R2 U2 L D R2 F
U' R2 U2 L D F R2
R U2 F2 U' D F L
R U2 F2 U' D' F L
R U2 F2 U' D2 F L
R U2 F2 U' F L D
R U2 F2 U' F L D'
R U2 F2 U' F L D2
R U2 F2 U' F D L
R U2 F2 U' F D' L
R U2 F2 U' F D2 L
R U2 F2 U' F' L F2
R U2 F2 U' F2 L F'
R U2 F2 D U' F L
R U2 F2 D' U' F L
R U2 F2 D2 U' F L
U' R2 U2 D L R2 F
U' R2 U2 D L F R2
U' R2 U2 D R2 L F
U' R2 D U2 L R2 F
U' R2 D U2 L F R2
U' R2 D U2 R2 L F
U R2 D L R' F' R'
U R2 D R' L F' R'
U R2 D R' F' L R'
U R2 D R' F' R' L
R' D R U L R F'
R' D R U R L F'
R' D R U R F' L
R2 D R' U L F' R'
R2 D R' U F' L R'
R2 D R' U F' R' L
R' D U L R2 D F'
R' D U L R2 D' F'
R' D U L R2 D2 F'
R' D U L R2 F' D
R' D U L R2 F' D'
R' D U L R2 F' D2
R' D U L F R2 F'
R' D U L F' R2 F'
R' D U L F2 R2 F'
R' D U L' R2 F' L2
R' D U R2 L D F'
R' D U R2 L D' F'
R' D U R2 L D2 F'
R' D U R2 L F' D
R' D U R2 L F' D'
R' D U R2 L F' D2
R' D U R2 L' F' L2
R' D U R2 D L F'
R' D U R2 D F' L
R' D U R2 D' L F'
R' D U R2 D' F' L
R' D U R2 D2 L F'
R' D U R2 D2 F' L
R' D U R2 F L F2
R' D U R2 F' L D
R' D U R2 F' L D'
R' D U R2 F' L D2
R' D U R2 F' D L
R' D U R2 F' D' L
R' D U R2 F' D2 L
R' D U F L R2 F'
R' D U F R2 L F'
R' D U F R2 F' L
R' D U F' L R2 F'
R' D U F' R2 L F'
R' D U F' R2 F' L
R' D U F2 L R2 F'
R' D U F2 R2 L F'
R' D U F2 R2 F' L
R D U L F R2 F2
R D U L F' R2 D
R D U L F' R2 D'
R D U L F' R2 D2
R D U L F2 R2 F
R D U L' F' L2 R2
R D U L' F' R2 L2
R D U F L R2 F2
R D U F L F2 R2
R D U F R2 L F2
R D U F R2 F2 L
R D U F' L R2 D
R D U F' L R2 D'
R D U F' L R2 D2
R D U F' R2 L D
R D U F' R2 L D'
R D U F' R2 L D2
R D U F' R2 D L
R D U F' R2 D' L
R D U F' R2 D2 L
F2 U L R F2 R F
R D U F2 R2 F L
D U L R D' R F'
F2 U L F' R F' R
F2 U L F2 R D F'
F2 U L F2 R D' F'
F2 U L F2 R D2 F'
F2 U L F2 R F' D
F2 U L F2 R F' D'
F2 U L F2 R F' D2
F U L R D F' R
R' D F U L R2 F'
R' D F U R2 L F'
R' D F U R2 F' L
U D L R D' R F'
D2 U L' F L2 D' R2
R' D F' U L R2 F'
R' D F' U R2 L F'
R' D F' U R2 F' L
R D F U L R2 F2
R D F U L F2 R2
R D F U R2 L F2
R D F U R2 F2 L
F2 U L2 D2 L' R2 F
R D F U F2 L R2
F2 U L2 D2 L' F R2
R D F U F2 R2 L
F2 U L2 D2 R2 L' F
D U L2 R2 D L' F
R' D F2 U L R2 F'
R' D F2 U R2 L F'
R' D F2 U R2 F' L
F2 U R L F2 R F
U D L2 R2 D L' F
D U R L D' R F'
F2 U R F L F2 R
F U R L D F' R
D U R D' L R F'
U D R L D' R F'
D U R D' R L F'
D U R D' R F' L
U D R D' L R F'
U D R D' R L F'
U D R D' R F' L
F U R F' L D R2
R D F2 U R2 F L
R D F2 U F L R2
R D F2 U F R2 L
F U R F' D L R2
F U R F' D R2 L
F2 U R' B U2 B' L
D U R2 L2 D L' F
D U R2 D L' F L2
U D R2 L2 D L' F
U D R2 D L' F L2
F2 U F L F2 R F'
F2 U F' L F2 R F'
F2 U F2 L F2 R F'
R' D' U' L2 B U2 L'
U' D' L2 U2 D' L' F
D' U' L2 U2 D' L' F
F2 U B2 R' B U2 B
U' D' L2 D' U2 L' F
D' U' L2 D' U2 L' F
R D' U F' D2 L R2
R D' U F' D2 R2 L
R D' U' L2 U2 L' F'
F2 U' R U2 L F' R'
F2 U' R U2 F' L R'
F2 U' R U2 F' R' L
B2 U' R' U2 D R2 F'
B2 U' R' D U2 R2 F'
B2 U' R' D B U2 R2
B2 U' R' D' L2 B U2
B2 U' R' D' B L2 U2
B2 U' R' B U' F2 U'
B2 U' R' B U2 D R2
B2 U' R' B D U2 R2
B2 U' R' B D' L2 U2
F2 U' R2 U2 L R2 F
F2 U' R2 U2 L F R2
F2 U' R2 U2 R2 L F
U D2 L' F L2 D' R2
R' D2 U L D' R2 F'
F2 U' B2 R' B U2 R
R D2 U L D' F' R2
R D2 U L F' D' R2
R D2 U F' L D' R2
R D2 U F' D' L R2
R D2 U F' D' R2 L
L D2 U' L' B2 U F
L D2 U' B2 L' U F
R' D2 B2 U' R' B' U2
L D2 B2 L' U F L
U F L R D F' R
F U2 D' F L' U' L2
B2 U2 F2 U R' B U2
U F R L D F' R
U F R F' L D R2
U F R F' D L R2
U F R F' D R2 L
R F U2 F U' F L
U2 F D' F L' U' L2
D' F' R U D2 L R2
D' F' R U D2 R2 L
D' F' R U' L2 U2 L'
D' F' R D2 U L R2
D' F' R D2 U R2 L
B' D B R' U L R'
B' D B R' U R' L
L F' U F' R U' F'
D' F' D2 R U L R
D' F' D2 R U R L
L F2 L R U' L' F'
F D' U2 F L' U' L2
L F2 L' R U' L F'
L F2 L' R U' F' L
U2 F2 L2 U' D2 L' F
U2 F2 L2 D2 U' L' F
L F2 L2 R U' L2 F'
L F2 L2 R U' F' L2
L F2 R L U' L' F'
L F2 R L' U' L F'
L F2 R L' U' F' L
L F2 R L2 U' L2 F'
L F2 R L2 U' F' L2
D' F2 U D2 L R2 F
D' F2 U D2 L F R2
D' F2 U D2 R2 L F
R' F2 U B U2 B' L
U2 F2 U R U2 L F'
U2 F2 U R U2 F' L
U2 F2 U R2 U2 L F
U2 F2 U B2 R' B U2
U2 F2 U' L R F' R'
U2 F2 U' L2 D2 L' F
U2 F2 U' R L F' R'
U2 F2 U' R F' L R'
U2 F2 U' R F' R' L
U2 F2 U' D2 L' F L2
U2 F2 U2 R U L F'
U2 F2 U2 R U F' L
R F2 U F' L F2 R
D' F2 D2 U L R2 F
D' F2 D2 U L F R2
D' F2 D2 U R2 L F
U2 F2 D2 L' U' F L2
U2 F2 D2 U' L' F L2
U2 F2 B2 U R' B U2
B D2 F B2 U L' F
B2 D2 B2 U L' F L2
B D2 B2 U L' F L'
B D2 B2 U F L' F
B D2 B2 F U L' F
L B U F2 R U' F'
L B' U F2 R U' F'
R B' U2 F2 U' F L'
U' B2 R' U2 D R2 F'
U' B2 R' D U2 R2 F'
U' B2 R' D B U2 R2
U' B2 R' D' L2 B U2
U' B2 R' D' B L2 U2
U' B2 R' B U' F2 U'
U' B2 R' B U2 D R2
U' B2 R' B D U2 R2
U' B2 R' B D' L2 U2
D2 B2 R2 U F2 L' F
D2 B2 R2 F2 U L' F
D2 B2 U' D2 R' B U2
D B2 U' R' U2 R' F'
L B2 U F2 R U' F'
B2 F2 U R' B U2 B'
F2 B2 U R' B U2 B'
B2 F2 U' R' B U2 R
F2 B2 U' R' B U2 R
D2 B2 D2 U' R' B U2
R B2 D2 B2 U L F'
R B2 D2 B2 U F' L
U2 B2 F2 U R' B U2
