R' F L' B R2 U
R F L' U D R2
R F L' U2 F2 U'
R F L' D U R2
R F L' D2 B2 U
R' F B L' R2 U
R' F B R2 L' U
R F U2 F2 R U'
R F D L' U R2
R F D2 L' B2 U
R F D2 B2 L' U
R' B R2 F L' U
R' B F L' R2 U
R' B F R2 L' U
L' R U2 F' R B U'
L2 R U2 F' R B' U'
L2 R U2 F' B' R U'
L2 R U2 B' F' R U'
R L' U2 F' R B U'
F L' R' D2 B R' U
R L2 U2 F' R B' U'
R L2 U2 F' B' R U'
R L2 U2 B' F' R U'
R2 U R' F L' U R
R' U F L' B R2 U
R2 U F L' R' U R2
R' U F B L' R2 U
R' U F B R2 L' U
R2 U F R' L' U R2
R' U B R2 F L' U
R' U B F L' R2 U
R' U B F R2 L' U
F' R D' F' L' U' L'
F' R D2 F' L' B2 U'
F' R D2 F' B2 L' U'
D2 R F L B' L U
F' R D2 B2 F' L' U'
B' R F L' U D R2
B' R F L' U2 F2 U'
B' R F L' D U R2
B' R F L' D2 B2 U
U' R F L' U D R2
U' R F L' U2 F2 U'
U' R F L' D U R2
U' R F L' D2 B2 U
B2 R F L' U D R2
B2 R F L' U2 F2 U'
B2 R F L' D U R2
B2 R F L' D2 B2 U
U2 R F L' U D R2
U2 R F L' U2 F2 U'
U2 R F L' D U R2
U2 R F L' D2 B2 U
D' R F U' L' F U2
B' R F U2 F2 R U'
B R F L' U D R2
B R F L' U2 F2 U'
B R F L' D U R2
B' R F D L' U R2
B R F L' D2 B2 U
U' R F U2 F2 R U'
U' R F D L' U R2
B' R F D2 L' B2 U
B2 R F U2 F2 R U'
D2 R F B' L B' U
B' R F D2 B2 L' U
U' R F D2 L' B2 U
B2 R F D L' U R2
U' R F D2 B2 L' U
U2 R F U2 F2 R U'
U R F L' U D R2
U R F L' U2 F2 U'
U R F L' D U R2
U2 R F D L' U R2
U R F L' D2 B2 U
B2 R F D2 L' B2 U
B2 R F D2 B2 L' U
U2 R F D2 L' B2 U
U2 R F D2 B2 L' U
B R F U2 F2 R U'
B R F D L' U R2
F' R F' L' U2 F' U
B R F D2 L' B2 U
B R F D2 B2 L' U
U R F U2 F2 R U'
U R F D L' U R2
U R F D2 L' B2 U
U R F D2 B2 L' U
D2 R B' F L B' U
R' U' F L' B R2 U
R' U' F B L' R2 U
R' U' F B R2 L' U
F R' L' D2 B R' U
R' U' B R2 F L' U
R' U' B F L' R2 U
R' U' B F R2 L' U
