R2 L' F' R B2 U'
R2 L' F' B2 R U'
R2 L' B2 F' R U'
L' R2 F' R B2 U'
L' R2 F' B2 R U'
L' R2 B2 F' R U'
R2 B2 L' F' R U'
L' R F' R F' B2 U'
L' R F' R B2 F' U'
R2 L F' L2 R B2 U'
R2 L F' L2 B2 R U'
R2 L F' R L2 B2 U'
R2 L F' R B2 L2 U'
L' R F' B2 R F' U'
R2 L F' B2 L2 R U'
R2 L F' B2 R L2 U'
L' R B2 R F' R U'
R2 L B2 L2 F' R U'
L' R B2 F' R F' U'
R2 L B2 F' L2 R U'
R2 L B2 F' R L2 U'
U' L' R2 F' R B2 U'
U' L' R2 F' B2 R U'
U2 L' R2 F' R B2 U'
U2 L' R2 F' B2 R U'
U L' R2 F' R B2 U'
U' L' R2 B2 F' R U'
U L' R2 F' B2 R U'
U2 L' R2 B2 F' R U'
U L' R2 B2 F' R U'
R2 L' F' R U' D L2
R2 L' F' R D U' L2
R2 L' F' R B2 U' D
R2 L' F' R B2 U' D'
R2 L' F' R B2 U' D2
R2 L' F' R B2 D U'
R2 L' F' R B2 D' U'
R2 L' F' R B2 D2 U'
R2 L' F' R' B2 R2 U'
R L' F' R F' B2 U'
R L' F' R B2 F' U'
R2 L' F' D R U' L2
R2 L' F' B' R B' U'
R2 L' F' B2 R U' D
R2 L' F' B2 R U' D'
R2 L' F' B2 R U' D2
R2 L' F' B2 R D U'
R2 L' F' B2 R D' U'
R2 L' F' B2 R D2 U'
R2 L' F' B2 D R U'
R2 L' F' B2 D' R U'
R2 L' F' B2 D2 R U'
R L' F' B2 R F' U'
R2 L' B' F' R B' U'
R' L' B2 R' F' R U'
L' R' B2 R' F' R U'
R L' B2 R F' R U'
R2 L' B2 F' R U' D
R2 L' B2 F' R U' D'
R2 L' B2 F' R U' D2
R2 L' B2 F' R D U'
R2 L' B2 F' R D' U'
R2 L' B2 F' R D2 U'
R2 L' B2 F' D R U'
R2 L' B2 F' D' R U'
R2 L' B2 F' D2 R U'
R2 L' B2 F' D2 R U'
R L' B2 F' R F' U'
B2 L' F' D2 R F' U'
F L' B U2 B L U'
L' R2 F' R U' D L2
L' R2 F' R D U' L2
L' R2 F' R B2 U' D
L' R2 F' R B2 U' D'
L' R2 F' R B2 U' D2
L' R2 F' R B2 D U'
L' R2 F' R B2 D' U'
L' R2 F' R B2 D2 U'
L2 R2 F' L R B2 U'
L' R2 F' R' B2 R2 U'
R2 L2 F' L R B2 U'
L2 R2 F' L B2 R U'
R2 L2 F' L B2 R U'
L2 R2 F' R L B2 U'
L R2 F' L2 R B2 U'
R2 L2 F' R L B2 U'
L' R2 F' D R U' L2
L R2 F' L2 B2 R U'
L R2 F' R L2 B2 U'
L R2 F' R B2 L2 U'
L' R2 F' B' R B' U'
L' R2 F' B2 R U' D
L' R2 F' B2 R U' D'
L' R2 F' B2 R U' D2
L' R2 F' B2 R D U'
L' R2 F' B2 R D' U'
L' R2 F' B2 R D2 U'
L' R2 F' B2 D R U'
L' R2 F' B2 D' R U'
L' R2 F' B2 D2 R U'
L R2 F' B2 L2 R U'
L R2 F' B2 R L2 U'
L' R2 B' F' R B' U'
L R2 B2 L2 F' R U'
L' R2 B2 F' R U' D
L' R2 B2 F' R U' D'
L' R2 B2 F' R U' D2
L' R2 B2 F' R D U'
L' R2 B2 F' R D' U'
L' R2 B2 F' R D2 U'
L' R2 B2 F' D R U'
L' R2 B2 F' D' R U'
L' R2 B2 F' D2 R U'
B2 L2 D' F L U' B'
