B2 L R F2 D' B2
R2 L' U F2 L' R'
R2 L' U F2 R' L'
B2 L' U L2 R F2
B2 L' U L2 R F2
B2 L' U R L2 F2
B2 L' U R F2 L2
L' R2 U F2 L' R'
L' R2 U F2 R' L'
R' U L' U R2 F2
R' U L' U F2 R2
L' U R F2 D2 L2
L' U R2 F2 L' R'
L' U R2 F2 R' L'
B2 R L F2 D' B2
L' U' R' U2 R2 F2
L' U' R' U2 F2 R2
R2 F2 L' R' D B2
R2 F2 R' L' D B2
R2 F2 R' D L' B2
R2 F2 R' D B2 L'
L' B2 U L R F2
L' B2 U R L F2
L' B2 U R F2 L
R' L U L2 U R2 F2
R' L U L2 U F2 R2
B2 L R U' L2 U F2
B2 L R D' B2 D F2
B2 L R F D' F B2
B2 L R F D' B2 F
B2 L R F' D' F' B2
B2 L R F' D' B2 F'
B2 L R F2 U' L2 U
B2 L R F2 D' B2 D
B2 L R F2 D' B2 D'
B2 L R F2 D' B2 D2
B2 L R F2 B D' B2
B2 L R F2 B' D' B2
B2 L R F2 B2 D' B2
B2 L R B F2 D' B2
B2 L R B' F2 D' B2
B2 L R B2 F2 D' B2
B2 L R' F2 R2 D' B2
B2 L R2 F2 R' D' B2
B2 L R2 F2 D' R' B2
R' L U2 R2 F2 D' B2
R' L U2 F2 R2 D' B2
B2 L U' L2 U R F2
B2 L D' R B2 D F2
D L D' B2 L R F2
D L D' B2 R L F2
D L D' B2 R F2 L
B2 L D' B2 R D F2
B2 L D' B2 D R F2
R2 L F2 R' D' L' B2
R2 L F2 R' D' B2 L'
L' R F2 D2 L2 D' B2
R2 L F2 D' L' R' B2
R2 L F2 D' R' L' B2
R2 L F2 D' R' B2 L'
L R F2 D' B2 D' L2
L R F2 D2 L2 D B2
R L F2 D' B2 D' L2
R L F2 D2 L2 D B2
B2 L B R F2 D' B2
L2 R' U L U R2 F2
L2 R' U L U F2 R2
R2 L' U L F2 L' R'
R2 L' U L F2 R' L'
R2 L' U L' F2 L' R'
R2 L' U L' F2 R' L'
L R' U L2 U R2 F2
L R' U L2 U F2 R2
R2 L' U L2 F2 L' R'
R2 L' U L2 F2 R' L'
L' R' U R2 F2 D' L2
R' L' U R2 F2 D' L2
R2 L' U R' F2 D2 L2
L' R' U F2 R2 D' L2
R' L' U F2 R2 D' L2
R2 L' U F R' F L'
R2 L' U F2 L' R' D
R2 L' U F2 L' R' D'
R2 L' U F2 L' R' D2
R2 L' U F2 L' D R'
R2 L' U F2 L' D' R'
R2 L' U F2 L' D2 R'
R2 L' U F2 R' L' D
R2 L' U F2 R' L' D'
R2 L' U F2 R' L' D2
R2 L' U F2 R' D L'
R2 L' U F2 R' D' L'
R2 L' U F2 R' D2 L'
R2 L' U F2 D L' R'
R2 L' U F2 D R' L'
R2 L' U F2 D' L' R'
R2 L' U F2 D' R' L'
R2 L' U F2 D2 L' R'
R2 L' U F2 D2 R' L'
B2 L B' R F2 D' B2
R2 L' U' R U2 R2 F2
R2 L' U' R U2 F2 R2
B2 L B2 R F2 D' B2
R' L' U2 R2 F2 D B2
L' R' U2 R2 F2 D B2
L R' U2 R2 F2 D' B2
R' L' U2 F2 R2 D B2
L' R' U2 F2 R2 D B2
L R' U2 F2 R2 D' B2
B2 L' R F2 L2 D' B2
B2 L' R' U L2 R2 F2
B2 L' R' U L2 F2 R2
B2 L' R' U R2 L2 F2
B2 L' R' U R2 F2 L2
B2 L' R' U F2 L2 R2
B2 L' R' U F2 R2 L2
F2 L' R' D' F2 U2 F2
U' L' R2 U F2 L' R'
U' L' R2 U F2 R' L'
B2 L' R2 U L2 R' F2
D L' R2 U R' D2 L2
B2 L' R2 U L2 F2 R'
U2 L' R2 U F2 L' R'
U2 L' R2 U F2 R' L'
B2 L' R2 U R' L2 F2
B2 L' R2 U R' F2 L2
B2 L' R2 U F2 L2 R'
B2 L' R2 U F2 R' L2
D L' R2 U' R U2 R2
U L' R2 U F2 L' R'
U L' R2 U F2 R' L'
D L' R2 F2 U L' R'
D L' R2 F2 U R' L'
D2 L' U R D2 L2 F2
D2 L' U R D2 F2 L2
B2 L' U L R F2 L
B2 L' U L2 R F2 D
B2 L' U L2 R F2 D'
B2 L' U L2 R F2 D2
B2 L' U L2 R' F2 R2
B2 L' U L2 R2 F2 R'
U' L' U R F2 D2 L2
U2 L' U R F2 D2 L2
B2 L' U R L F2 L
B2 L' U R L2 F2 D
B2 L' U R L2 F2 D'
B2 L' U R L2 F2 D2
B2 L' U R F' L2 F'
B2 L' U R F2 L2 D
B2 L' U R F2 L2 D'
B2 L' U R F2 L2 D2
B2 L' U R' L2 F2 R2
U' L' U R2 F2 L' R'
U' L' U R2 F2 R' L'
B2 L' U R' F2 L2 R2
B2 L' U R' F2 R2 L2
U2 L' U R2 F2 L' R'
U2 L' U R2 F2 R' L'
B2 L' U R2 L2 F2 R'
B2 L' U R2 F2 L2 R'
B2 L' U R2 F2 R' L2
U L' U R F2 D2 L2
U L' U R2 F2 L' R'
U L' U R2 F2 R' L'
D2 L' U' R' B2 U2 R2
U' L' U' R' U2 R2 F2
U' L' U' R' U2 F2 R2
U2 L' U' R' U2 R2 F2
U2 L' U' R' U2 F2 R2
R2 L' F U R' F L'
R2 L' F U F L' R'
R2 L' F U F R' L'
U L' U' R' U2 R2 F2
U L' U' R' U2 F2 R2
D2 L' U' B2 U2 L R
D2 L' U' B2 U2 R L
B2 L' D R2 F2 U R'
R L' F2 D2 L2 D' B2
R' L2 U L U R2 F2
R' L2 U L U F2 R2
L' R2 U L F2 L' R'
L' R2 U L F2 R' L'
L' R2 U L' F2 L' R'
L' R2 U L' F2 R' L'
L' R2 U L2 F2 L' R'
L' R2 U L2 F2 R' L'
L' R2 U R' F2 D2 L2
L' R2 U F R' F L'
L' R2 U F2 L' R' D
L' R2 U F2 L' R' D'
L' R2 U F2 L' R' D2
L' R2 U F2 L' D R'
L' R2 U F2 L' D' R'
L' R2 U F2 L' D2 R'
L' R2 U F2 R' L' D
L' R2 U F2 R' L' D'
L' R2 U F2 R' L' D2
L' R2 U F2 R' D L'
L' R2 U F2 R' D' L'
L' R2 U F2 R' D2 L'
L' R2 U F2 D L' R'
L' R2 U F2 D R' L'
L' R2 U F2 D' L' R'
L' R2 U F2 D' R' L'
L' R2 U F2 D2 L' R'
L' R2 U F2 D2 R' L'
L' R2 U' R U2 R2 F2
L' R2 U' R U2 F2 R2
B2 L' F2 L2 D' B2 R'
B2 L' B U L2 R F2
B2 L' B U R L2 F2
B2 L' B U R F2 L2
B L' B U L R F2
B L' B U R L F2
B L' B U R F2 L
B' L' B' U L R F2
B' L' B' U R L F2
B' L' B' U R F2 L
B2 L' B' U L2 R F2
B2 L' B' U R L2 F2
B2 L' B' U R F2 L2
U' L' B2 U L R F2
U' L' B2 U R L F2
U' L' B2 U R F2 L
B2 L' B2 U L2 R F2
B2 L' B2 U R L2 F2
B2 L' B2 U R F2 L2
U2 L' B2 U L R F2
U2 L' B2 U R L F2
U2 L' B2 U R F2 L
D L' B2 R2 U L R'
D L' B2 R2 U R' L
U L' B2 U L R F2
U L' B2 U R L F2
U L' B2 U R F2 L
L' R2 F U R' F L'
L' R2 F U F L' R'
L' R2 F U F R' L'
L2 R2 F2 L' R' D' B2
L2 R2 F2 L' D' R' B2
R2 L2 F2 L' R' D' B2
R2 L2 F2 L' D' R' B2
L2 R2 F2 R' L' D' B2
R2 L2 F2 R' L' D' B2
L R2 F2 R' D' L' B2
L R2 F2 R' D' B2 L'
L R2 F2 D' L' R' B2
L R2 F2 D' R' L' B2
L R2 F2 D' R' B2 L'
L' U L R F2 D2 L2
L' U L R2 F2 L' R'
L' U L R2 F2 R' L'
R' U L' R U R F2
R' U L' R' U R' F2
R' U L' R' U F2 R'
L' U L' R F2 D2 L2
R' U L' U R' F2 R'
R' U L' U R2 F2 D
R' U L' U R2 F2 D'
R' U L' U R2 F2 D2
R' U L' U F R2 F
R' U L' U F2 R2 D
R' U L' U F2 R2 D'
R' U L' U F2 R2 D2
L' U L' R2 F2 L' R'
L' U L' R2 F2 R' L'
R' U L' D R2 B2 U
R' U L' D B2 R2 U
R2 U L' U F2 L' R'
R2 U L' U F2 R' L'
R' U L' B U R2 F2
R' U L' B U F2 R2
R' U L' B' U R2 F2
R' U L' B' U F2 R2
R' U L' B2 U R2 F2
R' U L' B2 U F2 R2
L' U L2 R F2 D2 L2
L' U L2 R2 F2 L' R'
L' U L2 R2 F2 R' L'
R' U R L' U R F2
L' U R L F2 D2 L2
L' U R L' F2 D2 L2
L' U R L2 F2 D2 L2
L' U R U2 R2 U2 F2
L' U R D2 L2 D2 F2
L' U R F D2 F L2
L' U R F' D2 L2 F'
L' U R F' D2 F' L2
L' U R F2 L D2 L2
L' U R F2 L' D2 L2
L' U R F2 L2 D2 L2
L' U R F2 U2 R2 U2
L' U R F2 D2 L2 D
L' U R F2 D2 L2 D'
L' U R F2 D2 L2 D2
R' U R' L' U R' F2
R' U R' L' U F2 R'
L' U R' F2 R2 D2 L2
L' U R2 L F2 L' R'
L' U R2 L F2 R' L'
L' U R2 L' F2 L' R'
L' U R2 L' F2 R' L'
L' U R2 L2 F2 L' R'
L' U R2 L2 F2 R' L'
L' U R2 F R' F L'
L' U R2 F2 L' R' D
L' U R2 F2 L' R' D'
L' U R2 F2 L' R' D2
L' U R2 F2 L' D R'
L' U R2 F2 L' D' R'
L' U R2 F2 L' D2 R'
L' U R2 F2 R' L' D
L' U R2 F2 R' L' D'
L' U R2 F2 R' L' D2
L' U R2 F2 R' D L'
L' U R2 F2 R' D' L'
L' U R2 F2 R' D2 L'
L' U R2 F2 D L' R'
L' U R2 F2 D R' L'
L' U R2 F2 D' L' R'
L' U R2 F2 D' R' L'
L' U R2 F2 D2 L' R'
L' U R2 F2 D2 R' L'
R' U D L' R2 B2 U
R' U D L' B2 R2 U
R' U D R2 L' B2 U
R' U D R2 B2 L' U
R' U D B2 L' R2 U
R' U D B2 R2 L' U
F2 L2 B2 L R' D B2
D' L2 B2 R' U' L R2
D' L2 B2 R' U' R2 L
F2 L2 B2 R' L D B2
F2 L2 B2 R' D L B2
B2 R L U' L2 U F2
L' U D2 R D2 L2 F2
L' U D2 R D2 F2 L2
B2 R L D' B2 D F2
B2 R L F D' F B2
B2 R L F D' B2 F
B2 R L F' D' F' B2
B2 R L F' D' B2 F'
B2 R L F2 U' L2 U
B2 R L F2 D' B2 D
B2 R L F2 D' B2 D'
B2 R L F2 D' B2 D2
B2 R L F2 B D' B2
B2 R L F2 B' D' B2
B2 R L F2 B2 D' B2
B2 R L B F2 D' B2
B2 R L B' F2 D' B2
B2 R L B2 F2 D' B2
B2 R L' F2 L2 D' B2
L' U F2 U2 L' R' U2
L' U F2 U2 R' L' U2
R2 U F2 L' R' D B2
R2 U F2 R' L' D B2
B2 R U' L' U L2 F2
B2 R U' L' U F2 L2
R2 U F2 R' D L' B2
R2 U F2 R' D B2 L'
R' U B L' U R2 F2
R' U B L' U F2 R2
R' U B' L' U R2 F2
R' U B' L' U F2 R2
B2 R D L D' F2 B2
B2 R D L D' B2 F2
R' U B2 L' U R2 F2
R' U B2 L' U F2 R2
L' U B2 L R F2 B2
L' U B2 L R B2 F2
L' U B2 L B2 R F2
L' U B2 R L F2 B2
L' U B2 R L B2 F2
L' U B2 R F2 L B2
L' U' L R' U2 R2 F2
L' U' L R' U2 F2 R2
L' U' L' R' U2 R2 F2
L' U' L' R' U2 F2 R2
R2 U' L' U F2 L' R'
R2 U' L' U F2 R' L'
R U' L' R U F2 L'
R U' L' U F2 D2 L2
L' U' L2 R' U2 R2 F2
L' U' L2 R' U2 F2 R2
R U' L' U' R2 U2 F2
B2 R F' D' L F' B'
B2 R F' D' L B' F'
B2 R F' D' F' L B'
B2 R F2 L U R U'
L' U' R F2 D2 L2 B2
L' U' R F2 D2 B2 L2
R U' R L' U F2 L'
L' U' R' L U2 R2 F2
L' U' R' L U2 F2 R2
L' U' R' L' U2 R2 F2
L' U' R' L' U2 F2 R2
L' U' R' L2 U2 R2 F2
L' U' R' L2 U2 F2 R2
B2 R F2 U R U' L
F2 R F2 U' R F2 L'
L' U' R' U2 R' F2 R'
L' U' R' U2 R2 F2 D
L' U' R' U2 R2 F2 D'
L' U' R' U2 R2 F2 D2
L' U' R' U2 F R2 F
L' U' R' U2 F2 R2 D
L' U' R' U2 F2 R2 D'
L' U' R' U2 F2 R2 D2
B R F2 U R B U'
L' U' R' D2 L2 B2 U2
L' U' R' D2 B2 L2 U2
L' U' R' B U2 R2 F2
L' U' R' B U2 F2 R2
L' U' R' B' U2 R2 F2
L' U' R' B' U2 F2 R2
L' U' R' B2 U2 R2 F2
L' U' R' B2 U2 F2 R2
B R B L F2 D' B2
L' U' R2 U2 F2 L' R'
L' U' R2 U2 F2 R' L'
B' R B' L F2 D' B2
R' U' D' F2 L2 R U'
R' U' D' F2 R L2 U'
R U' D' L' F2 R U
L' U' D2 R' B2 U2 R2
B2 R' L F2 R2 D' B2
L' U' D2 B2 U2 L R
L' U' D2 B2 U2 R L
B2 R' L' U L2 R2 F2
B2 R' L' U L2 F2 R2
B2 R' L' U R2 L2 F2
B2 R' L' U R2 F2 L2
B2 R' L' U F2 L2 R2
B2 R' L' U F2 R2 L2
F2 R' L' D' F2 U2 F2
U' R' U L' U R2 F2
U' R' U L' U F2 R2
U2 R' U L' U R2 F2
U2 R' U L' U F2 R2
D R' U L' R' U R'
D R' U R' L' U R'
U R' U L' U R2 F2
U R' U L' U F2 R2
R2 U' F2 L' R' D B2
R2 U' F2 R' L' D B2
R2 U' F2 R' D L' B2
R2 U' F2 R' D B2 L'
L' U' B2 U2 L R F2
L' U' B2 U2 R L F2
L' U' B2 U2 R F2 L
F2 R' D' L' F2 U2 F2
F2 R' D' F2 U2 R F2
R' U2 L' U L R2 F2
R' U2 L' U L F2 R2
R' U2 L' U R2 L F2
R' U2 L' U R2 F2 L
R' U2 L' U F2 L R2
R' U2 L' U F2 R2 L
R2 U2 L' U F2 L' R'
R2 U2 L' U F2 R' L'
R' U2 R' F2 R' D B2
R' U2 R2 U' L' U F2
R' U2 R2 F2 U R U'
R U2 R2 U L' U F2
D2 R' B2 U L' U R2
B2 R2 L F2 R' D' B2
B2 R2 L F2 D' R' B2
U' R2 L' U F2 L' R'
U' R2 L' U F2 R' L'
B2 R2 L' U L2 R' F2
B2 R2 L' U L2 F2 R'
B2 R2 L' U R' L2 F2
B2 R2 L' U R' F2 L2
