B R2 U L B'
B L' R2 U L2 B'
B R2 L' U L2 B'
B R2 U L D B'
B R2 U L D' B'
B R2 U L D2 B'
B R2 U L B' D
B R2 U L B' D'
B R2 U L B' D2
B R2 F U L B'
B R2 F' U L B'
B R2 F2 U L B'
B2 R2 B' U L B'
B U L D' F2 B'
B U L D' B' F2
B U L B' D' F2
L B R2 U L B2
F' B R2 U L B'
F2 B R2 U L B'
B F R2 U L B'
F B R2 U L B'
L B' D' R2 F2 L'
B F' R2 U L B'
B F2 R2 U L B'
B2 L R2 U B' L R'
B2 L R2 U B' R' L
R2 L U2 F' U' B' L'
B' L D' R2 F2 B' L'
B' L D' R2 B' F2 L'
U' L F B R2 U B2
F' L B R2 U L B2
F2 L B R2 U L B2
U' L B R2 F U B2
F L B R2 U L B2
U' L B F R2 U B2
F' L B' D' R2 F2 L'
B L B' U' B R2 U
F2 L B' D' R2 F2 L'
F L B' D' R2 F2 L'
B L B2 D' F2 B R2
B L B2 D' B R2 F2
B L B2 D' B F2 R2
B L' R2 U L2 D B'
B L' R2 U L2 D' B'
B L' R2 U L2 D2 B'
B L' R2 U L2 B' D
B L' R2 U L2 B' D'
B L' R2 U L2 B' D2
B L' R2 U B L2 B'
B L' R2 U B' L2 B'
B L' R2 U B2 L2 B'
B L' R2 U' F U2 L2
B L' U L2 D' F2 B'
B L' U L2 D' B' F2
B L' U L2 B' D' F2
B L' F2 R2 U L2 B
B L' F2 R2 U B L2
L R2 U2 F' U' B' L'
B' L2 D' R2 F2 L' B'
B R F' U L F B'
B R F' U L B' F
B2 R B' R U L B'
B R' D2 R' U L B
B R' F R' U L B'
B R' F' R' U L B'
B R' F2 R' U L B'
R2 U2 D F' R U' L'
B2 R2 L U B' L R'
B2 R2 L U B' R' L
B R2 L' U L2 D B'
B R2 L' U L2 D' B'
B R2 L' U L2 D2 B'
B R2 L' U L2 B' D
B R2 L' U L2 B' D'
B R2 L' U L2 B' D2
B R2 L' U B L2 B'
B R2 L' U B' L2 B'
B R2 L' U B2 L2 B'
B R2 L' U' F U2 L2
R2 U2 F' U' L B' L2
B R2 U L R' B' R
B R2 U L R2 B' R2
B R2 U L D B' D
B R2 U L D B' D'
B R2 U L D B' D2
B R2 U L D' B' D
B R2 U L D' B' D'
B R2 U L D' B' D2
B R2 U L D2 B' D
B R2 U L D2 B' D'
B R2 U L D2 B' D2
B R2 U L B2 D B
B R2 U L B2 D' B
B R2 U L B2 D2 B
B R2 U L' B L2 B'
B R2 U L' B' L2 B'
B R2 U L' B2 L2 B'
B R2 U L2 D L' B'
B R2 U L2 D' L' B'
B R2 U L2 D2 L' B'
B R2 U L2 B L' B'
B R2 U L2 B' L' B'
B R2 U L2 B2 L' B'
B R2 U R' L B' R
B R2 U R2 L B' R2
B R2 U F L F' B'
B R2 U F L B' F'
B R2 U F2 L F2 B'
B R2 U F2 L B' F2
B R2 U B L B' L
B R2 U' R U2 L B'
B R2 U' R' U2 L B'
B R2 U' R2 U2 L B'
B R2 U' F U2 L B'
B R2 U' F' U2 L B'
B R2 U' F2 U2 L B'
B R2 U2 R U' L B'
B R2 U2 R' U' L B'
B R2 U2 R2 U' L B'
B R2 D F L' U L2
B R2 F L' U L2 B'
B R2 F U L D B'
B R2 F U L D' B'
B R2 F U L D2 B'
B R2 F U L B' D
B R2 F U L B' D'
B R2 F U L B' D2
B2 R2 F B' U L B'
B R2 F' L' U L2 B'
B2 R2 F' B' U L B'
B R2 F' U L D B'
B R2 F' U L D' B'
B R2 F' U L D2 B'
B R2 F' U L B' D
B R2 F' U L B' D'
B R2 F' U L B' D2
B R2 F2 L' U L2 B'
B2 R2 F2 B' U L B'
B R2 F2 U L D B'
B R2 F2 U L D' B'
B R2 F2 U L D2 B'
B R2 F2 U L B' D
B R2 F2 U L B' D'
B R2 F2 U L B' D2
B2 R2 B' L' U L2 B'
B2 R2 B' U L D B'
B2 R2 B' U L D' B'
B2 R2 B' U L D2 B'
B2 R2 B' U L B' D
B2 R2 B' U L B' D'
B2 R2 B' U L B' D2
B2 R2 B' F U L B'
B2 R2 B' F' U L B'
B2 R2 B' F2 U L B'
B U L U' R2 U B'
B U L D' F2 D B'
B U L D' F2 D' B'
B U L D' F2 D2 B'
B U L D' F2 B' D
B U L D' F2 B' D'
B U L D' F2 B' D2
B U L D' B' F2 D
B U L D' B' F2 D'
B U L D' B' F2 D2
R2 D U2 F' R U' L'
B U L D2 B' D F2
B U L F D' F2 B'
B U L F D' B' F2
B U L F B' D' F2
B U L F' D' F2 B'
B U L F' D' B' F2
B U L F' B' D' F2
B U L F2 D' F2 B'
B U L F2 D' B' F2
B U L F2 B' D' F2
B U L B' U' R2 U
B U L B' D' F2 D
B U L B' D' F2 D'
B U L B' D' F2 D2
B U L B' F D' F2
B U L B' F' D' F2
B U L B' F2 D' F2
B U L B2 D' F2 B
B U L B2 D' B F2
B U L2 D' L' F2 B'
B U L2 D' L' B' F2
B U R2 U L R2 B'
B U R2 U L B' R2
B U R2 U R2 L B'
B2 U R2 B' U L B'
B U D' F2 D L B'
B U F L D' F2 B'
B U F L D' B' F2
B U F L B' D' F2
B U F' L D' F2 B'
B U F' L D' B' F2
B U F' L B' D' F2
B U F2 L D' F2 B'
B U F2 L D' B' F2
B U F2 L B' D' F2
B2 U B' R2 U L B'
B' U B2 R2 U L B'
B U' L D' F2 R B'
B U' L D' F2 B' R
B U' L D' B' F2 R
B U' L B' D' F2 R
L D' B U L F2 B2
L D' B U L B2 F2
L D' B U F2 L B2
B2 U' R2 B' U L B'
B2 U' B' R2 U L B'
B' U' B2 R2 U L B'
B2 U2 R2 B' U L B'
B2 U2 B' R2 U L B'
B' U2 B2 R2 U L B'
L F B R2 U L B2
L F B' D' R2 F2 L'
L F' B R2 U L B2
B D' U F2 D L B'
L F' B' D' R2 F2 L'
L' F2 B R2 U L B
U' B L R2 F U B'
L F2 B R2 U L B2
U' B L F R2 U B'
L F2 B' D' R2 F2 L'
L2 B L' R2 U B' L2
L' B L2 R2 U B' L'
L B L B2 D' R2 F2
L B L B2 D' F2 R2
L B L' R2 U L2 B2
L B L' R2 U B2 L2
L B L2 R2 U L' B2
L B L2 R2 U B2 L'
D' B R' U' L F2 R
U' B R2 L F U B'
U' B R2 U B L B'
L' B R2 L2 U B' L'
L' B R2 U L2 B' L'
L' B R2 U' F U2 L
L2 B R2 L' U B' L2
R' B U' L F B' R'
R' B U' L B' R' F
R' B U' L B' F R'
L B R2 L' U L2 B2
L B R2 L' U B2 L2
L B R2 L2 U L' B2
L B R2 L2 U B2 L'
L B R2 U L B2 D
L B R2 U L B2 D'
L B R2 U L B2 D2
L B R2 U L' B2 L2
L B R2 U L2 B2 L'
L B R2 D L2 U L'
L B R2 F U L B2
L B R2 F' U L B2
L B R2 F2 U L B2
L B U L B2 D' F2
D' B U2 R' U' L F2
D' B U2 R' U' F2 L
F' B L' R2 U L2 B'
F2 B L' R2 U L2 B'
R2 B U2 F' U' L B'
B F L' R2 U L2 B'
F B L' R2 U L2 B'
D2 B D2 R2 U L B'
F' B R2 L' U L2 B'
F' B R2 U L D B'
F' B R2 U L D' B'
F' B R2 U L D2 B'
F' B R2 U L B' D
F' B R2 U L B' D'
F' B R2 U L B' D2
F2 B R2 L' U L2 B'
F2 B R2 U L D B'
F2 B R2 U L D' B'
F2 B R2 U L D2 B'
F2 B R2 U L B' D
F2 B R2 U L B' D'
F2 B R2 U L B' D2
