R2 U2 B' U F L'
B2 R2 F' U' F2 L'
B' U F L' D B2
B' U F D L' B2
B' U F D B2 L'
B' U2 R2 U' F L'
R2 L U' L' F L' R
R2 L U' L' F R L'
R2 L U' F L' R F
R2 L U' F R L' F
R2 L F U' L' F R
F2 L' D F' L' R B2
F2 L' D F' L' B2 R
F2 L' D F' R L' B2
F2 L' D F' R B2 L'
F2 L' D F' B2 L' R
F2 L' D F' B2 R L'
F L' D F' R F B2
F L' D F' R B2 F
F L' D F' B2 R F
F2 L' D B2 F' L' R
F2 L' D B2 F' R L'
F L' D B D2 B R'
F L' D B2 F' R F
F L' D' B R' D2 B2
F L' D' B D2 R' B2
F L' D' B' D2 B2 R'
F L' F D F' R B2
F L' F D F' B2 R
F L' F D B2 F' R
L R2 U' L' F L' R
L R2 U' L' F R L'
L R2 U' F L' R F
L R2 U' F R L' F
L2 R2 F L2 U' F L
R2 L2 F L2 U' F L
L2 R2 F U B' U2 L'
L2 R2 F U' L2 F L
R2 L2 F U B' U2 L'
R2 L2 F U' L2 F L
L R2 F U' L' F R
F L2 R2 F U' L F'
F L2 R2 F U' F' L
F L2 U R2 F U' L
F L2 U F R2 U' L
F' L2 F R2 U' F L'
F2 L2 F' L' D R2 B2
F2 L2 F' L' D B2 R2
F2 L2 F' D L' R2 B2
F2 L2 F' D L' B2 R2
F2 L2 F' D R2 L' B2
F2 L2 F' D R2 B2 L'
F2 L2 F' D B2 L' R2
F2 L2 F' D B2 R2 L'
B' R U2 R U' F L'
B' R F' U F2 L' B'
D R F' B' U F2 B'
D R F' B' U B' F2
D R B' F' U F2 B'
D R B' F' U B' F2
R2 U' F U' B' U L'
B' R' U2 R' U' F L'
R2 U' B' U F L' B
R2 U' B' U F B L'
R2 U' B' U B F L'
R2 U2 R B' U F L'
R2 U2 R' B' U F L'
R2 U2 R2 B' U F L'
R2 U2 D2 B' U F L
F R2 L2 F U' L F'
F R2 L2 F U' F' L
R2 U2 F' B' U F2 L'
B2 R2 U' F L' D R2
B2 R2 U' F D L' R2
B2 R2 U' F D R2 L'
B R2 U' F L' D' R2
B R2 U' F D' L' R2
B R2 U' F D' R2 L'
F R2 U' B' U L' B
F R2 U' B' U B L'
U' R2 U2 B' U F L'
U2 R2 U2 B' U F L'
R2 U2 B' R U F L'
R2 U2 B' R' U F L'
R2 U2 B' R2 U F L'
R2 U2 B' U F L' D
R2 U2 B' U F L' D'
R2 U2 B' U F L' D2
R2 U2 B' U F D L'
R2 U2 B' U F D' L'
R2 U2 B' U F D2 L'
B R2 U2 B2 U F L'
U R2 U2 B' U F L'
R2 U2 B' F' U F2 L'
B2 R2 F' L U' F2 L'
B2 R2 F' L' U' F2 L'
B2 R2 F' L2 U' F2 L'
B2 R2 F' U R U2 F2
B2 R2 F' U' L F2 L'
B2 R2 F' U' L' F2 L'
B2 R2 F' U' L2 F2 L'
B2 R2 F' U' F2 L' D
B2 R2 F' U' F2 L' D'
B2 R2 F' U' F2 L' D2
B2 R2 F' U' F2 D L'
B2 R2 F' U' F2 D' L'
B2 R2 F' U' F2 D2 L'
B2 R2 F' B U' F2 L'
B2 R2 F' B' U' F2 L'
B2 R2 F' B2 U' F2 L'
B2 R2 B F' U' F2 L'
B2 R2 B' F' U' F2 L'
B2 R2 B2 F' U' F2 L'
B' U R2 U' R2 F L'
B' U R2 U' F L' R2
B' U R2 U' F R2 L'
B2 U R2 F' U' F2 L'
F U R2 U2 B' U L'
B' U D B2 D' F L'
B' U F L' U R2 U'
B' U F L' D B2 D
B' U F L' D B2 D'
B' U F L' D B2 D2
B' U F L' B D B2
B' U F L' B' D B2
B' U F L' B2 D B2
B' U F L2 D L B2
B' U F U R2 U' L'
B' U F D L B2 L2
B' U F D L' B2 D
B' U F D L' B2 D'
B' U F D L' B2 D2
B' U F D B L' B
B' U F D B2 L' D
B' U F D B2 L' D'
B' U F D B2 L' D2
B' U F D B2 D L'
B' U F D B2 D' L'
B' U F D B2 D2 L'
B' U F D' L' D2 B2
B' U F B L' D B2
B' U F B D L' B2
B' U F B D B2 L'
B' U F B' L' D B2
B' U F B' D L' B2
B' U F B' D B2 L'
B' U F B2 L' D B2
B' U F B2 D L' B2
B' U F B2 D B2 L'
B' U F2 D F' L' B2
B' U F2 D F' B2 L'
B' U F2 D B2 F' L'
B' U B F L' D B2
B' U B F D L' B2
B' U B F D B2 L'
B' U B' F L' D B2
B' U B' F D L' B2
B' U B' F D B2 L'
B' U B2 F L' D B2
B' U B2 F D L' B2
B' U B2 F D B2 L'
B2 U' R2 F' U' F2 L'
F U' D B' U B' L'
B' U' F L' D B2 R'
B' U' F D L' B2 R'
F U' D2 B' L2 U L
L2 D2 L2 B' U F L
F U' B' U L' D B2
F U' B' U D L' B2
F U' B' U D B2 L'
F U' B' U2 R2 U' L'
F U' B' D U L' B2
F U' B' D U B2 L'
F U' B' D2 L2 U L
R2 D2 U2 B' U F L
B' U2 R2 U' F L' D
B' U2 R2 U' F L' D'
B' U2 R2 U' F L' D2
B' U2 R2 U' F D L'
B' U2 R2 U' F D' L'
B' U2 R2 U' F D2 L'
B' U2 R2 B U' F L'
B' U2 R2 B' U' F L'
B' U2 R2 B2 U' F L'
B2 U2 R2 F' U' F2 L'
L2 F L2 R2 U' F L
R2 F L2 F U' L F'
R2 F L2 F U' F' L
B' U2 B R2 U' F L'
L2 F R2 L2 U' F L
B' U2 B' R2 U' F L'
L2 F R2 U B' U2 L'
L2 F R2 U' L2 F L
B' U2 B2 R2 U' F L'
L F R2 U' L' F R
D2 F U' B' L2 U L'
R2 F U' B' U L' B
R2 F U' B' U B L'
F D L' B D' B R'
B' D R F' U F2 B2
B' D R F' U B2 F2
D2 F B D' B2 L R2
D2 F B D' B2 R2 L
F' D R2 B' U B' L
B' D U B2 D' F L'
