L' F' L' U' B' L
L2 R U B' L F R
L2 R U' B' L R' F'
L2 R U' B' R' L F'
L2 R U' B' R' F' L
F' L' U' B D2 B2 L
F' L' U' B' L D2 B2
F' L' U' B' D2 L B2
B' L' F' L' U' B' L'
R L2 U B' L F R
R L2 U' B' L R' F'
R L2 U' B' R' L F'
R L2 U' B' R' F' L
F' L' B U R' F2 U2
F' L' B U F2 R' U2
F' L' B U' D2 B2 L
F' L' B D2 U' B2 L
F' L' B' U F2 U2 L
F' L' B' U' L D2 B2
F' L' B' U' D2 L B2
F' L' B' D R2 U' L
F' L' B' D2 U' L B2
L2 R2 B U B2 L F
R2 L2 B U B2 L F
F' L2 D L R2 B' U'
F' L2 D L B' R2 U'
F' L2 D R2 L B' U'
U2 L2 F' U' B' L F
L2 U B' L F D R2
R U' L2 B' L R' F'
R U' L2 B' R' L F'
R U' L2 B' R' F' L
L2 U2 F' U' B' L F
F U' F2 L' B' U' L
F U' F2 B' L' U' L2
F U' B' F2 L' U' L2
F' D L R2 B' L2 U'
F' D L B' L2 R2 U'
F' D L B' R2 L2 U'
F' D L' R2 U2 F U
F' D R2 L B' L2 U'
F' D R2 L' U2 F U
D2 F' L' U R F2 U2
L' F' L' R U' B' L
D2 F' L' U F2 U2 L'
L' F' L' R' U' B' L
L' F' L' R2 U' B' L
L' F' L' U' B' L D
L' F' L' U' B' L D'
L' F' L' U' B' L D2
L' F' L' U' B' D L
L' F' L' U' B' D' L
L' F' L' U' B' D2 L
L2 F' L' U' L B' L
L' F' L' B U' B2 L
L2 F' L' U' B' L B'
L2 F' L' B' U' L B'
L F' L' U' L2 B' L
L' F' R L' U' B' L
L' F' R' L' U' B' L
L' F' R2 L' U' B' L
L2 F' U' B' L D F2
F D' L2 U R F' U
L2 F' B L' U' B2 L
L' F' B' L' U' B' L2
L F' B' L' U' L2 B'
R2 B U' R' F U2 F2
R2 B U' F R' U2 F'
F' B L' U R' F2 U2
F' B L' U F2 R' U2
F' B L' U' D2 B2 L
F' B L' D2 U' B2 L
B F R' D B2 U2 R2
B F R' D' L2 U2 F2
L2 B F' L' U' B2 L
F B R' D B2 U2 R2
F B R' D' L2 U2 F2
B' F U' F2 L' U' L2
B2 F U' F2 L' B' U'
F' B D2 L' U' B2 L
B' F' L' U F2 U2 L2
B' F' L' U' L2 D2 B2
F' B' L' U F2 U2 L2
F' B' L' U' L2 D2 B2
B F' L' U R' F2 U2
B F' L' U F2 R' U2
B F' L' U' D2 B2 L
B F' L' D2 U' B2 L
L' B' F' L' U' B' L2
B' F' D L' R2 U' L2
B' F' D R2 L' U' L2
F' B' D L' R2 U' L2
F' B' D R2 L' U' L2
F B' U' F2 L' U' L2
L B' F' L' U' L2 B'
B' F' D2 L' U' L2 B2
B' F' D2 L' U' B2 L2
F' B' D2 L' U' L2 B2
F' B' D2 L' U' B2 L2
B F' D2 L' U' B2 L
F B2 U' F2 L' B' U'
