F L2 U R' B' L
U R' B D2 B2 L
U R' B' L D2 B2
U R' B' D2 L B2
F U L2 R' B' L
F U R' L2 B' L
D2 F U L' R' B2
D2 F U R' L' B2
D2 F U R' B2 L'
U L R' B D2 B2 L
U L R' B' L D2 B2
U L R' B' D2 L B2
F L U L R' B' L
F L U R' L B' L
F L U R' B' L B'
D L U2 R2 B' U' R
D L D2 L2 F U R'
D2 L F U L' R' B2
D2 L F U R' L' B2
D2 L F U R' B2 L'
U L' R' B D2 B2 L
U L' R' B' L D2 B2
U L' R' B' D2 L B2
D L' D F U R' B2
D' L' D2 L' F U R'
D L' D2 F L2 U R'
D2 L' F U L' R' B2
D2 L' F U R' L' B2
D2 L' F U R' B2 L'
D L' F U D R' B2
D L' F U2 R2 U' R
D L' F D U R' B2
D L' F D2 L2 U R'
D' L2 R F' R' U R'
U L2 R' B D2 B2 L
U L2 R' B' L D2 B2
U L2 R' B' D2 L B2
D' L2 U R' U B U'
F L2 U R B' L R2
F L2 U R B' R2 L
F L2 U R' B' L D
F L2 U R' B' L D'
F L2 U R' B' L D2
F L2 U R' B' D L
F L2 U R' B' D' L
F L2 U R' B' D2 L
F L2 U R2 B' L R
F L2 U R2 B' R L
D' L2 D' F U L' R'
D' L2 D' F U R' L'
D2 L2 F U L' R' B2
D2 L2 F U R' L' B2
D2 L2 F U R' B2 L'
F L2 F U R' B' L
F L2 F' U R' B' L
F L2 F2 U R' B' L
L' U R' B D2 B2 L
L' U R' B' L D2 B2
L' U R' B' D2 L B2
L2 U R' B D2 B2 L
L2 U R' B' L D2 B2
L2 U R' B' D2 L B2
L U R' B D2 B2 L
L U R' B' L D2 B2
L U R' B' D2 L B2
D' R L2 F' R' U R'
D' R F' L2 R' U R'
D' R F' R' L2 U R'
U R B' L R2 D2 B2
U R B' R2 L D2 B2
U R B' R2 D2 L B2
R' U' D' L2 R F' U
R' U' D' R L2 F' U
R' U' D' R F' L2 U
U R B' D2 L B2 R'
U R' L B D2 B2 L
U R' L B' L D2 B2
U R' L B' D2 L B2
U R' L' B D2 B2 L
U R' L' B' L D2 B2
U R' L' B' D2 L B2
U R' L2 B D2 B2 L
U R' L2 B' L D2 B2
U R' L2 B' D2 L B2
U R' D2 F L' F' B2
U R' D2 F L' B2 F'
U R' D2 F B2 L' F'
U R' D2 B' D2 B' L
D2 R' F B2 D' L' F
U R' D2 B2 F L' F'
U R' F L2 F' B' L
U R' F L2 B' L F'
U R' F L2 B' F' L
U R' B L D2 B2 L
U R' B L' D2 B2 L
U R' B L2 D2 B2 L
U R' B U2 R' F2 U2
U R' B U2 F2 R' U2
U R' B D2 L B2 L
U R' B D2 L' B2 L
U R' B D2 L2 B2 L
U R' B D2 B2 L D
U R' B D2 B2 L D'
U R' B D2 B2 L D2
U R' B D2 B2 D L
U R' B D2 B2 D' L
U R' B D2 B2 D2 L
U R' B' L U2 F2 U2
U R' B' L D2 B2 D
U R' B' L D2 B2 D'
U R' B' L D2 B2 D2
U R' B' L B D2 B2
U R' B' L B' D2 B2
U R' B' L B2 D2 B2
U R' B' L2 D2 L' B2
U R' B' L2 D2 B2 L'
U R' B' U2 F2 U2 L
U R' B' D L D B2
D2 R' B2 F D' L' F
U R' B' D2 L B2 D
U R' B' D2 L B2 D'
U R' B' D2 L B2 D2
U R' B' D2 L' B2 L2
U R' B' D2 L2 B2 L'
U R' B2 D2 B L B
U R2 B R D2 L2 B2
U R2 B R D2 B2 L2
U R2 B D2 B2 L R
U R2 B D2 B2 R L
U R2 B' L R D2 B2
U R2 B' L D2 R B2
U R2 B' L D2 B2 R
U R2 B' R L D2 B2
U R2 B' R D2 L B2
U R2 B' D2 L R B2
U R2 B' D2 L B2 R
U R2 B' D2 R L B2
B' U L B R' D2 B2
B' U L B D2 R' B2
B' U L B' D2 B2 R'
F U L R' B' L B'
F U L2 R B' L R2
F U L2 R B' R2 L
F U L2 R' B' L D
F U L2 R' B' L D'
F U L2 R' B' L D2
F U L2 R' B' D L
F U L2 R' B' D' L
F U L2 R' B' D2 L
F U L2 R2 B' L R
F U L2 R2 B' R L
F U R L2 B' L R2
F U R L2 B' R2 L
D2 U R' F L' F' B2
D2 U R' F L' B2 F'
D2 U R' F B2 L' F'
D2 U R' B' D2 B' L
F' U R' B' D2 L B'
D2 U R' B2 F L' F'
F U R' L B' L B'
F U R' L2 B' L D
F U R' L2 B' L D'
F U R' L2 B' L D2
F U R' L2 B' D L
F U R' L2 B' D' L
F U R' L2 B' D2 L
F' U R2 B R D2 L2
F' U R2 B' L R B2
F' U R2 B' L B2 R
F' U R2 B' R L B2
D2 U F L' F' R' B2
F U R' B' L2 B' L'
F U R2 L2 B' L R
F U R2 L2 B' R L
R' D' L2 R F' U R'
R' D' R L2 F' U R'
R' D' R F' L2 U R'
F' U B' L R2 B R'
F' U B' R2 L B R'
R' D' U' L2 R F' U
R' D' U' R L2 F' U
R' D' U' R F' L2 U
B2 U' L F2 U F' U
F U' L2 U2 R' B' L
D2 U' F U2 L' R' B2
D2 U' F U2 R' L' B2
D2 U' F U2 R' B2 L'
D2 U' F' R U2 R2 B2
D2 U' F' R U2 B2 R2
F' U' D2 F' R U2 R2
F U' D2 F U2 L' R'
F U' D2 F U2 R' L'
B2 U' F2 L U F U
U D2 R' F L' F' B2
U D2 R' F L' B2 F'
U D2 R' F B2 L' F'
U' D2 F U2 L' R' B2
U' D2 F U2 R' L' B2
U' D2 F U2 R' B2 L'
D2 U2 F U' L' R' B2
D2 U2 F U' R' L' B2
U D2 R' B' D2 B' L
D2 U2 F U' R' B2 L'
L' D2 F U L' R' B2
U D2 R' B2 F L' F'
L' D2 F U R' L' B2
L' D2 F U R' B2 L'
R' D2 F B2 D' L' F
U' D2 F' R U2 R2 B2
U' D2 F' R U2 B2 R2
