U2 F B R U' F2
B' F R' B2 U' F2
U2 B F R U' F2
B F U2 L U F2
F B U2 L U F2
F B' R' B2 U' F2
F L B U2 L U F2
F L B' R' B2 U' F2
F L' B U2 L U F2
F L' B' R' B2 U' F2
B L2 U2 B' L' U F'
B2 L2 F B' L U F2
F L2 B U2 L U F2
F L2 B' R' B2 U' F2
B2 L2 B' F L U F2
B R F U2 L U F
F R B' R' B U' F2
U2 R' F R B U' F'
B' R' B2 D' F L' U'
R' U2 F R U' F' L'
F R2 U2 F' L' U F'
F2 R2 F' B L U F2
F2 R2 B F' L U F2
U2 D F B R U' F2
B' U F R' B2 U' F2
U2 D B F R U' F2
F' U F2 B R U' B
F' U B R F2 U' B
F' U B F2 R U' B
F U' L' F2 B' D L2
F U' L' B' F2 D L2
U2 D' F B R U' F2
U2 D' B F R U' F2
B' U' F R' B2 U' F2
F U' F2 L' B' D L2
B U2 L U D F' R
B U2 L D U F' R
D' U2 F B R U' F2
D2 U2 F B R U' F2
U2 D2 F B R U' F2
D U2 F B R U' F2
B U2 L2 B' L' U F'
D' U2 B F R U' F2
D2 U2 B F R U' F2
U2 D2 B F R U' F2
D U2 B F R U' F2
F U2 R2 F' L' U F'
F U2 D R2 F' L' U
U2 F L B R U' F2
U' F L' B U' F2 B2
U' F L' B U' B2 F2
B' U2 F R' B2 U' F2
U2 F L' B R U' F2
U2 F L2 B R U' F2
U2 F D' L2 B R U'
U2 F D' B L2 R U'
U2 F D' B R L2 U'
U' F B L' U' F2 B'
U' F B L' U' B' F2
D' F B U2 L U F2
D2 F B U2 L U F2
U2 F B L R U' F2
U2 F B L' R U' F2
U2 F B L2 R U' F2
U2 F B R L U' F2
U2 F B R L' U' F2
U2 F B R L2 U' F2
U2 F B R U' F2 D
U2 F B R U' F2 D'
U2 F B R U' F2 D2
U2 F B R D' L2 U'
D' F B' R' B2 U' F2
D2 F B' R' B2 U' F2
U2 F B D' L2 R U'
U2 F B D' R L2 U'
U2 F B' R B2 U' F2
D F B U2 L U F2
U F B R U' F2 B
U F B R U' B F2
D F B' R' B2 U' F2
U2 F B2 R B' U' F2
R F B' R' B U' F'
U' F' L' B' D L2 R2
U' F' L' B' D R2 L2
B' D F R' U' L2 F2
B' D F R' U' F2 L2
F D U2 R2 F' L' U
B D F U2 L U F2
F D B U2 L R2 U
F D B U2 R2 L U
U2 F' U F2 B R U'
F D B' R' B2 L U'
U2 F' U B F2 R U'
F D' L2 B U2 L U
F D' L2 B' R' B2 U'
B D' F U2 L U F2
F D' B L2 U2 L' U
F D' B' L2 R' B2 U'
F D' B' R' L2 B2 U'
F D' B' R' B2 L2 U'
B D2 F U2 L U F2
U2 B R' F R U' F'
B' F L R' B2 U' F2
B' F L' R' B2 U' F2
L2 B U2 L B2 U F'
B F L U' F2 D2 B2
B' F L2 R' B2 U' F2
F B L U' F2 D2 B2
L B U2 L B' U F'
B F L' U' F2 D' B2
B F L' U2 L2 U F2
B F L' D' L2 U' B2
U2 B D F R U' F2
F' B L2 F2 R U' F2
F B L' U' F2 D' B2
F B L' U2 L2 U F2
F B L' D' L2 U' B2
B F L2 U2 L' U F2
B' F R B2 R2 U' F2
B' F R' L B2 U' F2
U2 B D' F R U' F2
B' F R' L' B2 U' F2
B' F R' L2 B2 U' F2
B' F R' U' F2 D L2
F B L2 U2 L' U F2
U' B F L' U' F2 B'
U' B F L' U' B' F2
B F R U2 L U F2
B' F R' B2 L U' F2
B' F R' B2 L' U' F2
B' F R' B2 L2 U' F2
B' F R' B2 U' F2 D
B' F R' B2 U' F2 D'
B' F R' B2 U' F2 D2
B' F R' B2 D' L2 U'
U2 B D2 F R U' F2
D2 B F U2 L U F2
D' B F U2 L U F2
F B R U2 L U F2
U2 B F L R U' F2
U2 B F L' R U' F2
U2 B F L2 R U' F2
U2 B F R L U' F2
U2 B F R L' U' F2
U2 B F R L2 U' F2
U2 B F R U' F2 D
U2 B F R U' F2 D'
U2 B F R U' F2 D2
U2 B F R D' L2 U'
B F R' U2 L U F2
B' F R2 B2 R U' F2
U2 B F D' L2 R U'
U2 B F D' R L2 U'
F B R' U2 L U F2
D B F U2 L U F2
B F R2 U2 L U F2
U B F R U' F2 B
U B F R U' B F2
F B R2 U2 L U F2
B F U' F2 U' L U
B F U2 L R U F2
B F U2 L R' U F2
B F U2 L R2 U F2
B F U2 L U F2 D
B F U2 L U F2 D'
B F U2 L U F2 D2
B F U2 L D R2 U
B F U2 R L U F2
F B U' F2 U' L U
B F U2 R' L U F2
B F U2 R2 L U F2
B F U2 D L R2 U
B F U2 D R2 L U
F B U2 L R U F2
F B U2 L R' U F2
F B U2 L R2 U F2
F B U2 L U F2 D
F B U2 L U F2 D'
F B U2 L U F2 D2
F B U2 L D R2 U
F B U2 R L U F2
F B U2 R' L U F2
F B U2 R2 L U F2
F B U2 D L R2 U
F B U2 D R2 L U
B F D U2 L R2 U
B F D U2 R2 L U
F B D U2 L R2 U
F B D U2 R2 L U
B F D' L2 U2 L' U
F B D' L2 U2 L' U
F B' L R' B2 U' F2
R B' R' F B U' F2
R B' R' B F U' F2
F B' L' R' B2 U' F2
B' F' R D L2 R2 B2
B' F' R D L2 B2 R2
B' F' R D R2 L2 B2
B' F' R D R2 B2 L2
B' F' R D B2 L2 R2
B' F' R D B2 R2 L2
F' B' R D L2 R2 B2
F' B' R D L2 B2 R2
F' B' R D R2 L2 B2
F' B' R D R2 B2 L2
F' B' R D B2 L2 R2
F' B' R D B2 R2 L2
