U2 L' R2 B R' U
F2 R D2 F L' U'
R2 U2 L' B R' U
U2 R2 L' B R' U
R2 U2 B L' R' U
R2 U2 B R' L' U
U2 R2 B L' R' U
U2 R2 B R' L' U
F2 D' R F U' F2
D' F2 R F U' F2
F2 D2 R F L' U'
R2 L U2 L2 B R' U
U2 L R2 B L2 R' U
U2 L R2 B R' L2 U
R2 L U2 B L2 R' U
R2 L U2 B R' L2 U
B' L D' F' B U' B
B' L D' B F' U' B
B' L D2 F' B R2 U'
B' L D2 B F' R2 U'
D2 L F L' F2 R U'
R2 L B L2 R' F U
R2 L B L2 F R' U
R2 L B R' L2 F U
D2 L F' U2 L2 R U
D2 L F' U2 R L2 U
D L F' U2 L2 U F
B' L F' D' B U' B
B' L F' D2 B R2 U'
B' L F' B U' D' B2
B' L F' B U2 L2 U
B' L F' B D' U' B2
B' L F' B D2 R2 U'
B' L B D' F' U' B2
B' L B D2 F' R2 U'
B' L B F' U' D' B2
B' L B F' U2 L2 U
B' L B F' D' U' B2
B' L B F' D2 R2 U'
U2 L' R' B R' B U
U2 L' R2 B R' U D
U2 L' R2 B R' U D'
U2 L' R2 B R' U D2
U2 L' R2 B R' D U
U2 L' R2 B R' D' U
U2 L' R2 B R' D2 U
U2 L' R2 B D R' U
U2 L' R2 B D' R' U
U2 L' R2 B D2 R' U
D L' U' F D R2 B
B' L' U2 L2 F' B U'
B' L' U2 L2 B F' U'
B' L' U2 F' L2 B U'
B' L' U2 F' B L2 U'
B2 L' U2 F' L' B2 U'
B' L' U2 B L2 F' U'
B2 L' U2 F' B2 L' U'
B' L' U2 B F' L2 U'
B2 L' U2 B2 F' L' U'
R2 L' B R' U2 B' U'
B' L' D2 R2 F' B U
B' L' D2 R2 B F' U
D L' F' U' F2 D2 B2
L2 R2 U2 L B R' U
R2 L2 U2 L B R' U
L R2 U2 L2 B R' U
U2 L' B R2 B R U
L R2 U2 B L2 R' U
L R2 U2 B R' L2 U
U2 L' B' U2 L F' U'
U2 L' B' U2 F' L U'
U2 L' B2 U2 F' L' U'
L' R2 B R' U2 B' U'
L R2 B L2 R' F U
L R2 B L2 F R' U
L R2 B R' L2 F U
D2 L2 F' U2 L R U
D2 L2 F' U2 R L U
D' R U2 L' B' U F'
D R U2 L' B' U F
F2 R D L' U' F R
U2 R D L' U F R
F2 R D F L' U' F
F2 R D2 F L' U' D
F2 R D2 F L' U' D'
F2 R D2 F L' U' D2
F2 R D2 F L' D U'
F2 R D2 F L' D' U'
F2 R D2 F L' D2 U'
F2 R D2 F D L' U'
F2 R D2 F D' L' U'
F2 R D2 F D2 L' U'
F2 R F D L' U' F
F2 R F B' L B U'
F2 R B' F L B U'
U2 R' L' B R' B U
R2 U' B L' R' U L
R2 U' B R' L' U L
L2 U2 L R2 B R' U
R' U2 L' R' B R' U
R2 U2 L B L2 R' U
R2 U2 L B R' L2 U
R' U2 L' B R' B U
R2 U2 L' B R' U D
R2 U2 L' B R' U D'
R2 U2 L' B R' U D2
R2 U2 L' B R' D U
R2 U2 L' B R' D' U
R2 U2 L' B R' D2 U
R2 U2 L' B D R' U
R2 U2 L' B D' R' U
R2 U2 L' B D2 R' U
R U2 L' B R' B2 U
R U2 L' B' U2 L U'
L U2 L2 R2 B R' U
D2 R' F2 R F' L' U'
R' U2 R' L' B R' U
R' U2 R' B L' R' U
R' U2 R' B R' L' U
U2 R' B L' R' B U
U2 R' B R' L' B U
U2 R' B R' B L' U
L2 U2 R2 L B R' U
L U2 R2 L2 B R' U
R2 U2 D L' B U F
L U2 R2 B L2 R' U
L U2 R2 B R' L2 U
R U2 D L' B' U F
R2 U2 D B L' U F
U2 R2 L B L2 R' U
U2 R2 L B R' L2 U
U2 R2 L' B R' U D
U2 R2 L' B R' U D'
U2 R2 L' B R' U D2
U2 R2 L' B R' D U
U2 R2 L' B R' D' U
U2 R2 L' B R' D2 U
U2 R2 L' B D R' U
U2 R2 L' B D' R' U
U2 R2 L' B D2 R' U
L' U2 F' L2 B' L U'
U' R2 U' L' B R' U
R' U2 B L' R' B U
R' U2 B R' L' B U
R' U2 B R' B L' U
U' R2 U' B L' R' U
U' R2 U' B R' L' U
R2 U2 B L' R' U D
R2 U2 B L' R' U D'
R2 U2 B L' R' U D2
R2 U2 B L' R' D U
R2 U2 B L' R' D' U
R2 U2 B L' R' D2 U
R2 U2 B L' D R' U
R2 U2 B L' D' R' U
R2 U2 B L' D2 R' U
R2 U2 B R' L' U D
R2 U2 B R' L' U D'
R2 U2 B R' L' U D2
R2 U2 B R' L' D U
R2 U2 B R' L' D' U
R2 U2 B R' L' D2 U
R2 U2 B R' D L' U
R2 U2 B R' D' L' U
R2 U2 B R' D2 L' U
R U2 B L' R' B' U
R2 U2 B D L' R' U
R2 U2 B D R' L' U
D R2 U2 L' B U F
R2 U2 B D' L' R' U
R2 U2 B D' R' L' U
R2 U2 B D2 L' R' U
R2 U2 B D2 R' L' U
R U2 B R' L' B' U
D R2 U2 B L' U F
U2 R2 D L' B U F
U2 R2 D B L' U F
R U2 B2 L' B' R' U
F2 R2 D2 R' F L' U'
F2 R2 D2 F L' R' U'
F2 R2 D2 F R' L' U'
U' R2 B L' R' U L
U' R2 B R' L' U L
U2 R2 B L' R' U D
U2 R2 B L' R' U D'
U2 R2 B L' R' U D2
U2 R2 B L' R' D U
U2 R2 B L' R' D' U
U2 R2 B L' R' D2 U
U2 R2 B L' D R' U
U2 R2 B L' D' R' U
U2 R2 B L' D2 R' U
U2 R2 B R' L' U D
U2 R2 B R' L' U D'
U2 R2 B R' L' U D2
