R2 L' U' L' B R
R2 L' U' B L' R
R2 L' U' B R L'
L' R2 U' L' B R
L' R2 U' B L' R
L' R2 U' B R L'
F2 L2 R' D' F2 B'
F2 L2 R' D' B' F2
F2 L2 R' D' B' F2
F2 L2 R' B' D' F2
L2 R2 B D' R F'
R2 L2 B D' R F'
F2 R U L2 R2 B'
F2 R U L2 B' R2
F2 R U R2 L2 B'
L' U' L' R2 B R
L' U' R2 L' B R
L' U' R2 B L' R
L' U' R2 B R L'
F2 R' L2 D' F2 B'
F2 R' L2 D' B' F2
F2 R' L2 B' D' F2
F2 L R U L R2 B'
F2 L R U L B' R2
F2 L R U R2 L B'
R2 L D L B R F2
R' L D F2 D L B'
R' L D2 L D' F2 B'
R' L D2 L D' B' F2
R' L D2 L B' D' F2
D' L D F2 L2 R' B'
D' L D F2 R' L2 B'
B2 L D F' U2 L F'
B2 L D F' U2 F' L
B2 L D' F' B2 R' U2
B2 L D' B2 F' R' U2
B2 L F' U' L2 U' L'
B2 L F' U2 D L F2
B2 L F' U2 D F2 L
B2 L F' D U2 L F2
B2 L F' D U2 F2 L
B2 L F' D' B2 R' U2
L2 R' U L R' U' B
L2 R' U R' L U' B
L2 R' U D2 L U' B'
R2 L' U' L B L2 R
R2 L' U' L B R L2
R2 L' U' L' D B R
R2 L' U' L' D' B R
R2 L' U' L' D2 B R
R2 L' U' L' B R D
R2 L' U' L' B R D'
R2 L' U' L' B R D2
R2 L' U' L' B D R
R2 L' U' L' B D' R
R2 L' U' L' B D2 R
R2 L' U' L' B' R B2
R2 L' U' L' B2 R B'
R2 L' U' D L' B R
R2 L' U' D B L' R
R2 L' U' D B R L'
R2 L' U' D' L' B R
R2 L' U' D' B L' R
R2 L' U' D' B R L'
R2 L' U' D2 L' B R
R2 L' U' D2 B L' R
R2 L' U' D2 B R L'
R2 L' U' B L' R D
R2 L' U' B L' R D'
R2 L' U' B L' R D2
R2 L' U' B L' D R
R2 L' U' B L' D' R
R2 L' U' B L' D2 R
R2 L' U' B R L' D
R2 L' U' B R L' D'
R2 L' U' B R L' D2
R2 L' U' B R D L'
R2 L' U' B R D' L'
R2 L' U' B R D2 L'
R2 L' U' B D L' R
R2 L' U' B D R L'
R2 L' U' B D' L' R
R2 L' U' B D' R L'
R2 L' U' B D2 L' R
R2 L' U' B D2 R L'
R2 L' U' B' L' R B2
R2 L' U' B' L' B2 R
R2 L' U' B' R L' B2
R2 L' U' B' R B2 L'
R2 L' U' B2 R B' L'
R2 L' D U' L' B R
R2 L' D U' B L' R
R2 L' D U' B R L'
F2 L' R' D' L' F2 B'
F2 L' R' D' L' B' F2
L R' D F2 D L B'
B' L' R2 U' L' B R'
U' L' R2 U' L' B R
B' L' R2 U' B L' R'
B' L' R2 U' B R' L'
U' L' R2 U' B L' R
U' L' R2 U' B R L'
U2 L' R2 U' L' B R
U2 L' R2 U' B L' R
U2 L' R2 U' B R L'
R2 L' D' U' L' B R
U L' R2 U' L' B R
R2 L' D' U' B L' R
R2 L' D' U' B R L'
U L' R2 U' B L' R
U L' R2 U' B R L'
D' L' R2 B2 U' R B'
D' L' R2 B2 U' B' R
L R' D2 L D' F2 B'
L R' D2 L D' B' F2
