B D L U2 B' L'
U' L R2 U F' D R2
U' L R2 U2 F U' F2
U' L U R2 F' D R2
U' L U F' D R2 F'
U L U B U2 B' R'
U' L U' B U' F U'
B L U' B R' U' L'
U L U' B L U2 L'
B L U' B2 U' L' B'
B L U2 L2 D L B'
B L U2 D L B' L2
U' L U2 F U B U2
B L U2 B' L' D' B2
B L D U2 L B' L2
B L D' R' U2 L' B
B L D' R' U2 B L'
B L D' R2 U2 L' B'
B L D' F2 R F' U2
R2 L B' U L' F' R'
B L F2 D' R F' U2
U' L B U2 F U' F'
U' L' R2 B' L2 U F'
U' L' B' L2 U D2 F2
U' L' B' L2 U' B2 U2
U' L' B' L2 D' R2 U
U' L' B' L2 D2 U F2
U' L' B' D' R2 U B2
U' L' B2 L2 B U F
L R2 B' U L' F' R'
L U L' R2 D' F' R
U2 L2 B U L' B' U
L U R2 L' D' F' R
L U R2 D' L' F' R
B R D L U2 B' L'
R2 U' L U F' D R2
R2 U' L U2 F U' F2
R' U' L' B' L2 R' U
R' U' L' B' R' L2 U
R2 U' L' B' L2 U F'
B R' D L U2 B' L'
U R' F' U2 L U F
U' R2 L U F' D R2
U' R2 L U2 F U' F2
U' R2 L' B' L2 U F'
B R2 D L U2 B' L'
B' U R U' B R2 F'
B2 U R' U B' L U2
B2 U2 B' D L U2 B'
B D L R U2 B' L'
B D L R' U2 B' L'
B D L R2 U2 B' L'
B D L U2 D B' L'
B D L U2 D' B' L'
B D L U2 D2 B' L'
B D L U2 B L' B2
B D L U2 B' L' D
B D L U2 B' L' D'
B D L U2 B' L' D2
B D L U2 B' D L'
B D L U2 B' D' L'
B D L U2 B' D2 L'
B D L U2 B2 L' B
B D L D U2 B' L'
B D L D' U2 B' L'
B D L D2 U2 B' L'
B D L F2 R U2 B'
B D L' F L2 U2 L'
B D R L U2 B' L'
B D R' L U2 B' L'
B D R2 L U2 B' L'
U2 F' L' D F2 B U2
U2 F' L' D B F2 U2
U2 F' L' D' B U2 B
U2 F' L' B U L2 U
U2 F' L' B U2 D' B2
U2 F' L' B D F2 U2
U2 F' L' B D' U2 B2
B D F L U2 B' L'
B D F' L U2 B' L'
B D F2 L U2 B' L'
R2 F' U' L U2 F U'
R2 F' U' L' B' L2 U
B D B2 D2 R' F2 B
B D B2 D2 R' B F2
B D B2 D2 F2 R' B
B D' L R' U2 L' B
B D' L R' U2 B L'
B D' L R2 U2 L' B'
B D' L F2 R F' U2
B D' R F' L U2 L'
B D' R' L U2 L' B
B D' R' L U2 B L'
U2 F' B D L' F U2
B D' R2 L U2 L' B'
R2 F' B D' B2 R' B
B D' B2 R' D2 F2 B
B D' B2 R' D2 B F2
L2 B L U L2 U L'
L2 B L U2 D' L B2
L2 B L D F2 U2 L
L2 B L D' U2 L B2
L B L U L' U L'
U2 B U L' B' L U
D2 B D L U2 B' L'
D' B D L U2 B' L'
U2 B U2 D' B' R' B
U2 B D L U2 B' R'
U2 B D L' F U2 R
U2 B D F' L' F U2
D B D L U2 B' L'
R' B D' B2 R' F' B
R' B D' B2 R' B F'
U2 B D' U2 B' R' B
R2 B D' F' B2 R' B
R2 B D' B2 F' R' B
U2 B F' D L' F U2
R2 B F' D' B2 R' B
F' B D L U2 B' L'
F2 B D L U2 B' L'
B F D L U2 B' L'
F B D L U2 B' L'
L B' U L' R' D2 F2
L B' U L' D2 R' F2
L B' U L' D2 F2 R'
L B' U R' L' D2 F2
L B' U R' D2 L' F2
L B' U D2 L' R' F2
L B' U D2 L' F2 R'
L B' U D2 R' L' F2
L B' U' B2 L U2 L2
L B' D' R2 U L' R
L B' D' R2 U R L'
L B' D2 U L' R' F2
L B' D2 U L' F2 R'
L B' D2 U R' L' F2
B F' D L U2 B' L'
L B2 U' B' L U2 L2
B F2 D L U2 B' L'
R2 B2 D2 F' R D B2
