R2 L D B' U2 L
R' L B' U F' U
L R B' U' B2 U'
L R B' U2 D L2
L R B' D U2 L2
L R B' D' R2 U2
R L B' U' B2 U'
R L B' U2 D L2
R L B' D U2 L2
R L B' D' R2 U2
L R' B' U F' U
L R2 D B' U2 L
L U2 L2 D F L'
L B' R U' B U'
L B' R' U F' U
L B' U F' U L'
L B' U' B U' L
D2 L R U' B U' F'
R' L U F' U' B' U2
D L R' U F' R U
L R U' L2 B U' F
R L U' L2 B U' F
D2 L R' B U F' U
L R U' B U B2 U2
L R U' B U' D2 F2
L R U' B D L2 U'
L R U' B D2 U' F2
R L U' B U B2 U2
R L U' B U' D2 F2
R' L U2 L2 F D' L2
R L U' B D L2 U'
R L U' B D2 U' F2
R2 L U2 L2 D' F L'
R2 L U2 D' L2 F L'
R' L U2 F D' L2 F
D L U F' R U L'
D L U F' R U L'
R2 L D R B' U2 L
R2 L D R' B' U2 L
R2 L D R2 B' U2 L
R' L D B' U F' U
R2 L D B R' B2 U2
R2 L D B' R U2 L
R2 L D B' R' U2 L
R2 L D B' R2 U2 L
R2 L D B' U2 L D
R2 L D B' U2 L D'
R2 L D B' U2 L D2
R2 L D B' U2 D L
R2 L D B' U2 D' L
R2 L D B' U2 D2 L
R2 L D B' D U2 L
R2 L D B' D' U2 L
R2 L D B' D2 U2 L
L R D B' U' B2 U'
L R D B' U2 D L2
L R D B' D U2 L2
L R D B' D' R2 U2
R L D B' U' B2 U'
R L D B' U2 D L2
R L D B' D U2 L2
R L D B' D' R2 U2
R2 L D' U2 L2 F L'
R' L D' B' U F' U
L R D' B' U' B2 U'
L R D' B' U2 D L2
L R D' B' D U2 L2
L R D' B' D' R2 U2
R L D' B' U' B2 U'
R L D' B' U2 D L2
R L D' B' D U2 L2
R L D' B' D' R2 U2
R' L D2 B' U F' U
L R D2 B' U' B2 U'
L R D2 B' U2 D L2
L R D2 B' D U2 L2
L R D2 B' D' R2 U2
R L D2 B' U' B2 U'
R L D2 B' U2 D L2
R L D2 B' D U2 L2
R L D2 B' D' R2 U2
R' L B' R2 U' B U'
R2 L B' R U F' U
L R B' R U' B2 U'
L R B' R U2 D L2
L R B' R D U2 L2
