U B U' R' B' U'
D L R2 U' B' L' F'
B' L U B2 U2 L' B2
B' L U B2 U2 B2 L'
D L U B U2 L' B2
D L U B U2 B2 L'
B L U' R' U' L' R
B L U' R' U' R L'
D L U' B' L' D2 F2
D L U' B' D2 L' F2
R' L B R' U' L' F'
R2 L B2 U' L' F' B'
R2 L B2 U' L' B' F'
R2 L' U' D L F' B'
R2 L' U' D L B' F'
R2 L' U' D F' L B'
R2 L' U' F' D L B'
R2 L' D U' L F' B'
R2 L' D U' L B' F'
R2 L' D U' F' L B'
B2 L' U' L' F B' L2
B2 L' U' L' B' F L2
B L' U' R' U' L R
B L' U' R' U' R L
F2 L' D L R2 F' B'
F2 L' D L R2 B' F'
F2 L' D R2 L F' B'
F2 L' D R2 L B' F'
F2 L' D R2 F' L B'
L2 R' B R' U' L2 F'
L2 R' B R' U' F' L2
L R' B R' U' L' F'
B' L' D2 R2 U' L F2
B' L' D2 R2 U' F2 L
L' R2 U' D L F' B'
L' R2 U' D L B' F'
L' R2 U' D F' L B'
L' R2 U' F' D L B'
L' R2 D U' L F' B'
L' R2 D U' L B' F'
L' R2 D U' F' L B'
B L2 R' U' L2 D F2
B L2 R' B U' L2 F
R' L2 B R' U' L2 F'
R' L2 B R' U' F' L2
B L2 U' R' U' L2 R
B L2 U' R' U' R L2
B2 L2 U' F L' B' L'
L R2 B2 U' L' F' B'
L R2 B2 U' L' B' F'
B2 L2 B' R' U' F L2
L2 U B U' R' U' L2
L U B U' R' U' L'
L' U' D L B' D2 F2
B R' L2 U' L2 D F2
B R' L2 B U' L2 F
R' U' B' L R' U R
R' U' B' R' L U R
F R' D' R' F' B R
F R' D' R' B F' R
B R' B L2 U' F L2
B R' B2 D L2 U' L2
D R2 L U' B' L' F'
R2 D L U' B' L' F'
D' R2 F' U F R U'
D2 R2 F' U R F U'
L' D R2 U' L F' B'
L' D R2 U' L B' F'
L' D R2 U' F' L B'
U' R2 B' L U F' R2
L' D U' L B' D2 F2
B U R' U2 R U R'
R D B' L U' B' L'
B' U B2 U' R' B2 U'
B' U' L D' R2 U R2
B' U' D' L R2 U R2
B' U' D' R2 L U R2
R2 D2 F' U R F U'
D' F R' D B R' F'
F' U2 B U' R' F U'
F' U2 B U' F R' U'
F2 U2 B U' R' F2 U'
F2 U2 B U' F2 R' U'
F U2 B U' F' R' U'
B' U2 B2 U B2 L U
F2 D L R2 B' L' F'
B' D L2 U2 L' U L'
F2 D R' D2 R' F' B
F2 D R' D2 R' B F'
F2 D R2 L B' L' F'
F2 D R2 F' L B' L'
U F B U' R' B' U'
B' D B2 L2 R' U' L2
B' D B2 R' L2 U' L2
R2 F' U' L2 B' L U
R2 F' B U R' F U'
R2 F' B U F R' U'
F D' R' D B R' F'
B' D' U' L R2 U R2
U F' B U' R' B' U'
B' D' U' R2 L U R2
L' F2 D L R2 F' B'
L' F2 D L R2 B' F'
L' F2 D R2 L F' B'
L' F2 D R2 L B' F'
L' F2 D R2 F' L B'
R' B L R' U' L' F'
U F2 B U' R' B' U'
R' B L' R' U' L F'
R' B L' R' U' F' L
R' B L2 R' U' L2 F'
R' B L2 R' U' F' L2
U2 B L2 U' R' F U'
U2 B L2 U' F R' U'
R' B R' L U' L' F'
R' B R' L' U' L F'
R' B R' L' U' F' L
R' B R' L2 U' L2 F'
R' B R' L2 U' F' L2
L2 B R' U' L2 D F2
U B R U' R2 B' U'
U B R U' B' R2 U'
L2 B R' B U' L2 F
U B R' U' B' U' B
U B R2 U' R B' U'
U B R2 U' B' R U'
U2 B U B2 L B U
U2 B U' R' U2 B' U
L2 B U' R' U' L2 R
L2 B U' R' U' R L2
U B U' R B' R2 U'
L B U' R' U' L' R
L B U' R' U' R L'
U B U' R' D B' U'
U B U' R' D' B' U'
U B U' R' D2 B' U'
U B U' R' B' U' D
U B U' R' B' U' D'
U B U' R' B' U' D2
U B U' R' B' D U'
U B U' R' B' D' U'
U B U' R' B' D2 U'
U B U' R2 B' R U'
U B U' D R' B' U'
U B U' D' R' B' U'
U B U' D2 R' B' U'
U B D U' R' B' U'
U B D' U' R' B' U'
U B D2 U' R' B' U'
F2 B U R' F2 L' U'
R2 B F' U R' F U'
R2 B F' U F R' U'
U' B' L D' R2 U R2
U B F U' R' B' U'
U B F' U' R' B' U'
U B F2 U' R' B' U'
U' B' D' L R2 U R2
U' B' D' R2 L U R2
R2 B2 L U' L' F' B'
R2 B2 L U' L' B' F'
L2 B2 L' U' L' F B'
L2 B2 L' U' L' B' F
L' B2 U R' F' B' U2
L' B2 U R' B' F' U2
L2 B2 U' L' B' L' F
L B2 U B' U2 L' B'
L B2 U' L2 F L B'
B F2 U R' F2 L' U'
