L2 B U' L' R'
L2 B U' R' L'
D L' F U' F L2
F' L2 B U' L' R'
F' L2 B U' R' L'
F2 L2 B U' L' R'
F2 L2 B U' R' L'
F L2 B U' L' R'
F L2 B U' R' L'
L2 U' L' B R' B'
L2 U' B R' B' L'
L2 U2 B U L' R'
L2 U2 B U R' L'
L' B L' U' L' R'
L' B L' U' R' L'
L2 B U' L' R' D
L2 B U' L' R' D'
L2 B U' L' R' D2
L2 B U' L' D R'
L2 B U' L' D' R'
L2 B U' L' D2 R'
L2 B U' R' L' D
L2 B U' R' L' D'
L2 B U' R' L' D2
L2 B U' R' D L'
L2 B U' R' D' L'
L2 B U' R' D2 L'
L2 B U' D L' R'
L2 B U' D R' L'
L2 B U' D' L' R'
L2 B U' D' R' L'
L2 B U' D2 L' R'
L2 B U' D2 R' L'
L2 B D U' L' R'
L2 B D U' R' L'
L2 B D' U' L' R'
L2 B D' U' R' L'
L2 B D2 U' L' R'
L2 B D2 U' R' L'
L2 B' U L U2 L2
L2 B' U' L' D2 R2
D L U' B' U F2 B
D L U' B' U B F2
D L D' L2 F U' L2
L2 R B U' L' R' B'
L2 R B U' R' L' B'
D L F2 U' B' U B
L2 R' B R U' L' R2
L2 R' B R U' R2 L'
D L' D' F L2 B2 U'
D L' D' F B2 L2 U'
D L' D' B2 F L2 U'
D L' F U' F L2 D
D L' F U' F L2 D'
D L' F U' F L2 D2
D L' F U' F' L2 F2
D L' F U' F2 L2 F'
D L' F D' B2 U' F
D L' F B U' F L2
D L' F B' U' F L2
D L' F B2 U' F L2
F' L' B L' U' L' R'
F' L' B L' U' R' L'
F2 L' B L' U' L' R'
F2 L' B L' U' R' L'
F L' B L' U' L' R'
F L' B L' U' R' L'
D L' B F U' F L2
D L' B' F U' F L2
D L' B2 F U' F L2
B2 L2 U R' U' F' U'
F' L2 U' L' B R' B'
F2 L2 U' L' B R' B'
D L2 U' L' F R F
R' L2 B R U' L' R2
R' L2 B R U' R2 L'
F L2 U' L' B R' B'
B L2 U' R' B' L B
F' L2 U' B R' B' L'
F2 L2 U' B R' B' L'
L2 R2 B R2 U' L' R
L2 R2 B R2 U' R L'
R2 L2 B R2 U' L' R
R2 L2 B R2 U' R L'
B L2 U' B' L B R'
F L2 U' B R' B' L'
R L2 B U' L' R' B'
R L2 B U' R' L' B'
F' L2 U2 B U L' R'
F' L2 U2 B U R' L'
F2 L2 U2 B U L' R'
F2 L2 U2 B U R' L'
F L2 U2 B U L' R'
F L2 U2 B U R' L'
B L2 D2 F U' L' R'
B L2 D2 F U' R' L'
B' L2 F2 B U' L R
B' L2 F2 B U' R L
B' L2 B U L' U2 L2
F' L2 B U' L' R' D
F' L2 B U' L' R' D'
F' L2 B U' L' R' D2
F' L2 B U' L' D R'
F' L2 B U' L' D' R'
F' L2 B U' L' D2 R'
F' L2 B U' R' L' D
F' L2 B U' R' L' D'
F' L2 B U' R' L' D2
F' L2 B U' R' D L'
F' L2 B U' R' D' L'
F' L2 B U' R' D2 L'
F' L2 B U' D L' R'
F' L2 B U' D R' L'
B' L2 B U' L D2 R2
F' L2 B U' D' L' R'
F' L2 B U' D' R' L'
F' L2 B U' D2 L' R'
F' L2 B U' D2 R' L'
U' L2 B U' R' B' L'
F' L2 B D U' L' R'
F' L2 B D U' R' L'
F2 L2 B U' L' R' D
F2 L2 B U' L' R' D'
F2 L2 B U' L' R' D2
F2 L2 B U' L' D R'
F2 L2 B U' L' D' R'
F2 L2 B U' L' D2 R'
F2 L2 B U' R' L' D
F2 L2 B U' R' L' D'
F2 L2 B U' R' L' D2
F2 L2 B U' R' D L'
F2 L2 B U' R' D' L'
F2 L2 B U' R' D2 L'
F' L2 B D' U' L' R'
F' L2 B D' U' R' L'
F2 L2 B U' D L' R'
F2 L2 B U' D R' L'
F2 L2 B U' D' L' R'
F2 L2 B U' D' R' L'
F2 L2 B U' D2 L' R'
F2 L2 B U' D2 R' L'
F' L2 B D2 U' L' R'
F' L2 B D2 U' R' L'
F2 L2 B D U' L' R'
F2 L2 B D U' R' L'
F2 L2 B D' U' L' R'
F2 L2 B D' U' R' L'
B' L2 B F2 U' L R
B' L2 B F2 U' R L
F L2 B U' L' R' D
F L2 B U' L' R' D'
F L2 B U' L' R' D2
F L2 B U' L' D R'
F L2 B U' L' D' R'
F L2 B U' L' D2 R'
F2 L2 B D2 U' L' R'
F2 L2 B D2 U' R' L'
F L2 B U' R' L' D
F L2 B U' R' L' D'
F L2 B U' R' L' D2
F L2 B U' R' D L'
F L2 B U' R' D' L'
F L2 B U' R' D2 L'
F L2 B U' D L' R'
F L2 B U' D R' L'
F L2 B U' D' L' R'
F L2 B U' D' R' L'
F L2 B U' D2 L' R'
F L2 B U' D2 R' L'
F L2 B D U' L' R'
F L2 B D U' R' L'
F L2 B D' U' L' R'
F L2 B D' U' R' L'
F L2 B D2 U' L' R'
F L2 B D2 U' R' L'
F' L2 B' U L U2 L2
B' L2 B' U L' R' U2
B' L2 B' U R' L' U2
F' L2 B' U' L' D2 R2
F2 L2 B' U L U2 L2
F2 L2 B' U' L' D2 R2
F L2 B' U L U2 L2
F L2 B' U' L' D2 R2
L2 U B' L B U2 L2
L2 U' L B R' B' L2
L2 U' L' R B R' B'
L2 U' L' R' B R' B'
L2 U' L' R2 B R' B'
L2 U' L' U' B U R'
L2 U' L' D2 F' R F
L2 U' L' F D2 F' R
L2 U' L' B R B' R2
L2 U' L' B R' D B'
L2 U' L' B R' D' B'
L2 U' L' B R' D2 B'
L2 U' L' B R' B' D
L2 U' L' B R' B' D'
L2 U' L' B R' B' D2
L2 U' L' B R2 B' R
L2 U' L' B D R' B'
L2 U' L' B D' R' B'
L2 U' L' B D2 R' B'
L2 U' L2 B R' B' L
L2 U' R L' B R' B'
L2 U' R B R' B' L'
L2 U' R' L' B R' B'
L2 U' R' B R' B' L'
L2 U' R2 L' B R' B'
L2 U' R2 B R' B' L'
L2 U' D L' U F U'
L2 U' D2 L' F' R F
L2 U' D2 F' R F L'
L2 U' F D2 F' L' R
L2 U' F D2 F' R L'
L2 U' B L' D2 R' B
L2 U' B R B' L' R2
L2 U' B R B' R2 L'
L2 U' B R' D B' L'
L2 U' B R' D' B' L'
L2 U' B R' D2 B' L'
L2 U' B R' B L' B2
L2 U' B R' B' L' D
L2 U' B R' B' L' D'
L2 U' B R' B' L' D2
L2 U' B R' B' D L'
L2 U' B R' B' D' L'
L2 U' B R' B' D2 L'
L2 U' B R' B2 L' B
L2 U' B R2 B' L' R
L2 U' B R2 B' R L'
L2 U' B D R' B' L'
L2 U' B D' R' B' L'
L2 U' B D2 R' B' L'
L2 U' B' L' D2 B R2
L2 U' B' L' B D2 R2
L2 U' B2 L' B' R' B'
L2 U2 B U L' R' D
L2 U2 B U L' R' D'
L2 U2 B U L' R' D2
L2 U2 B U L' D R'
L2 U2 B U L' D' R'
L2 U2 B U L' D2 R'
L2 U2 B U R' L' D
L2 U2 B U R' L' D'
L2 U2 B U R' L' D2
L2 U2 B U R' D L'
L2 U2 B U R' D' L'
L2 U2 B U R' D2 L'
L2 U2 B U D L' R'
L2 U2 B U D R' L'
L2 U2 B U D' L' R'
L2 U2 B U D' R' L'
L2 U2 B U D2 L' R'
L2 U2 B U D2 R' L'
L2 U2 B D U L' R'
L2 U2 B D U R' L'
L2 U2 B D' U L' R'
L2 U2 B D' U R' L'
L2 U2 B D2 U L' R'
L2 U2 B D2 U R' L'
L2 U2 B' U L' D2 R2
L2 U2 B' U' L U2 L2
L D L U2 B' U L'
